Month,autoETH,autoUSD,baseETH,baseUSD,autoETH (approx no exploit)
September 2024,,,,,
October 2024,0.11,,,,
November 2024,0.49,,,,0.49
December 2024,0.7,,0.77,,0.7
January 2025,0.41,,0.18,,0.41
February 2025,0.67,,0.9,,0.67
March 2025,0.57,,0.6,,0.57
April 2025,0.53,,-0.08,,0.53
May 2025,0.39,0.59,0.43,,0.39
June 2025,0.29,0.6,0.4,0.66,0.29
July 2025,0.26,0.7,0.24,0.76,0.26
August 2025,0.22,0.88,0.23,0.74,0.22
September 2025,0.42,0.79,0.44,0.79,0.42
October 2025,0.11,0.66,0.36,0.64,0.11
November 2025,-3.42,0.54,0.33,0.62,0.09
December 2025,,,,,
