,index,destination_in_x,destination_out_x,block,safe_value_out,rebalance_file_path,fee_and_base_out,fee_and_base_in,destination_in_name,destination_out_name,out_exchange_name,in_exchange_name,pool_in,pool_out,file_name,datetime_generated,autopool_vault_address,chain_id,solver_address,rebalance_type,destination_out_y,token_out,destination_in_y,token_in,move_name,amount_out,amount_out_safe_value,min_amount_in,min_amount_in_safe_value,amount_out_spot_value,out_dest_apr,min_amount_in_spot_value,in_dest_apr,in_dest_adj_apr,apr_delta,swap_offset_period,num_candidate_destinations,candidate_destinations_rank,projected_swap_cost,projected_net_gain,projected_gross_gain,projected_slippage,valid,actual_30_day_fee_and_base_out,actual_60_day_fee_and_base_out,actual_30_day_fee_and_base_in,actual_60_day_fee_and_base_in,start_block,block_30_days,block_60_days,timestamp_30_days,timestamp_60_days
0,0,0x2C7120dCCF1c14A37A26A4955475d45d34a3d7E7,0x43D99d04985ef2231f7d9b5D9111D2189d9FD971,24226402,24.93659448216773,rebalance_plan_1768314596_0x0A2b94F6871c1D7A32Fe58E1ab5e6deA2f114E56.json,,,Instadapp ETH v2,pxETH/wETH,curve,fluid,0xA0D3707c569ff8C87FA923d3823eC5D81c98Be78,0xC8Eb2Cf2f792F77AF0Cd9e203305a585E588179D,rebalance_plan_1768314596_0x0A2b94F6871c1D7A32Fe58E1ab5e6deA2f114E56.json,2026-01-13 14:29:56+00:00,0x0A2b94F6871c1D7A32Fe58E1ab5e6deA2f114E56,1.0,0x952D7a7eB2e0804d37d9244BE8e47341356d2f5D,Pool2Pool,0x43D99d04985ef2231f7d9b5D9111D2189d9FD971,0xC8Eb2Cf2f792F77AF0Cd9e203305a585E588179D,0x2C7120dCCF1c14A37A26A4955475d45d34a3d7E7,0xA0D3707c569ff8C87FA923d3823eC5D81c98Be78,pxethweth -> iETHv2,24.893270660301507,24.938221741442693,20.796677680517664,24.929247053788863,,0.012725763252184979,,0.04976121808948304,0.04976121808948304,0.03703545483729806,14.0,1.0,0.0,0.00897468765382925,0.012616552922496997,0.02159124057632625,0.03598768086545235,False,,,,,,,,,
1,1,0x2C7120dCCF1c14A37A26A4955475d45d34a3d7E7,0x43D99d04985ef2231f7d9b5D9111D2189d9FD971,24221631,33.205006474762705,rebalance_plan_1768256996_0x0A2b94F6871c1D7A32Fe58E1ab5e6deA2f114E56.json,,,Instadapp ETH v2,pxETH/wETH,curve,fluid,0xA0D3707c569ff8C87FA923d3823eC5D81c98Be78,0xC8Eb2Cf2f792F77AF0Cd9e203305a585E588179D,rebalance_plan_1768256996_0x0A2b94F6871c1D7A32Fe58E1ab5e6deA2f114E56.json,2026-01-12 22:29:56+00:00,0x0A2b94F6871c1D7A32Fe58E1ab5e6deA2f114E56,1.0,0x952D7a7eB2e0804d37d9244BE8e47341356d2f5D,Pool2Pool,0x43D99d04985ef2231f7d9b5D9111D2189d9FD971,0xC8Eb2Cf2f792F77AF0Cd9e203305a585E588179D,0x2C7120dCCF1c14A37A26A4955475d45d34a3d7E7,0xA0D3707c569ff8C87FA923d3823eC5D81c98Be78,pxethweth -> iETHv2,33.19102754706867,33.21257698363206,27.73127668444059,33.24294373823745,,0.011075684810016856,,0.04976121808948304,0.04976121808948304,0.03868553327946619,14.0,1.0,0.0,-0.030366754605388735,0.04067711158069511,0.010310356975306377,-0.09143149181213546,False,,,,,,,,,
2,2,0x2C7120dCCF1c14A37A26A4955475d45d34a3d7E7,0x43D99d04985ef2231f7d9b5D9111D2189d9FD971,24218647,47.3667679339911,rebalance_plan_1768220996_0x0A2b94F6871c1D7A32Fe58E1ab5e6deA2f114E56.json,,,Instadapp ETH v2,pxETH/wETH,curve,fluid,0xA0D3707c569ff8C87FA923d3823eC5D81c98Be78,0xC8Eb2Cf2f792F77AF0Cd9e203305a585E588179D,rebalance_plan_1768220996_0x0A2b94F6871c1D7A32Fe58E1ab5e6deA2f114E56.json,2026-01-12 12:29:56+00:00,0x0A2b94F6871c1D7A32Fe58E1ab5e6deA2f114E56,1.0,0x952D7a7eB2e0804d37d9244BE8e47341356d2f5D,Pool2Pool,0x43D99d04985ef2231f7d9b5D9111D2189d9FD971,0xC8Eb2Cf2f792F77AF0Cd9e203305a585E588179D,0x2C7120dCCF1c14A37A26A4955475d45d34a3d7E7,0xA0D3707c569ff8C87FA923d3823eC5D81c98Be78,pxethweth -> iETHv2,47.263917516241484,47.36526890144532,39.47513837625331,47.32093004709056,,0.0087533261205805,,0.04976121808948304,0.04976121808948304,0.041007891968902546,14.0,1.0,0.0,0.0443388543547556,0.007435732203665728,0.05177458655842133,0.09361047743023079,False,,,,,,,,,
3,3,0x2C7120dCCF1c14A37A26A4955475d45d34a3d7E7,0x43D99d04985ef2231f7d9b5D9111D2189d9FD971,24207300,63.06118277775996,rebalance_plan_1768084196_0x0A2b94F6871c1D7A32Fe58E1ab5e6deA2f114E56.json,,,Instadapp ETH v2,pxETH/wETH,curve,fluid,0xA0D3707c569ff8C87FA923d3823eC5D81c98Be78,0xC8Eb2Cf2f792F77AF0Cd9e203305a585E588179D,rebalance_plan_1768084196_0x0A2b94F6871c1D7A32Fe58E1ab5e6deA2f114E56.json,2026-01-10 22:29:56+00:00,0x0A2b94F6871c1D7A32Fe58E1ab5e6deA2f114E56,1.0,0x952D7a7eB2e0804d37d9244BE8e47341356d2f5D,Pool2Pool,0x43D99d04985ef2231f7d9b5D9111D2189d9FD971,0xC8Eb2Cf2f792F77AF0Cd9e203305a585E588179D,0x2C7120dCCF1c14A37A26A4955475d45d34a3d7E7,0xA0D3707c569ff8C87FA923d3823eC5D81c98Be78,pxethweth -> iETHv2,63.018556688321986,63.06761055008966,52.619114234325146,63.07447865434559,,0.007965653269265904,,0.05120311864965537,0.05120311864965537,0.043237465380389466,14.0,1.0,0.0,-0.006868104255929097,0.027668429046827633,0.020800324790898536,-0.010890065750111621,False,,,,,,,,,
4,4,0x2C7120dCCF1c14A37A26A4955475d45d34a3d7E7,0x43D99d04985ef2231f7d9b5D9111D2189d9FD971,24204312,84.14301024891543,rebalance_plan_1768048196_0x0A2b94F6871c1D7A32Fe58E1ab5e6deA2f114E56.json,,,Instadapp ETH v2,pxETH/wETH,curve,fluid,0xA0D3707c569ff8C87FA923d3823eC5D81c98Be78,0xC8Eb2Cf2f792F77AF0Cd9e203305a585E588179D,rebalance_plan_1768048196_0x0A2b94F6871c1D7A32Fe58E1ab5e6deA2f114E56.json,2026-01-10 12:29:56+00:00,0x0A2b94F6871c1D7A32Fe58E1ab5e6deA2f114E56,1.0,0x952D7a7eB2e0804d37d9244BE8e47341356d2f5D,Pool2Pool,0x43D99d04985ef2231f7d9b5D9111D2189d9FD971,0xC8Eb2Cf2f792F77AF0Cd9e203305a585E588179D,0x2C7120dCCF1c14A37A26A4955475d45d34a3d7E7,0xA0D3707c569ff8C87FA923d3823eC5D81c98Be78,pxethweth -> iETHv2,84.02474225109599,84.151192615894,70.19936393080746,84.14790606478823,,0.006752692011568368,,0.05120311864965537,0.05120311864965537,0.044450426638087,14.0,1.0,0.0,0.003286551105773583,0.05321050769798424,0.05649705880375782,0.003905531227317196,False,,,,,,,,,
5,5,0x2C7120dCCF1c14A37A26A4955475d45d34a3d7E7,0x43D99d04985ef2231f7d9b5D9111D2189d9FD971,24197139,115.76067103238024,rebalance_plan_1767961796_0x0A2b94F6871c1D7A32Fe58E1ab5e6deA2f114E56.json,,,Instadapp ETH v2,pxETH/wETH,curve,fluid,0xA0D3707c569ff8C87FA923d3823eC5D81c98Be78,0xC8Eb2Cf2f792F77AF0Cd9e203305a585E588179D,rebalance_plan_1767961796_0x0A2b94F6871c1D7A32Fe58E1ab5e6deA2f114E56.json,2026-01-09 12:29:56+00:00,0x0A2b94F6871c1D7A32Fe58E1ab5e6deA2f114E56,1.0,0x952D7a7eB2e0804d37d9244BE8e47341356d2f5D,Pool2Pool,0x43D99d04985ef2231f7d9b5D9111D2189d9FD971,0xC8Eb2Cf2f792F77AF0Cd9e203305a585E588179D,0x2C7120dCCF1c14A37A26A4955475d45d34a3d7E7,0xA0D3707c569ff8C87FA923d3823eC5D81c98Be78,pxethweth -> iETHv2,115.43019451435532,115.74446228735826,96.47174301534315,115.54540342565728,,0.004399566357182468,,0.05120311864965537,0.05120311864965537,0.046803552292472905,14.0,1.0,0.0,0.1990588617009763,0.023745168635413472,0.2228040303363898,0.1719813265940739,False,,,,,,,,,
6,6,0x2C7120dCCF1c14A37A26A4955475d45d34a3d7E7,0x0A2b94F6871c1D7A32Fe58E1ab5e6deA2f114E56,24180429,66.99702520121986,rebalance_plan_1767760196_0x0A2b94F6871c1D7A32Fe58E1ab5e6deA2f114E56.json,,,Instadapp ETH v2,autoETH,tokemak,fluid,0xA0D3707c569ff8C87FA923d3823eC5D81c98Be78,0x0A2b94F6871c1D7A32Fe58E1ab5e6deA2f114E56,rebalance_plan_1767760196_0x0A2b94F6871c1D7A32Fe58E1ab5e6deA2f114E56.json,2026-01-07 04:29:56+00:00,0x0A2b94F6871c1D7A32Fe58E1ab5e6deA2f114E56,1.0,0x952D7a7eB2e0804d37d9244BE8e47341356d2f5D,FromIdle,0x0A2b94F6871c1D7A32Fe58E1ab5e6deA2f114E56,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x2C7120dCCF1c14A37A26A4955475d45d34a3d7E7,0xA0D3707c569ff8C87FA923d3823eC5D81c98Be78,autoETH -> iETHv2,66.99702520121986,66.99702520121986,55.88740014023674,66.96366854599226,,,,0.051186921221192866,0.051186921221192866,0.051186921221192866,14.0,1.0,0.0,0.03335665522759257,0.05542162009756658,0.08877827532515914,0.049788263176474924,False,0.0,0.0,,,,,,,
7,7,0x2C7120dCCF1c14A37A26A4955475d45d34a3d7E7,0x0A2b94F6871c1D7A32Fe58E1ab5e6deA2f114E56,24177957,22.205259253254205,rebalance_plan_1767730442_0x0A2b94F6871c1D7A32Fe58E1ab5e6deA2f114E56.json,,,Instadapp ETH v2,autoETH,tokemak,fluid,0xA0D3707c569ff8C87FA923d3823eC5D81c98Be78,0x0A2b94F6871c1D7A32Fe58E1ab5e6deA2f114E56,rebalance_plan_1767730442_0x0A2b94F6871c1D7A32Fe58E1ab5e6deA2f114E56.json,2026-01-06 20:14:02+00:00,0x0A2b94F6871c1D7A32Fe58E1ab5e6deA2f114E56,1.0,0x952D7a7eB2e0804d37d9244BE8e47341356d2f5D,FromIdle,0x0A2b94F6871c1D7A32Fe58E1ab5e6deA2f114E56,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x2C7120dCCF1c14A37A26A4955475d45d34a3d7E7,0xA0D3707c569ff8C87FA923d3823eC5D81c98Be78,autoETH -> iETHv2,22.205259253254205,22.205259253254205,18.52460236082807,22.18577794935787,,,,0.051186921221192866,0.051186921221192866,0.051186921221192866,14.0,1.0,0.0,0.019481303896334623,0.020798098026342464,0.04027940192267709,0.0877328369560901,False,0.0,0.0,,,,,,,
8,8,0x2C7120dCCF1c14A37A26A4955475d45d34a3d7E7,0x43D99d04985ef2231f7d9b5D9111D2189d9FD971,24172656,156.7223368783289,rebalance_plan_1767666596_0x0A2b94F6871c1D7A32Fe58E1ab5e6deA2f114E56.json,,,Instadapp ETH v2,pxETH/wETH,curve,fluid,0xA0D3707c569ff8C87FA923d3823eC5D81c98Be78,0xC8Eb2Cf2f792F77AF0Cd9e203305a585E588179D,rebalance_plan_1767666596_0x0A2b94F6871c1D7A32Fe58E1ab5e6deA2f114E56.json,2026-01-06 02:29:56+00:00,0x0A2b94F6871c1D7A32Fe58E1ab5e6deA2f114E56,1.0,0x952D7a7eB2e0804d37d9244BE8e47341356d2f5D,Pool2Pool,0x43D99d04985ef2231f7d9b5D9111D2189d9FD971,0xC8Eb2Cf2f792F77AF0Cd9e203305a585E588179D,0x2C7120dCCF1c14A37A26A4955475d45d34a3d7E7,0xA0D3707c569ff8C87FA923d3823eC5D81c98Be78,pxethweth -> iETHv2,156.34523247687287,156.71321800798444,130.72223242756266,156.53300407773602,,0.00333014699199664,,0.05221801220985011,0.05221801220985011,0.048887865217853474,14.0,1.0,0.0,0.1802139302484136,0.07106855755973313,0.2512824878081467,0.11499599876714407,False,,,,,,,,,
9,9,0x2C7120dCCF1c14A37A26A4955475d45d34a3d7E7,0x0A2b94F6871c1D7A32Fe58E1ab5e6deA2f114E56,24169670,29.607426167373454,rebalance_plan_1767630599_0x0A2b94F6871c1D7A32Fe58E1ab5e6deA2f114E56.json,,,Instadapp ETH v2,autoETH,tokemak,fluid,0xA0D3707c569ff8C87FA923d3823eC5D81c98Be78,0x0A2b94F6871c1D7A32Fe58E1ab5e6deA2f114E56,rebalance_plan_1767630599_0x0A2b94F6871c1D7A32Fe58E1ab5e6deA2f114E56.json,2026-01-05 16:29:59+00:00,0x0A2b94F6871c1D7A32Fe58E1ab5e6deA2f114E56,1.0,0x952D7a7eB2e0804d37d9244BE8e47341356d2f5D,FromIdle,0x0A2b94F6871c1D7A32Fe58E1ab5e6deA2f114E56,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x2C7120dCCF1c14A37A26A4955475d45d34a3d7E7,0xA0D3707c569ff8C87FA923d3823eC5D81c98Be78,autoETH -> iETHv2,29.607426167373454,29.607426167373454,24.70084250468586,29.574243778579017,,,,0.05221801220985011,0.05221801220985011,0.05221801220985011,14.0,1.0,0.0,0.03318238879443669,0.025633178422910265,0.05881556721734696,0.11207454713170152,False,0.0,0.0,,,,,,,
