,index,destination_in_x,destination_out_x,block,safe_value_out,rebalance_file_path,fee_and_base_out,fee_and_base_in,destination_in_name,destination_out_name,out_exchange_name,in_exchange_name,pool_in,pool_out,file_name,datetime_generated,autopool_vault_address,chain_id,solver_address,rebalance_type,destination_out_y,token_out,destination_in_y,token_in,move_name,amount_out,amount_out_safe_value,min_amount_in,min_amount_in_safe_value,amount_out_spot_value,out_dest_apr,min_amount_in_spot_value,in_dest_apr,in_dest_adj_apr,apr_delta,swap_offset_period,num_candidate_destinations,candidate_destinations_rank,projected_swap_cost,projected_net_gain,projected_gross_gain,projected_slippage,valid,actual_30_day_fee_and_base_out,actual_60_day_fee_and_base_out,actual_30_day_fee_and_base_in,actual_60_day_fee_and_base_in,start_block,block_30_days,block_60_days,timestamp_30_days,timestamp_60_days
0,0,0x7876F91BB22148345b3De16af9448081E9853830,0xa7569A44f348d3D70d8ad5889e50F78E33d80D35,24289081,163581.147,rebalance_plan_1769069749_0xa7569A44f348d3D70d8ad5889e50F78E33d80D35.json,,0.03482478694501311,Fluid USD Coin,autoUSD,tokemak,fluid,0x9Fb7b4477576Fe5B32be4C1843aFB1e55F251B33,0xa7569A44f348d3D70d8ad5889e50F78E33d80D35,rebalance_plan_1769069749_0xa7569A44f348d3D70d8ad5889e50F78E33d80D35.json,2026-01-22 08:15:49+00:00,0xa7569A44f348d3D70d8ad5889e50F78E33d80D35,1.0,0xD02b50CFc6c2903bF13638B28D081ad11515B6f9,FromIdle,0xa7569A44f348d3D70d8ad5889e50F78E33d80D35,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x7876F91BB22148345b3De16af9448081E9853830,0x9Fb7b4477576Fe5B32be4C1843aFB1e55F251B33,autoUSD -> fUSDC,163581.147,163581.147,138193.07568,163556.609827,,,,0.043644786945013114,0.04364025534384031,0.04364025534384031,15.0,0.0,,24.537172999989707,0.0,0.0,0.015000000580745229,False,0.0,0.0,,,,,,,
1,1,0x7876F91BB22148345b3De16af9448081E9853830,0xa7569A44f348d3D70d8ad5889e50F78E33d80D35,24288484,327162.2935,rebalance_plan_1769062549_0xa7569A44f348d3D70d8ad5889e50F78E33d80D35.json,,0.03462050786861766,Fluid USD Coin,autoUSD,tokemak,fluid,0x9Fb7b4477576Fe5B32be4C1843aFB1e55F251B33,0xa7569A44f348d3D70d8ad5889e50F78E33d80D35,rebalance_plan_1769062549_0xa7569A44f348d3D70d8ad5889e50F78E33d80D35.json,2026-01-22 06:15:49+00:00,0xa7569A44f348d3D70d8ad5889e50F78E33d80D35,1.0,0xD02b50CFc6c2903bF13638B28D081ad11515B6f9,FromIdle,0xa7569A44f348d3D70d8ad5889e50F78E33d80D35,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x7876F91BB22148345b3De16af9448081E9853830,0x9Fb7b4477576Fe5B32be4C1843aFB1e55F251B33,autoUSD -> fUSDC,327162.2935,327162.2935,276388.336812,327113.219155,,,,0.04344050786861766,0.04343145961688447,0.04343145961688447,15.0,0.0,,49.07434500003001,0.0,0.0,0.0150000002980264,False,0.0,0.0,,,,,,,
2,2,0x7876F91BB22148345b3De16af9448081E9853830,0xa7569A44f348d3D70d8ad5889e50F78E33d80D35,24287885,654324.5875,rebalance_plan_1769055349_0xa7569A44f348d3D70d8ad5889e50F78E33d80D35.json,,0.034361357071662574,Fluid USD Coin,autoUSD,tokemak,fluid,0x9Fb7b4477576Fe5B32be4C1843aFB1e55F251B33,0xa7569A44f348d3D70d8ad5889e50F78E33d80D35,rebalance_plan_1769055349_0xa7569A44f348d3D70d8ad5889e50F78E33d80D35.json,2026-01-22 04:15:49+00:00,0xa7569A44f348d3D70d8ad5889e50F78E33d80D35,1.0,0xD02b50CFc6c2903bF13638B28D081ad11515B6f9,FromIdle,0xa7569A44f348d3D70d8ad5889e50F78E33d80D35,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x7876F91BB22148345b3De16af9448081E9853830,0x9Fb7b4477576Fe5B32be4C1843aFB1e55F251B33,autoUSD -> fUSDC,654324.5875,654324.5875,552781.151733,654226.438811,,,,0.043361357071662575,0.04334292939465769,0.04334292939465769,15.0,0.0,,98.1486890000524,0.0,0.0,0.015000000133733687,False,0.0,0.0,,,,,,,
3,3,0x7876F91BB22148345b3De16af9448081E9853830,0xa7569A44f348d3D70d8ad5889e50F78E33d80D35,24281913,111459.3575,rebalance_plan_1768983349_0xa7569A44f348d3D70d8ad5889e50F78E33d80D35.json,,0.03436225752793318,Fluid USD Coin,autoUSD,tokemak,fluid,0x9Fb7b4477576Fe5B32be4C1843aFB1e55F251B33,0xa7569A44f348d3D70d8ad5889e50F78E33d80D35,rebalance_plan_1768983349_0xa7569A44f348d3D70d8ad5889e50F78E33d80D35.json,2026-01-21 08:15:49+00:00,0xa7569A44f348d3D70d8ad5889e50F78E33d80D35,1.0,0xD02b50CFc6c2903bF13638B28D081ad11515B6f9,FromIdle,0xa7569A44f348d3D70d8ad5889e50F78E33d80D35,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x7876F91BB22148345b3De16af9448081E9853830,0x9Fb7b4477576Fe5B32be4C1843aFB1e55F251B33,autoUSD -> fUSDC,111459.3575,111459.3575,94169.543098,111442.638596,,,,0.04327225752793318,0.04326914371312251,0.04326914371312251,15.0,0.0,,16.718903999993927,0.0,0.0,0.015000000336440058,False,0.0,0.0,,,,,,,
4,4,0x7876F91BB22148345b3De16af9448081E9853830,0xa7569A44f348d3D70d8ad5889e50F78E33d80D35,24281313,219864.057,rebalance_plan_1768976149_0xa7569A44f348d3D70d8ad5889e50F78E33d80D35.json,,0.034494927080209924,Fluid USD Coin,autoUSD,tokemak,fluid,0x9Fb7b4477576Fe5B32be4C1843aFB1e55F251B33,0xa7569A44f348d3D70d8ad5889e50F78E33d80D35,rebalance_plan_1768976149_0xa7569A44f348d3D70d8ad5889e50F78E33d80D35.json,2026-01-21 06:15:49+00:00,0xa7569A44f348d3D70d8ad5889e50F78E33d80D35,1.0,0xD02b50CFc6c2903bF13638B28D081ad11515B6f9,FromIdle,0xa7569A44f348d3D70d8ad5889e50F78E33d80D35,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x7876F91BB22148345b3De16af9448081E9853830,0x9Fb7b4477576Fe5B32be4C1843aFB1e55F251B33,autoUSD -> fUSDC,219864.057,219864.057,185759.681069,219831.077391,,,,0.043404927080209925,0.043398775663486086,0.043398775663486086,15.0,0.0,,32.9796090000018,0.0,0.0,0.015000000204672745,False,0.0,0.0,,,,,,,
5,5,0x7876F91BB22148345b3De16af9448081E9853830,0xa7569A44f348d3D70d8ad5889e50F78E33d80D35,24280718,439728.1145,rebalance_plan_1768968949_0xa7569A44f348d3D70d8ad5889e50F78E33d80D35.json,,0.034275915407972084,Fluid USD Coin,autoUSD,tokemak,fluid,0x9Fb7b4477576Fe5B32be4C1843aFB1e55F251B33,0xa7569A44f348d3D70d8ad5889e50F78E33d80D35,rebalance_plan_1768968949_0xa7569A44f348d3D70d8ad5889e50F78E33d80D35.json,2026-01-21 04:15:49+00:00,0xa7569A44f348d3D70d8ad5889e50F78E33d80D35,1.0,0xD02b50CFc6c2903bF13638B28D081ad11515B6f9,FromIdle,0xa7569A44f348d3D70d8ad5889e50F78E33d80D35,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x7876F91BB22148345b3De16af9448081E9853830,0x9Fb7b4477576Fe5B32be4C1843aFB1e55F251B33,autoUSD -> fUSDC,439728.1145,439728.1145,371522.086997,439662.155282,,,,0.043185915407972085,0.04317361252624302,0.04317361252624302,15.0,0.0,,65.9592180000036,0.0,0.0,0.01500000018761675,False,0.0,0.0,,,,,,,
6,6,0x7876F91BB22148345b3De16af9448081E9853830,0xa7569A44f348d3D70d8ad5889e50F78E33d80D35,24274742,130620.044,rebalance_plan_1768896949_0xa7569A44f348d3D70d8ad5889e50F78E33d80D35.json,,0.032372221620623476,Fluid USD Coin,autoUSD,tokemak,fluid,0x9Fb7b4477576Fe5B32be4C1843aFB1e55F251B33,0xa7569A44f348d3D70d8ad5889e50F78E33d80D35,rebalance_plan_1768896949_0xa7569A44f348d3D70d8ad5889e50F78E33d80D35.json,2026-01-20 08:15:49+00:00,0xa7569A44f348d3D70d8ad5889e50F78E33d80D35,1.0,0xD02b50CFc6c2903bF13638B28D081ad11515B6f9,FromIdle,0xa7569A44f348d3D70d8ad5889e50F78E33d80D35,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x7876F91BB22148345b3De16af9448081E9853830,0x9Fb7b4477576Fe5B32be4C1843aFB1e55F251B33,autoUSD -> fUSDC,130620.044,130620.044,110368.183802,130600.450993,,,,0.04308222162062347,0.04307762437141756,0.04307762437141756,15.0,0.0,,19.593006999988575,0.0,0.0,0.015000000306222968,False,0.0,0.0,,,,,,,
7,7,0x7876F91BB22148345b3De16af9448081E9853830,0xa7569A44f348d3D70d8ad5889e50F78E33d80D35,24274158,261240.088,rebalance_plan_1768889749_0xa7569A44f348d3D70d8ad5889e50F78E33d80D35.json,,0.03144534868347995,Fluid USD Coin,autoUSD,tokemak,fluid,0x9Fb7b4477576Fe5B32be4C1843aFB1e55F251B33,0xa7569A44f348d3D70d8ad5889e50F78E33d80D35,rebalance_plan_1768889749_0xa7569A44f348d3D70d8ad5889e50F78E33d80D35.json,2026-01-20 06:15:49+00:00,0xa7569A44f348d3D70d8ad5889e50F78E33d80D35,1.0,0xD02b50CFc6c2903bF13638B28D081ad11515B6f9,FromIdle,0xa7569A44f348d3D70d8ad5889e50F78E33d80D35,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x7876F91BB22148345b3De16af9448081E9853830,0x9Fb7b4477576Fe5B32be4C1843aFB1e55F251B33,autoUSD -> fUSDC,261240.088,261240.088,220738.218475,261200.901986,,,,0.04215534868347995,0.04214632173397652,0.04214632173397652,15.0,0.0,,39.18601399997715,0.0,0.0,0.015000000306222968,False,0.0,0.0,,,,,,,
8,8,0x7876F91BB22148345b3De16af9448081E9853830,0xa7569A44f348d3D70d8ad5889e50F78E33d80D35,24273547,499720.9275,rebalance_plan_1768882549_0xa7569A44f348d3D70d8ad5889e50F78E33d80D35.json,,0.03083986427424745,Fluid USD Coin,autoUSD,tokemak,fluid,0x9Fb7b4477576Fe5B32be4C1843aFB1e55F251B33,0xa7569A44f348d3D70d8ad5889e50F78E33d80D35,rebalance_plan_1768882549_0xa7569A44f348d3D70d8ad5889e50F78E33d80D35.json,2026-01-20 04:15:49+00:00,0xa7569A44f348d3D70d8ad5889e50F78E33d80D35,1.0,0xD02b50CFc6c2903bF13638B28D081ad11515B6f9,FromIdle,0xa7569A44f348d3D70d8ad5889e50F78E33d80D35,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x7876F91BB22148345b3De16af9448081E9853830,0x9Fb7b4477576Fe5B32be4C1843aFB1e55F251B33,autoUSD -> fUSDC,499720.9275,499720.9275,422248.786322,499645.96936,,,,0.04154986427424745,0.04153278615101252,0.04153278615101252,15.0,0.0,,74.95814000000246,0.0,0.0,0.015000000175098222,False,0.0,0.0,,,,,,,
9,9,0x366C094C5563CD12AF27b9AfFF2200B0E0D056E0,0xa7569A44f348d3D70d8ad5889e50F78E33d80D35,24267570,49991.429,rebalance_plan_1768810543_0xa7569A44f348d3D70d8ad5889e50F78E33d80D35.json,,0.03090653359686895,Balancer Aave GHO/USDT/USDC,autoUSD,tokemak,balancerV3,0x85B2b559bC2D21104C4DEFdd6EFcA8A20343361D,0xa7569A44f348d3D70d8ad5889e50F78E33d80D35,rebalance_plan_1768810543_0xa7569A44f348d3D70d8ad5889e50F78E33d80D35.json,2026-01-19 08:15:43+00:00,0xa7569A44f348d3D70d8ad5889e50F78E33d80D35,1.0,0xD02b50CFc6c2903bF13638B28D081ad11515B6f9,FromIdle,0xa7569A44f348d3D70d8ad5889e50F78E33d80D35,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x366C094C5563CD12AF27b9AfFF2200B0E0D056E0,0x85B2b559bC2D21104C4DEFdd6EFcA8A20343361D,autoUSD -> Aave GHO/USDT/USDC,49991.429,49991.429,48199.261051516114,49991.233257,,,,0.09025600592929446,0.0901472484211861,0.0901472484211861,15.0,3.0,0.0,0.1957429999965825,167.77065805636826,167.96640105636484,0.0003915531200290004,False,0.0,0.0,,,,,,,
