,index,destination_in_x,destination_out_x,block,safe_value_out,rebalance_file_path,fee_and_base_out,fee_and_base_in,destination_in_name,destination_out_name,out_exchange_name,in_exchange_name,pool_in,pool_out,file_name,datetime_generated,autopool_vault_address,chain_id,solver_address,rebalance_type,destination_out_y,token_out,destination_in_y,token_in,move_name,amount_out,amount_out_safe_value,min_amount_in,min_amount_in_safe_value,amount_out_spot_value,out_dest_apr,min_amount_in_spot_value,in_dest_apr,in_dest_adj_apr,apr_delta,swap_offset_period,num_candidate_destinations,candidate_destinations_rank,projected_swap_cost,projected_net_gain,projected_gross_gain,projected_slippage,actual_30_day_fee_and_base_out,actual_60_day_fee_and_base_out,actual_30_day_fee_and_base_in,actual_60_day_fee_and_base_in,start_block,block_30_days,block_60_days,timestamp_30_days,timestamp_60_days,valid
0,0,0x2f2CC1bf461413014741dD68481dB4a3686DAC3D,0xc4Eb861e7b66f593482a3D7E8adc314f6eEDA30B,22757914,22.44214923171085,,,,Balancer ezETH-WETH Stable Pool,Balancer pxETH/wETH StablePool,balancer,balancer,0x596192bB6e41802428Ac943D2f1476C1Af25CC0E,0x88794C65550DeB6b4087B7552eCf295113794410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002949168292961657,0.0020314595119905743,0.02033509040369541,0.02189471997346626,22757914,22972414,23186914,2025-07-22 04:43:35+00:00,2025-08-21 03:56:59+00:00,True
1,1,0x2f2CC1bf461413014741dD68481dB4a3686DAC3D,0xc4Eb861e7b66f593482a3D7E8adc314f6eEDA30B,22755234,7.480894046756833,,,,Balancer ezETH-WETH Stable Pool,Balancer pxETH/wETH StablePool,balancer,balancer,0x596192bB6e41802428Ac943D2f1476C1Af25CC0E,0x88794C65550DeB6b4087B7552eCf295113794410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0029276997317195796,0.002040884223415196,0.020270211450545306,0.021928851634171576,22755234,22969734,23184234,2025-07-21 19:44:35+00:00,2025-08-20 18:58:47+00:00,True
2,2,0x2f2CC1bf461413014741dD68481dB4a3686DAC3D,0xc4Eb861e7b66f593482a3D7E8adc314f6eEDA30B,22752559,9.974766778705533,,,,Balancer ezETH-WETH Stable Pool,Balancer pxETH/wETH StablePool,balancer,balancer,0x596192bB6e41802428Ac943D2f1476C1Af25CC0E,0x88794C65550DeB6b4087B7552eCf295113794410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0029362847047516016,0.0020333427339718213,0.019881451761193825,0.021865762864892613,22752559,22967059,23181559,2025-07-21 10:46:11+00:00,2025-08-20 10:01:11+00:00,True
3,3,0x2f2CC1bf461413014741dD68481dB4a3686DAC3D,0xc4Eb861e7b66f593482a3D7E8adc314f6eEDA30B,22749871,13.300159122403041,,,,Balancer ezETH-WETH Stable Pool,Balancer pxETH/wETH StablePool,balancer,balancer,0x596192bB6e41802428Ac943D2f1476C1Af25CC0E,0x88794C65550DeB6b4087B7552eCf295113794410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0029685080088313054,0.0020700496221333076,0.019788719706210323,0.02182528709387732,22749871,22964371,23178871,2025-07-21 01:45:47+00:00,2025-08-20 01:01:23+00:00,True
4,4,0x2f2CC1bf461413014741dD68481dB4a3686DAC3D,0xc4Eb861e7b66f593482a3D7E8adc314f6eEDA30B,22747191,17.73398306860149,,,,Balancer ezETH-WETH Stable Pool,Balancer pxETH/wETH StablePool,balancer,balancer,0x596192bB6e41802428Ac943D2f1476C1Af25CC0E,0x88794C65550DeB6b4087B7552eCf295113794410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0029831728456024553,0.002085377270703459,0.019389782651209497,0.02123164117675591,22747191,22961691,23176191,2025-07-20 16:47:11+00:00,2025-08-19 16:03:47+00:00,True
5,5,0x2f2CC1bf461413014741dD68481dB4a3686DAC3D,0xc4Eb861e7b66f593482a3D7E8adc314f6eEDA30B,22743622,23.6504765237532,,,,Balancer ezETH-WETH Stable Pool,Balancer pxETH/wETH StablePool,balancer,balancer,0x596192bB6e41802428Ac943D2f1476C1Af25CC0E,0x88794C65550DeB6b4087B7552eCf295113794410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0028406404206802183,0.002136440568714315,0.019250103936239826,0.021318622397907605,22743622,22958122,23172622,2025-07-20 04:48:59+00:00,2025-08-19 04:07:11+00:00,True
6,6,0x2f2CC1bf461413014741dD68481dB4a3686DAC3D,0xc4Eb861e7b66f593482a3D7E8adc314f6eEDA30B,22740932,34.89358206309574,,,,Balancer ezETH-WETH Stable Pool,Balancer pxETH/wETH StablePool,balancer,balancer,0x596192bB6e41802428Ac943D2f1476C1Af25CC0E,0x88794C65550DeB6b4087B7552eCf295113794410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0028692862655534945,0.0021481624565877766,0.019203764529307277,0.021323813201927777,22740932,22955432,23169932,2025-07-19 19:48:47+00:00,2025-08-18 19:08:11+00:00,True
7,7,0x2f2CC1bf461413014741dD68481dB4a3686DAC3D,0xc4Eb861e7b66f593482a3D7E8adc314f6eEDA30B,22738243,46.525865873284296,,,,Balancer ezETH-WETH Stable Pool,Balancer pxETH/wETH StablePool,balancer,balancer,0x596192bB6e41802428Ac943D2f1476C1Af25CC0E,0x88794C65550DeB6b4087B7552eCf295113794410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002833300004964734,0.0021512806700809683,0.01913772511425349,0.021382606637845525,22738243,22952743,23167243,2025-07-19 10:47:11+00:00,2025-08-18 10:06:59+00:00,True
8,8,0x2f2CC1bf461413014741dD68481dB4a3686DAC3D,0xc4Eb861e7b66f593482a3D7E8adc314f6eEDA30B,22692677,74.82404147741778,,,,Balancer ezETH-WETH Stable Pool,Balancer pxETH/wETH StablePool,balancer,balancer,0x596192bB6e41802428Ac943D2f1476C1Af25CC0E,0x88794C65550DeB6b4087B7552eCf295113794410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0028725434585807896,0.002293400735264184,0.017319466083365764,0.020885099517844008,22692677,22907177,23121677,2025-07-13 02:09:11+00:00,2025-08-12 01:27:35+00:00,True
9,9,0xc4Eb861e7b66f593482a3D7E8adc314f6eEDA30B,0x2f2CC1bf461413014741dD68481dB4a3686DAC3D,22609572,16.198006832817462,rebalance_plan_1748777448_0x6dC3ce9C57b20131347FDc9089D740DAf6eB34c5.json,,,Balancer pxETH/wETH StablePool,Balancer ezETH-WETH Stable Pool,balancer,balancer,0x88794C65550DeB6b4087B7552eCf295113794410,0x596192bB6e41802428Ac943D2f1476C1Af25CC0E,rebalance_plan_1748777448_0x6dC3ce9C57b20131347FDc9089D740DAf6eB34c5.json,2025-06-01 11:30:48+00:00,0x6dC3ce9C57b20131347FDc9089D740DAf6eB34c5,1.0,0x9cf7E7d9F02CaEdcE2286199C0c20dd92580433d,Pool2Pool,0x2f2CC1bf461413014741dD68481dB4a3686DAC3D,0x596192bB6e41802428Ac943D2f1476C1Af25CC0E,0xc4Eb861e7b66f593482a3D7E8adc314f6eEDA30B,0x88794C65550DeB6b4087B7552eCf295113794410,ezETH-WETH-BPT -> pxETH/wETH,15.7154333588303,16.19801267346987,16.14003900952135,16.18971310781479,,0.036097718534902096,,0.05586673864939662,0.05556959000126907,0.019471871466366975,22.0,1.0,0.0,0.008299565655079277,0.002064696542864072,0.010364262197943348,0.0512381723757559,0.020467644244221095,0.023244728945204463,0.0020033514650796835,0.002212115561338601,22609572,22824072,23038572,2025-07-01 11:24:23+00:00,2025-07-31 10:44:35+00:00,True
