,index,destination_in_x,destination_out_x,block,safe_value_out,rebalance_file_path,fee_and_base_out,fee_and_base_in,destination_in_name,destination_out_name,out_exchange_name,in_exchange_name,pool_in,pool_out,file_name,datetime_generated,autopool_vault_address,chain_id,solver_address,rebalance_type,destination_out_y,token_out,destination_in_y,token_in,move_name,amount_out,amount_out_safe_value,min_amount_in,min_amount_in_safe_value,amount_out_spot_value,out_dest_apr,min_amount_in_spot_value,in_dest_apr,in_dest_adj_apr,apr_delta,swap_offset_period,num_candidate_destinations,candidate_destinations_rank,projected_swap_cost,projected_net_gain,projected_gross_gain,projected_slippage,valid,actual_30_day_fee_and_base_out,actual_60_day_fee_and_base_out,actual_30_day_fee_and_base_in,actual_60_day_fee_and_base_in,start_block,block_30_days,block_60_days,timestamp_30_days,timestamp_60_days
0,0,0x16cbe611AF0E01ec6988b59aD3690327aD496Eb7,0x9c6864105AEC23388C89600046213a44C384c831,41152276,5994.319999,,,,Seamless USDC Vault,baseUSD,tokemak,morpho,0x616a4E1db48e22028f6bbf20444Cd3b8e3273738,0x9c6864105AEC23388C89600046213a44C384c831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.0,0.0,,,,,,,
1,1,0x071b90e1e322F5F94F74BA7ADd453BBE8D25032B,0x9c6864105AEC23388C89600046213a44C384c831,41112731,7153.024,rebalance_plan_1769014643_0x9c6864105AEC23388C89600046213a44C384c831.json,,0.01986595329609875,Fluid USD Coin,baseUSD,tokemak,fluid,0xf42f5795D9ac7e9D757dB633D693cD548Cfd9169,0x9c6864105AEC23388C89600046213a44C384c831,rebalance_plan_1769014643_0x9c6864105AEC23388C89600046213a44C384c831.json,2026-01-21 16:57:23+00:00,0x9c6864105AEC23388C89600046213a44C384c831,8453.0,0xFfF19270583Bb6A37e023a3fd499CAA5CeA3a304,FromIdle,0x9c6864105AEC23388C89600046213a44C384c831,0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913,0x071b90e1e322F5F94F74BA7ADd453BBE8D25032B,0xf42f5795D9ac7e9D757dB633D693cD548Cfd9169,baseUSD -> fUSDC,7153.024,7153.024,6489.289421,7151.951046,,,,0.03579595329609875,0.03579000677175563,0.03579000677175563,20.0,2.0,0.0,1.072954000000209,13.04173993264556,14.11469393264577,0.015000005592043434,False,0.0,0.0,,,,,,,
2,2,0x071b90e1e322F5F94F74BA7ADd453BBE8D25032B,0x9c6864105AEC23388C89600046213a44C384c831,41091076,5798.762,rebalance_plan_1768971443_0x9c6864105AEC23388C89600046213a44C384c831.json,,0.01930963683294706,Fluid USD Coin,baseUSD,tokemak,fluid,0xf42f5795D9ac7e9D757dB633D693cD548Cfd9169,0x9c6864105AEC23388C89600046213a44C384c831,rebalance_plan_1768971443_0x9c6864105AEC23388C89600046213a44C384c831.json,2026-01-21 04:57:23+00:00,0x9c6864105AEC23388C89600046213a44C384c831,8453.0,0xFfF19270583Bb6A37e023a3fd499CAA5CeA3a304,FromIdle,0x9c6864105AEC23388C89600046213a44C384c831,0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913,0x071b90e1e322F5F94F74BA7ADd453BBE8D25032B,0xf42f5795D9ac7e9D757dB633D693cD548Cfd9169,baseUSD -> fUSDC,5798.762,5798.762,5260.833466,5797.892185,,,,0.03685963683294706,0.03685389331179052,0.03685389331179052,20.0,2.0,0.0,0.8698150000000169,11.47986003125657,12.349675031256586,0.01500001207154246,False,0.0,0.0,,,,,,,
3,3,0xCc68b840Bd7567363855e1e5050803EC7Ea8C25c,0x9c6864105AEC23388C89600046213a44C384c831,41073075,8839.2,rebalance_plan_1768935444_0x9c6864105AEC23388C89600046213a44C384c831.json,,0.03976779853981932,Gauntlet USDC Core,baseUSD,tokemak,morpho,0xc0c5689e6f4D256E861F65465b691aeEcC0dEb12,0x9c6864105AEC23388C89600046213a44C384c831,rebalance_plan_1768935444_0x9c6864105AEC23388C89600046213a44C384c831.json,2026-01-20 18:57:24+00:00,0x9c6864105AEC23388C89600046213a44C384c831,8453.0,0xFfF19270583Bb6A37e023a3fd499CAA5CeA3a304,FromIdle,0x9c6864105AEC23388C89600046213a44C384c831,0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913,0xCc68b840Bd7567363855e1e5050803EC7Ea8C25c,0xc0c5689e6f4D256E861F65465b691aeEcC0dEb12,baseUSD -> gtUSDCc,8839.2,8839.2,8156.7384445746875,8837.87412,,,,0.04046476875477423,0.04046226088363218,0.04046226088363218,20.0,2.0,0.0,1.3258800000003248,18.35270401605495,19.678584016055275,0.015000000000003674,False,0.0,0.0,,,,,,,
4,4,0x16cbe611AF0E01ec6988b59aD3690327aD496Eb7,0x9c6864105AEC23388C89600046213a44C384c831,41069475,22280.241,rebalance_plan_1768928243_0x9c6864105AEC23388C89600046213a44C384c831.json,,0.038937115796093824,Seamless USDC Vault,baseUSD,tokemak,morpho,0x616a4E1db48e22028f6bbf20444Cd3b8e3273738,0x9c6864105AEC23388C89600046213a44C384c831,rebalance_plan_1768928243_0x9c6864105AEC23388C89600046213a44C384c831.json,2026-01-20 16:57:23+00:00,0x9c6864105AEC23388C89600046213a44C384c831,8453.0,0xFfF19270583Bb6A37e023a3fd499CAA5CeA3a304,FromIdle,0x9c6864105AEC23388C89600046213a44C384c831,0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913,0x16cbe611AF0E01ec6988b59aD3690327aD496Eb7,0x616a4E1db48e22028f6bbf20444Cd3b8e3273738,baseUSD -> smUSDC,22280.241,22280.241,21208.5487567845,22276.898963,,,,0.04250530065197342,0.04250278615321799,0.04250278615321799,20.0,3.0,0.0,3.342037000002165,50.38115493189179,53.72319193189396,0.015000003815049238,False,0.0,0.0,,,,,,,
5,5,0x16cbe611AF0E01ec6988b59aD3690327aD496Eb7,0x9c6864105AEC23388C89600046213a44C384c831,41065876,30000.0,rebalance_plan_1768921044_0x9c6864105AEC23388C89600046213a44C384c831.json,,0.038934745776279193,Seamless USDC Vault,baseUSD,tokemak,morpho,0x616a4E1db48e22028f6bbf20444Cd3b8e3273738,0x9c6864105AEC23388C89600046213a44C384c831,rebalance_plan_1768921044_0x9c6864105AEC23388C89600046213a44C384c831.json,2026-01-20 14:57:24+00:00,0x9c6864105AEC23388C89600046213a44C384c831,8453.0,0xFfF19270583Bb6A37e023a3fd499CAA5CeA3a304,FromIdle,0x9c6864105AEC23388C89600046213a44C384c831,0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913,0x16cbe611AF0E01ec6988b59aD3690327aD496Eb7,0x616a4E1db48e22028f6bbf20444Cd3b8e3273738,baseUSD -> smUSDC,30000.0,30000.0,28557.214121375047,29995.5,,,,0.0424245649415612,0.04242124605876777,0.04242124605876777,20.0,3.0,0.0,4.5,66.80165119999953,71.30165119999953,0.015,False,0.0,0.0,,,,,,,
6,6,0x16cbe611AF0E01ec6988b59aD3690327aD496Eb7,0x9c6864105AEC23388C89600046213a44C384c831,41058675,10006.223,rebalance_plan_1768906643_0x9c6864105AEC23388C89600046213a44C384c831.json,,0.03893815424760083,Seamless USDC Vault,baseUSD,tokemak,morpho,0x616a4E1db48e22028f6bbf20444Cd3b8e3273738,0x9c6864105AEC23388C89600046213a44C384c831,rebalance_plan_1768906643_0x9c6864105AEC23388C89600046213a44C384c831.json,2026-01-20 10:57:23+00:00,0x9c6864105AEC23388C89600046213a44C384c831,8453.0,0xFfF19270583Bb6A37e023a3fd499CAA5CeA3a304,FromIdle,0x9c6864105AEC23388C89600046213a44C384c831,0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913,0x16cbe611AF0E01ec6988b59aD3690327aD496Eb7,0x616a4E1db48e22028f6bbf20444Cd3b8e3273738,baseUSD -> smUSDC,10006.223,10006.223,9525.166077491494,10004.722066,,,,0.04247823886009406,0.04247711383017687,0.04247711383017687,20.0,3.0,0.0,1.5009339999996882,21.88061372613742,23.381547726137107,0.015000005496576364,False,0.0,0.0,,,,,,,
7,7,0x16cbe611AF0E01ec6988b59aD3690327aD496Eb7,0x9c6864105AEC23388C89600046213a44C384c831,41033476,15171.811999,rebalance_plan_1768856243_0x9c6864105AEC23388C89600046213a44C384c831.json,,0.039635970142948285,Seamless USDC Vault,baseUSD,tokemak,morpho,0x616a4E1db48e22028f6bbf20444Cd3b8e3273738,0x9c6864105AEC23388C89600046213a44C384c831,rebalance_plan_1768856243_0x9c6864105AEC23388C89600046213a44C384c831.json,2026-01-19 20:57:23+00:00,0x9c6864105AEC23388C89600046213a44C384c831,8453.0,0xFfF19270583Bb6A37e023a3fd499CAA5CeA3a304,FromIdle,0x9c6864105AEC23388C89600046213a44C384c831,0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913,0x16cbe611AF0E01ec6988b59aD3690327aD496Eb7,0x616a4E1db48e22028f6bbf20444Cd3b8e3273738,baseUSD -> smUSDC,15171.811999,15171.811999,14443.311115205168,15169.536228,,,,0.04319273201758426,0.04319112548458263,0.04319112548458263,20.0,3.0,0.0,2.275770999998713,35.91521748463065,38.190988484629365,0.014999994728043775,False,0.0,0.0,,,,,,,
8,8,0x16cbe611AF0E01ec6988b59aD3690327aD496Eb7,0x9c6864105AEC23388C89600046213a44C384c831,41029875,30000.0,rebalance_plan_1768849043_0x9c6864105AEC23388C89600046213a44C384c831.json,,0.03963634770255853,Seamless USDC Vault,baseUSD,tokemak,morpho,0x616a4E1db48e22028f6bbf20444Cd3b8e3273738,0x9c6864105AEC23388C89600046213a44C384c831,rebalance_plan_1768849043_0x9c6864105AEC23388C89600046213a44C384c831.json,2026-01-19 18:57:23+00:00,0x9c6864105AEC23388C89600046213a44C384c831,8453.0,0xFfF19270583Bb6A37e023a3fd499CAA5CeA3a304,FromIdle,0x9c6864105AEC23388C89600046213a44C384c831,0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913,0x16cbe611AF0E01ec6988b59aD3690327aD496Eb7,0x616a4E1db48e22028f6bbf20444Cd3b8e3273738,baseUSD -> smUSDC,30000.0,30000.0,28559.771213250446,29995.5,,,,0.04318872227254604,0.04318554703845175,0.04318554703845175,20.0,3.0,0.0,4.5,71.00789439860986,75.50789439860986,0.015,False,0.0,0.0,,,,,,,
9,9,0x16cbe611AF0E01ec6988b59aD3690327aD496Eb7,0x9c6864105AEC23388C89600046213a44C384c831,41026275,30000.0,rebalance_plan_1768841843_0x9c6864105AEC23388C89600046213a44C384c831.json,,0.04033210641426255,Seamless USDC Vault,baseUSD,tokemak,morpho,0x616a4E1db48e22028f6bbf20444Cd3b8e3273738,0x9c6864105AEC23388C89600046213a44C384c831,rebalance_plan_1768841843_0x9c6864105AEC23388C89600046213a44C384c831.json,2026-01-19 16:57:23+00:00,0x9c6864105AEC23388C89600046213a44C384c831,8453.0,0xFfF19270583Bb6A37e023a3fd499CAA5CeA3a304,FromIdle,0x9c6864105AEC23388C89600046213a44C384c831,0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913,0x16cbe611AF0E01ec6988b59aD3690327aD496Eb7,0x616a4E1db48e22028f6bbf20444Cd3b8e3273738,baseUSD -> smUSDC,30000.0,30000.0,28560.011043344137,29995.5,,,,0.04387481641786043,0.0438716466214033,0.0438716466214033,20.0,3.0,0.0,4.5,68.4948513041629,72.9948513041629,0.015,False,0.0,0.0,,,,,,,
