,index,destination_in_x,destination_out_x,block,safe_value_out,rebalance_file_path,fee_and_base_out,fee_and_base_in,destination_in_name,destination_out_name,out_exchange_name,in_exchange_name,pool_in,pool_out,file_name,datetime_generated,autopool_vault_address,chain_id,solver_address,rebalance_type,destination_out_y,token_out,destination_in_y,token_in,move_name,amount_out,amount_out_safe_value,min_amount_in,min_amount_in_safe_value,amount_out_spot_value,out_dest_apr,min_amount_in_spot_value,in_dest_apr,in_dest_adj_apr,apr_delta,swap_offset_period,num_candidate_destinations,candidate_destinations_rank,valid,error,error_type,actual_30_day_fee_and_base_out,actual_60_day_fee_and_base_out,actual_30_day_fee_and_base_in,actual_60_day_fee_and_base_in,start_block,block_30_days,block_60_days,timestamp_30_days,timestamp_60_days
0,0,0xC3337192143EB496eed206C8c4249F7Cdee19078,0xAADf01DD90aE0A6Bb9Eb908294658037096E0404,40979462,14.17034000665025,rebalance_plan_1768748252_0xAADf01DD90aE0A6Bb9Eb908294658037096E0404.json,,,Balancer rETH-Aave wETH,baseETH,tokemak,balancerV3,0xB7B8B3AfC010169779C5C2385ec0eB0477FE3347,0xAADf01DD90aE0A6Bb9Eb908294658037096E0404,rebalance_plan_1768748252_0xAADf01DD90aE0A6Bb9Eb908294658037096E0404.json,2026-01-18 14:57:32+00:00,0xAADf01DD90aE0A6Bb9Eb908294658037096E0404,8453,0xFbe1Cefb85716c0E43eCfD399372996646B992c1,FromIdle,0xAADf01DD90aE0A6Bb9Eb908294658037096E0404,0x4200000000000000000000000000000000000006,0xC3337192143EB496eed206C8c4249F7Cdee19078,0xB7B8B3AfC010169779C5C2385ec0eB0477FE3347,baseETH -> Balancer rETH-Aave wETH,14.17034000665025,14.17034000665025,13.902442469220693,14.165104522100657,,,,0.04285971487693344,0.04214482355250751,0.04214482355250751,14.0,2.0,0.0,False,,,0.0,0.0,,,,,,,
1,1,0xC3337192143EB496eed206C8c4249F7Cdee19078,0xAADf01DD90aE0A6Bb9Eb908294658037096E0404,40957859,18.883573891726,rebalance_plan_1768705049_0xAADf01DD90aE0A6Bb9Eb908294658037096E0404.json,,,Balancer rETH-Aave wETH,baseETH,tokemak,balancerV3,0xB7B8B3AfC010169779C5C2385ec0eB0477FE3347,0xAADf01DD90aE0A6Bb9Eb908294658037096E0404,rebalance_plan_1768705049_0xAADf01DD90aE0A6Bb9Eb908294658037096E0404.json,2026-01-18 02:57:29+00:00,0xAADf01DD90aE0A6Bb9Eb908294658037096E0404,8453,0xFbe1Cefb85716c0E43eCfD399372996646B992c1,FromIdle,0xAADf01DD90aE0A6Bb9Eb908294658037096E0404,0x4200000000000000000000000000000000000006,0xC3337192143EB496eed206C8c4249F7Cdee19078,0xB7B8B3AfC010169779C5C2385ec0eB0477FE3347,baseETH -> Balancer rETH-Aave wETH,18.883573891726,18.883573891726,18.5289161254954,18.87828504305001,,,,0.04382906448953006,0.04279813161216078,0.04279813161216078,14.0,2.0,0.0,False,,,0.0,0.0,,,,,,,
2,2,0xC3337192143EB496eed206C8c4249F7Cdee19078,0xAADf01DD90aE0A6Bb9Eb908294658037096E0404,40925462,25.17809852230125,rebalance_plan_1768640252_0xAADf01DD90aE0A6Bb9Eb908294658037096E0404.json,,,Balancer rETH-Aave wETH,baseETH,tokemak,balancerV3,0xB7B8B3AfC010169779C5C2385ec0eB0477FE3347,0xAADf01DD90aE0A6Bb9Eb908294658037096E0404,rebalance_plan_1768640252_0xAADf01DD90aE0A6Bb9Eb908294658037096E0404.json,2026-01-17 08:57:32+00:00,0xAADf01DD90aE0A6Bb9Eb908294658037096E0404,8453,0xFbe1Cefb85716c0E43eCfD399372996646B992c1,FromIdle,0xAADf01DD90aE0A6Bb9Eb908294658037096E0404,0x4200000000000000000000000000000000000006,0xC3337192143EB496eed206C8c4249F7Cdee19078,0xB7B8B3AfC010169779C5C2385ec0eB0477FE3347,baseETH -> Balancer rETH-Aave wETH,25.17809852230125,25.17809852230125,24.70977394052528,25.17547543962331,,,,0.04551158922257111,0.04398396988586323,0.04398396988586323,14.0,2.0,0.0,False,,,0.0,0.0,,,,,,,
3,3,0x945a4f719018edBa445ca67bDa43663C815835Ad,0xAADf01DD90aE0A6Bb9Eb908294658037096E0404,36737008,8.008039317587,rebalance_plan_1760263327_0xAADf01DD90aE0A6Bb9Eb908294658037096E0404.json,,,Volatile AMM - weETH.base/WETH,baseETH,tokemak,aerodrome,0x91F0f34916Ca4E2cCe120116774b0e4fA0cdcaA8,0xAADf01DD90aE0A6Bb9Eb908294658037096E0404,rebalance_plan_1760263327_0xAADf01DD90aE0A6Bb9Eb908294658037096E0404.json,2025-10-12 10:02:07+00:00,0xAADf01DD90aE0A6Bb9Eb908294658037096E0404,8453,0xFbe1Cefb85716c0E43eCfD399372996646B992c1,FromIdle,0xAADf01DD90aE0A6Bb9Eb908294658037096E0404,0x4200000000000000000000000000000000000006,0x945a4f719018edBa445ca67bDa43663C815835Ad,0x91F0f34916Ca4E2cCe120116774b0e4fA0cdcaA8,baseETH -> vAMM-weETH.base/WETH,8.008039317587,8.008039317587,3.849348586413407,8.005047025011045,,,,0.03597375989188038,0.035793055930923745,0.035793055930923745,40.0,4.0,0.0,False,could not identify working virtual price column,ValueError,0.0,0.0,,,,,,,
4,4,0xC3337192143EB496eed206C8c4249F7Cdee19078,0xAADf01DD90aE0A6Bb9Eb908294658037096E0404,36650609,5.672470918972,rebalance_plan_1760090527_0xAADf01DD90aE0A6Bb9Eb908294658037096E0404.json,,,Balancer rETH-Aave wETH,baseETH,tokemak,balancerV3,0xB7B8B3AfC010169779C5C2385ec0eB0477FE3347,0xAADf01DD90aE0A6Bb9Eb908294658037096E0404,rebalance_plan_1760090527_0xAADf01DD90aE0A6Bb9Eb908294658037096E0404.json,2025-10-10 10:02:07+00:00,0xAADf01DD90aE0A6Bb9Eb908294658037096E0404,8453,0xFbe1Cefb85716c0E43eCfD399372996646B992c1,FromIdle,0xAADf01DD90aE0A6Bb9Eb908294658037096E0404,0x4200000000000000000000000000000000000006,0xC3337192143EB496eed206C8c4249F7Cdee19078,0xB7B8B3AfC010169779C5C2385ec0eB0477FE3347,baseETH -> Balancer rETH-Aave wETH,5.672470918972,5.672470918972,5.612577858529035,5.674467003443908,,,,0.03755297951939857,0.037377660290642045,0.037377660290642045,40.0,5.0,0.0,True,,,0.0,0.0,0.023880511803452853,0.02448037496275446,36650609.0,37946609.0,39242609.0,2025-11-09 10:02:45+00:00,2025-12-09 10:02:45+00:00
5,5,0xC3337192143EB496eed206C8c4249F7Cdee19078,0xAADf01DD90aE0A6Bb9Eb908294658037096E0404,36294210,10.600555119175,rebalance_plan_1759377726_0xAADf01DD90aE0A6Bb9Eb908294658037096E0404.json,,,Balancer rETH-Aave wETH,baseETH,tokemak,balancerV3,0xB7B8B3AfC010169779C5C2385ec0eB0477FE3347,0xAADf01DD90aE0A6Bb9Eb908294658037096E0404,rebalance_plan_1759377726_0xAADf01DD90aE0A6Bb9Eb908294658037096E0404.json,2025-10-02 04:02:06+00:00,0xAADf01DD90aE0A6Bb9Eb908294658037096E0404,8453,0xFbe1Cefb85716c0E43eCfD399372996646B992c1,FromIdle,0xAADf01DD90aE0A6Bb9Eb908294658037096E0404,0x4200000000000000000000000000000000000006,0xC3337192143EB496eed206C8c4249F7Cdee19078,0xB7B8B3AfC010169779C5C2385ec0eB0477FE3347,baseETH -> Balancer rETH-Aave wETH,10.600555119175,10.600555119175,10.489870201877649,10.600277314935687,,,,0.03762052687731212,0.03730478923996856,0.03730478923996856,40.0,5.0,0.0,True,,,0.0,0.0,0.02287496080751561,0.025093828023952547,36294210.0,37590210.0,38886210.0,2025-11-01 04:02:47+00:00,2025-12-01 04:02:47+00:00
6,6,0x945a4f719018edBa445ca67bDa43663C815835Ad,0xAADf01DD90aE0A6Bb9Eb908294658037096E0404,35808212,10.296710266144,rebalance_plan_1758405726_0xAADf01DD90aE0A6Bb9Eb908294658037096E0404.json,,,Volatile AMM - weETH.base/WETH,baseETH,tokemak,aerodrome,0x91F0f34916Ca4E2cCe120116774b0e4fA0cdcaA8,0xAADf01DD90aE0A6Bb9Eb908294658037096E0404,rebalance_plan_1758405726_0xAADf01DD90aE0A6Bb9Eb908294658037096E0404.json,2025-09-20 22:02:06+00:00,0xAADf01DD90aE0A6Bb9Eb908294658037096E0404,8453,0xFbe1Cefb85716c0E43eCfD399372996646B992c1,FromIdle,0xAADf01DD90aE0A6Bb9Eb908294658037096E0404,0x4200000000000000000000000000000000000006,0x945a4f719018edBa445ca67bDa43663C815835Ad,0x91F0f34916Ca4E2cCe120116774b0e4fA0cdcaA8,baseETH -> vAMM-weETH.base/WETH,10.296710266144,10.296710266144,4.9558037147679705,10.287111861358342,,,,0.03987953581286945,0.03965661043956774,0.03965661043956774,40.0,5.0,0.0,False,could not identify working virtual price column,ValueError,0.0,0.0,,,,,,,
7,7,0x945a4f719018edBa445ca67bDa43663C815835Ad,0xAADf01DD90aE0A6Bb9Eb908294658037096E0404,35743411,6.936418601753,rebalance_plan_1758276126_0xAADf01DD90aE0A6Bb9Eb908294658037096E0404.json,,,Volatile AMM - weETH.base/WETH,baseETH,tokemak,aerodrome,0x91F0f34916Ca4E2cCe120116774b0e4fA0cdcaA8,0xAADf01DD90aE0A6Bb9Eb908294658037096E0404,rebalance_plan_1758276126_0xAADf01DD90aE0A6Bb9Eb908294658037096E0404.json,2025-09-19 10:02:06+00:00,0xAADf01DD90aE0A6Bb9Eb908294658037096E0404,8453,0xFbe1Cefb85716c0E43eCfD399372996646B992c1,FromIdle,0xAADf01DD90aE0A6Bb9Eb908294658037096E0404,0x4200000000000000000000000000000000000006,0x945a4f719018edBa445ca67bDa43663C815835Ad,0x91F0f34916Ca4E2cCe120116774b0e4fA0cdcaA8,baseETH -> vAMM-weETH.base/WETH,6.936418601753,6.936418601753,3.34082785429685,6.936018003447143,,,,0.03986233111170452,0.0397112729930351,0.0397112729930351,40.0,5.0,0.0,False,could not identify working virtual price column,ValueError,0.0,0.0,,,,,,,
8,8,0xC3337192143EB496eed206C8c4249F7Cdee19078,0xAADf01DD90aE0A6Bb9Eb908294658037096E0404,35613816,28.349914293526,rebalance_plan_1758016927_0xAADf01DD90aE0A6Bb9Eb908294658037096E0404.json,,,Balancer rETH-Aave wETH,baseETH,tokemak,balancerV3,0xB7B8B3AfC010169779C5C2385ec0eB0477FE3347,0xAADf01DD90aE0A6Bb9Eb908294658037096E0404,rebalance_plan_1758016927_0xAADf01DD90aE0A6Bb9Eb908294658037096E0404.json,2025-09-16 10:02:07+00:00,0xAADf01DD90aE0A6Bb9Eb908294658037096E0404,8453,0xFbe1Cefb85716c0E43eCfD399372996646B992c1,FromIdle,0xAADf01DD90aE0A6Bb9Eb908294658037096E0404,0x4200000000000000000000000000000000000006,0xC3337192143EB496eed206C8c4249F7Cdee19078,0xB7B8B3AfC010169779C5C2385ec0eB0477FE3347,baseETH -> Balancer rETH-Aave wETH,28.349914293526,28.349914293526,28.078337950300124,28.349562585561472,,,,0.039130543791206715,0.03831169082022555,0.03831169082022555,40.0,5.0,0.0,True,,,0.0,0.0,0.023310810673132787,0.024163115994437323,35613816.0,36909816.0,38205816.0,2025-10-16 10:02:59+00:00,2025-11-15 10:02:59+00:00
9,9,0xC3337192143EB496eed206C8c4249F7Cdee19078,0xAADf01DD90aE0A6Bb9Eb908294658037096E0404,35592214,9.44997143117525,rebalance_plan_1757973726_0xAADf01DD90aE0A6Bb9Eb908294658037096E0404.json,,,Balancer rETH-Aave wETH,baseETH,tokemak,balancerV3,0xB7B8B3AfC010169779C5C2385ec0eB0477FE3347,0xAADf01DD90aE0A6Bb9Eb908294658037096E0404,rebalance_plan_1757973726_0xAADf01DD90aE0A6Bb9Eb908294658037096E0404.json,2025-09-15 22:02:06+00:00,0xAADf01DD90aE0A6Bb9Eb908294658037096E0404,8453,0xFbe1Cefb85716c0E43eCfD399372996646B992c1,FromIdle,0xAADf01DD90aE0A6Bb9Eb908294658037096E0404,0x4200000000000000000000000000000000000006,0xC3337192143EB496eed206C8c4249F7Cdee19078,0xB7B8B3AfC010169779C5C2385ec0eB0477FE3347,baseETH -> Balancer rETH-Aave wETH,9.44997143117525,9.44997143117525,9.361369193528684,9.452751400653662,,,,0.03916876238253301,0.03888541324685974,0.03888541324685974,40.0,5.0,0.0,True,,,0.0,0.0,0.023295167808464745,0.024166613398904246,35592214.0,36888214.0,38184214.0,2025-10-15 22:02:55+00:00,2025-11-14 22:02:55+00:00
