,index,destination_in_x,destination_out_x,block,safe_value_out,rebalance_file_path,fee_and_base_out,fee_and_base_in,destination_in_name,destination_out_name,out_exchange_name,in_exchange_name,pool_in,pool_out,file_name,datetime_generated,autopool_vault_address,chain_id,solver_address,rebalance_type,destination_out_y,token_out,destination_in_y,token_in,move_name,amount_out,amount_out_safe_value,min_amount_in,min_amount_in_safe_value,amount_out_spot_value,out_dest_apr,min_amount_in_spot_value,in_dest_apr,in_dest_adj_apr,apr_delta,swap_offset_period,num_candidate_destinations,candidate_destinations_rank,actual_30_day_fee_and_base_out,actual_60_day_fee_and_base_out,actual_30_day_fee_and_base_in,actual_60_day_fee_and_base_in,start_block,block_30_days,block_60_days,timestamp_30_days,timestamp_60_days,valid
0,0,0x35911af1B570E26f668905595dEd133D01CD3E5a,0xc4Eb861e7b66f593482a3D7E8adc314f6eEDA30B,23719983,136.7212068303253,,,,dineroETH,Balancer pxETH/wETH StablePool,balancer,tokemak,0x35911af1B570E26f668905595dEd133D01CD3E5a,0x88794C65550DeB6b4087B7552eCf295113794410,,,,,,,,,,,,,,,,,,,,,,,,,0.004237152038238268,0.0028790515205858735,0.0,0.0,23719983,23934483,24148983,2025-12-03 17:45:11+00:00,2026-01-02 19:16:35+00:00,True
1,1,0xc4Eb861e7b66f593482a3D7E8adc314f6eEDA30B,0x35911af1B570E26f668905595dEd133D01CD3E5a,23104258,44.143223574049664,rebalance_plan_1754751614_0x35911af1B570E26f668905595dEd133D01CD3E5a.json,,,Balancer pxETH/wETH StablePool,dineroETH,tokemak,balancer,0x88794C65550DeB6b4087B7552eCf295113794410,0x35911af1B570E26f668905595dEd133D01CD3E5a,rebalance_plan_1754751614_0x35911af1B570E26f668905595dEd133D01CD3E5a.json,2025-08-09 15:00:14+00:00,0x35911af1B570E26f668905595dEd133D01CD3E5a,1.0,0x76187c3b976101A4B886b76068ad6b91Eec18D9d,FromIdle,0x35911af1B570E26f668905595dEd133D01CD3E5a,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xc4Eb861e7b66f593482a3D7E8adc314f6eEDA30B,0x88794C65550DeB6b4087B7552eCf295113794410,dineroETH -> pxETH/wETH,44.143223574049664,44.143223574049664,44.04037817770486,44.13279311864295,,,,0.060323699745841265,0.0584827768552573,0.0584827768552573,47.0,1.0,0.0,0.0,0.0,0.001668908792088697,0.0019685068565968855,23104258,23318758,23533258,2025-09-08 13:45:35+00:00,2025-10-08 13:14:23+00:00,True
2,2,0xc4Eb861e7b66f593482a3D7E8adc314f6eEDA30B,0x35911af1B570E26f668905595dEd133D01CD3E5a,23070251,69.70633737816414,rebalance_plan_1754341214_0x35911af1B570E26f668905595dEd133D01CD3E5a.json,,,Balancer pxETH/wETH StablePool,dineroETH,tokemak,balancer,0x88794C65550DeB6b4087B7552eCf295113794410,0x35911af1B570E26f668905595dEd133D01CD3E5a,rebalance_plan_1754341214_0x35911af1B570E26f668905595dEd133D01CD3E5a.json,2025-08-04 21:00:14+00:00,0x35911af1B570E26f668905595dEd133D01CD3E5a,1.0,0x76187c3b976101A4B886b76068ad6b91Eec18D9d,FromIdle,0x35911af1B570E26f668905595dEd133D01CD3E5a,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xc4Eb861e7b66f593482a3D7E8adc314f6eEDA30B,0x88794C65550DeB6b4087B7552eCf295113794410,dineroETH -> pxETH/wETH,69.70633737816414,69.70633737816414,69.51399405621038,69.67048496685683,,,,0.06057148849607499,0.057696658111387286,0.057696658111387286,47.0,1.0,0.0,0.0,0.0,0.0016681570079049024,0.0017997472268220793,23070251,23284751,23499251,2025-09-03 19:43:47+00:00,2025-10-03 19:09:59+00:00,True
3,3,0xc4Eb861e7b66f593482a3D7E8adc314f6eEDA30B,0x35911af1B570E26f668905595dEd133D01CD3E5a,23046989,67.39446337400372,rebalance_plan_1754060414_0x35911af1B570E26f668905595dEd133D01CD3E5a.json,,,Balancer pxETH/wETH StablePool,dineroETH,tokemak,balancer,0x88794C65550DeB6b4087B7552eCf295113794410,0x35911af1B570E26f668905595dEd133D01CD3E5a,rebalance_plan_1754060414_0x35911af1B570E26f668905595dEd133D01CD3E5a.json,2025-08-01 15:00:14+00:00,0x35911af1B570E26f668905595dEd133D01CD3E5a,1.0,0x76187c3b976101A4B886b76068ad6b91Eec18D9d,FromIdle,0x35911af1B570E26f668905595dEd133D01CD3E5a,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xc4Eb861e7b66f593482a3D7E8adc314f6eEDA30B,0x88794C65550DeB6b4087B7552eCf295113794410,dineroETH -> pxETH/wETH,67.39446337400372,67.39446337400372,67.1969867850443,67.3889830559148,,,,0.06312242613274315,0.0600456526376584,0.0600456526376584,47.0,1.0,0.0,0.0,0.0,0.0013163287102126997,0.0016420204698250895,23046989,23261489,23475989,2025-08-31 13:40:59+00:00,2025-09-30 13:04:59+00:00,True
4,4,0xc4Eb861e7b66f593482a3D7E8adc314f6eEDA30B,0x35911af1B570E26f668905595dEd133D01CD3E5a,23044304,22.46481947773956,rebalance_plan_1754028014_0x35911af1B570E26f668905595dEd133D01CD3E5a.json,,,Balancer pxETH/wETH StablePool,dineroETH,tokemak,balancer,0x88794C65550DeB6b4087B7552eCf295113794410,0x35911af1B570E26f668905595dEd133D01CD3E5a,rebalance_plan_1754028014_0x35911af1B570E26f668905595dEd133D01CD3E5a.json,2025-08-01 06:00:14+00:00,0x35911af1B570E26f668905595dEd133D01CD3E5a,1.0,0x76187c3b976101A4B886b76068ad6b91Eec18D9d,FromIdle,0x35911af1B570E26f668905595dEd133D01CD3E5a,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xc4Eb861e7b66f593482a3D7E8adc314f6eEDA30B,0x88794C65550DeB6b4087B7552eCf295113794410,dineroETH -> pxETH/wETH,22.46481947773956,22.46481947773956,22.39405821401091,22.455561446444708,,,,0.06235549086528231,0.061309315605342925,0.061309315605342925,47.0,1.0,0.0,0.0,0.0,0.0012902775068495131,0.0016066656062101448,23044304,23258804,23473304,2025-08-31 04:42:11+00:00,2025-09-30 04:04:23+00:00,True
5,5,0xc4Eb861e7b66f593482a3D7E8adc314f6eEDA30B,0x35911af1B570E26f668905595dEd133D01CD3E5a,23041624,29.9531344937123,rebalance_plan_1753995613_0x35911af1B570E26f668905595dEd133D01CD3E5a.json,,,Balancer pxETH/wETH StablePool,dineroETH,tokemak,balancer,0x88794C65550DeB6b4087B7552eCf295113794410,0x35911af1B570E26f668905595dEd133D01CD3E5a,rebalance_plan_1753995613_0x35911af1B570E26f668905595dEd133D01CD3E5a.json,2025-07-31 21:00:13+00:00,0x35911af1B570E26f668905595dEd133D01CD3E5a,1.0,0x76187c3b976101A4B886b76068ad6b91Eec18D9d,FromIdle,0x35911af1B570E26f668905595dEd133D01CD3E5a,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xc4Eb861e7b66f593482a3D7E8adc314f6eEDA30B,0x88794C65550DeB6b4087B7552eCf295113794410,dineroETH -> pxETH/wETH,29.9531344937123,29.9531344937123,29.85962834119194,29.942093637894107,,,,0.06500962413616074,0.06349044888581652,0.06349044888581652,47.0,1.0,0.0,0.0,0.0,0.0012851591390050654,0.0015953729926365678,23041624,23256124,23470624,2025-08-30 19:44:11+00:00,2025-09-29 19:05:47+00:00,True
6,6,0xc4Eb861e7b66f593482a3D7E8adc314f6eEDA30B,0x35911af1B570E26f668905595dEd133D01CD3E5a,23035376,43.46259532223811,rebalance_plan_1753920014_0x35911af1B570E26f668905595dEd133D01CD3E5a.json,,,Balancer pxETH/wETH StablePool,dineroETH,tokemak,balancer,0x88794C65550DeB6b4087B7552eCf295113794410,0x35911af1B570E26f668905595dEd133D01CD3E5a,rebalance_plan_1753920014_0x35911af1B570E26f668905595dEd133D01CD3E5a.json,2025-07-31 00:00:14+00:00,0x35911af1B570E26f668905595dEd133D01CD3E5a,1.0,0x76187c3b976101A4B886b76068ad6b91Eec18D9d,FromIdle,0x35911af1B570E26f668905595dEd133D01CD3E5a,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xc4Eb861e7b66f593482a3D7E8adc314f6eEDA30B,0x88794C65550DeB6b4087B7552eCf295113794410,dineroETH -> pxETH/wETH,43.46259532223811,43.46259532223811,43.35392674867909,43.44885036294621,,,,0.06567265886766266,0.06347505865854235,0.06347505865854235,47.0,1.0,0.0,0.0,0.0,0.0012940321369467878,0.0016146131836487498,23035376,23249876,23464376,2025-08-29 22:50:11+00:00,2025-09-28 22:08:23+00:00,True
7,7,0xc4Eb861e7b66f593482a3D7E8adc314f6eEDA30B,0x35911af1B570E26f668905595dEd133D01CD3E5a,23032699,69.32444856703208,rebalance_plan_1753887615_0x35911af1B570E26f668905595dEd133D01CD3E5a.json,,,Balancer pxETH/wETH StablePool,dineroETH,tokemak,balancer,0x88794C65550DeB6b4087B7552eCf295113794410,0x35911af1B570E26f668905595dEd133D01CD3E5a,rebalance_plan_1753887615_0x35911af1B570E26f668905595dEd133D01CD3E5a.json,2025-07-30 15:00:15+00:00,0x35911af1B570E26f668905595dEd133D01CD3E5a,1.0,0x76187c3b976101A4B886b76068ad6b91Eec18D9d,FromIdle,0x35911af1B570E26f668905595dEd133D01CD3E5a,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xc4Eb861e7b66f593482a3D7E8adc314f6eEDA30B,0x88794C65550DeB6b4087B7552eCf295113794410,dineroETH -> pxETH/wETH,69.32444856703208,69.32444856703208,69.15982915807213,69.29876554100379,,,,0.06907911922754942,0.06525341252096582,0.06525341252096582,47.0,1.0,0.0,0.0,0.0,0.0012936581291522753,0.0016145997117884558,23032699,23247199,23461699,2025-08-29 13:52:11+00:00,2025-09-28 13:09:23+00:00,True
8,8,0xc4Eb861e7b66f593482a3D7E8adc314f6eEDA30B,0x35911af1B570E26f668905595dEd133D01CD3E5a,23030018,23.1081484033342,rebalance_plan_1753855214_0x35911af1B570E26f668905595dEd133D01CD3E5a.json,,,Balancer pxETH/wETH StablePool,dineroETH,tokemak,balancer,0x88794C65550DeB6b4087B7552eCf295113794410,0x35911af1B570E26f668905595dEd133D01CD3E5a,rebalance_plan_1753855214_0x35911af1B570E26f668905595dEd133D01CD3E5a.json,2025-07-30 06:00:14+00:00,0x35911af1B570E26f668905595dEd133D01CD3E5a,1.0,0x76187c3b976101A4B886b76068ad6b91Eec18D9d,FromIdle,0x35911af1B570E26f668905595dEd133D01CD3E5a,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xc4Eb861e7b66f593482a3D7E8adc314f6eEDA30B,0x88794C65550DeB6b4087B7552eCf295113794410,dineroETH -> pxETH/wETH,23.1081484033342,23.1081484033342,23.053366645445475,23.10450322633838,,,,0.07302409150102977,0.071538327382966,0.071538327382966,47.0,1.0,0.0,0.0,0.0,0.0012828204881696337,0.001613045312415906,23030018,23244518,23459018,2025-08-29 04:53:11+00:00,2025-09-28 04:08:47+00:00,True
9,9,0xc4Eb861e7b66f593482a3D7E8adc314f6eEDA30B,0x35911af1B570E26f668905595dEd133D01CD3E5a,23027337,28.645332145332084,rebalance_plan_1753822814_0x35911af1B570E26f668905595dEd133D01CD3E5a.json,,,Balancer pxETH/wETH StablePool,dineroETH,tokemak,balancer,0x88794C65550DeB6b4087B7552eCf295113794410,0x35911af1B570E26f668905595dEd133D01CD3E5a,rebalance_plan_1753822814_0x35911af1B570E26f668905595dEd133D01CD3E5a.json,2025-07-29 21:00:14+00:00,0x35911af1B570E26f668905595dEd133D01CD3E5a,1.0,0x76187c3b976101A4B886b76068ad6b91Eec18D9d,FromIdle,0x35911af1B570E26f668905595dEd133D01CD3E5a,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xc4Eb861e7b66f593482a3D7E8adc314f6eEDA30B,0x88794C65550DeB6b4087B7552eCf295113794410,dineroETH -> pxETH/wETH,28.645332145332084,28.645332145332084,28.58326980446714,28.64784368559673,,,,0.0730946422687794,0.07125986510209857,0.07125986510209857,47.0,1.0,0.0,0.0,0.0,0.0012741297879224067,0.00161218716584699,23027337,23241837,23456337,2025-08-28 19:55:23+00:00,2025-09-27 19:09:59+00:00,True
