,index,destination_in_x,destination_out_x,block,safe_value_out,rebalance_file_path,fee_and_base_out,fee_and_base_in,destination_in_name,destination_out_name,out_exchange_name,in_exchange_name,pool_in,pool_out,file_name,datetime_generated,autopool_vault_address,chain_id,solver_address,rebalance_type,destination_out_y,token_out,destination_in_y,token_in,move_name,amount_out,amount_out_safe_value,min_amount_in,min_amount_in_safe_value,amount_out_spot_value,out_dest_apr,min_amount_in_spot_value,in_dest_apr,in_dest_adj_apr,apr_delta,swap_offset_period,num_candidate_destinations,candidate_destinations_rank,valid,error,error_type,actual_30_day_fee_and_base_out,actual_60_day_fee_and_base_out,actual_30_day_fee_and_base_in,actual_60_day_fee_and_base_in
0,0,0xCb119265AA1195ea363D7A243aD56c73EA42Eb59,0x4827788F01D7533710cbfa7C0b5991E8b99E277F,55908553,117055.839119781,,,,sonicUSD,EVK Vault eUSDC.e-3,euler,tokemak,0xCb119265AA1195ea363D7A243aD56c73EA42Eb59,0x196F3C7443E940911EE2Bb88e019Fd71400349D9,,,,,,,,,,,,,,,,,,,,,,,,,False,"ChainData(name='sonic', block_autopool_first_deployed=31593624, chain_id=146, start_unix_timestamp=1748961926, alchemy_network_enum='sonic-mainnet')",KeyError,,,0.0,0.0
1,1,0xCb119265AA1195ea363D7A243aD56c73EA42Eb59,0x310CCB9eC996A228cd6F4Eb2E70769ccDbeD163D,55798365,22.967245374953457,rebalance_plan_1763571846_0xCb119265AA1195ea363D7A243aD56c73EA42Eb59.json,0.00028531406217391364,,sonicUSD,2Pool,curve,tokemak,0xCb119265AA1195ea363D7A243aD56c73EA42Eb59,0xD3Dc6b2c947F1BCa4D4a85114b34a71985606cd2,rebalance_plan_1763571846_0xCb119265AA1195ea363D7A243aD56c73EA42Eb59.json,2025-11-19 17:04:06+00:00,0xCb119265AA1195ea363D7A243aD56c73EA42Eb59,146.0,0xAF6F21F1A0c6D47b61388B982954666dD030e10C,ToIdle,0x310CCB9eC996A228cd6F4Eb2E70769ccDbeD163D,0xD3Dc6b2c947F1BCa4D4a85114b34a71985606cd2,0xCb119265AA1195ea363D7A243aD56c73EA42Eb59,0x29219dd400f2Bf60E5a23d13Be72B486D4038894,2CRV -> sonicUSD,22.959048994462435,22.967245,22.905393,22.914559,,0.05244635207927817,,,,-0.05244635207927817,,0.0,,False,"ChainData(name='sonic', block_autopool_first_deployed=31593624, chain_id=146, start_unix_timestamp=1748961926, alchemy_network_enum='sonic-mainnet')",KeyError,,,0.0,0.0
2,2,0x4827788F01D7533710cbfa7C0b5991E8b99E277F,0x310CCB9eC996A228cd6F4Eb2E70769ccDbeD163D,53606050,0.10004550000000001,,,,EVK Vault eUSDC.e-3,2Pool,curve,euler,0x196F3C7443E940911EE2Bb88e019Fd71400349D9,0xD3Dc6b2c947F1BCa4D4a85114b34a71985606cd2,,,,,,,,,,,,,,,,,,,,,,,,,False,"ChainData(name='sonic', block_autopool_first_deployed=31593624, chain_id=146, start_unix_timestamp=1748961926, alchemy_network_enum='sonic-mainnet')",KeyError,,,,
3,3,0x310CCB9eC996A228cd6F4Eb2E70769ccDbeD163D,0x4827788F01D7533710cbfa7C0b5991E8b99E277F,53600326,2.111922,rebalance_plan_1762272304_0xCb119265AA1195ea363D7A243aD56c73EA42Eb59.json,0.587938478514505,0.00048226846928857425,2Pool,EVK Vault eUSDC.e-3,euler,curve,0xD3Dc6b2c947F1BCa4D4a85114b34a71985606cd2,0x196F3C7443E940911EE2Bb88e019Fd71400349D9,rebalance_plan_1762272304_0xCb119265AA1195ea363D7A243aD56c73EA42Eb59.json,2025-11-04 16:05:04+00:00,0xCb119265AA1195ea363D7A243aD56c73EA42Eb59,146.0,0xAF6F21F1A0c6D47b61388B982954666dD030e10C,Pool2Pool,0x4827788F01D7533710cbfa7C0b5991E8b99E277F,0x196F3C7443E940911EE2Bb88e019Fd71400349D9,0x310CCB9eC996A228cd6F4Eb2E70769ccDbeD163D,0xD3Dc6b2c947F1BCa4D4a85114b34a71985606cd2,eUSDC.e-3 -> 2CRV,2.0,2.111914,2.106489510178828,2.108291,,0.587938478514505,,0.04639974900803801,0.04639959459993298,-0.5415388839145721,14.0,0.0,,False,"ChainData(name='sonic', block_autopool_first_deployed=31593624, chain_id=146, start_unix_timestamp=1748961926, alchemy_network_enum='sonic-mainnet')",KeyError,,,,
4,4,0x310CCB9eC996A228cd6F4Eb2E70769ccDbeD163D,0xCb119265AA1195ea363D7A243aD56c73EA42Eb59,48119950,1714.814999,rebalance_plan_1758785930_0xCb119265AA1195ea363D7A243aD56c73EA42Eb59.json,,0.0004285296911678005,2Pool,sonicUSD,tokemak,curve,0xD3Dc6b2c947F1BCa4D4a85114b34a71985606cd2,0xCb119265AA1195ea363D7A243aD56c73EA42Eb59,rebalance_plan_1758785930_0xCb119265AA1195ea363D7A243aD56c73EA42Eb59.json,2025-09-25 07:38:50+00:00,0xCb119265AA1195ea363D7A243aD56c73EA42Eb59,146.0,0xAF6F21F1A0c6D47b61388B982954666dD030e10C,FromIdle,0xCb119265AA1195ea363D7A243aD56c73EA42Eb59,0x29219dd400f2Bf60E5a23d13Be72B486D4038894,0x310CCB9eC996A228cd6F4Eb2E70769ccDbeD163D,0xD3Dc6b2c947F1BCa4D4a85114b34a71985606cd2,sonicUSD -> 2CRV,1714.814999,1714.814999,1711.3257414826066,1713.121273,,,,0.07210395912127728,0.07192248922668443,0.07192248922668443,14.0,1.0,0.0,False,"ChainData(name='sonic', block_autopool_first_deployed=31593624, chain_id=146, start_unix_timestamp=1748961926, alchemy_network_enum='sonic-mainnet')",KeyError,0.0,0.0,,
5,5,0x310CCB9eC996A228cd6F4Eb2E70769ccDbeD163D,0xCb119265AA1195ea363D7A243aD56c73EA42Eb59,46665189,1010.06,rebalance_plan_1757727530_0xCb119265AA1195ea363D7A243aD56c73EA42Eb59.json,,0.0002738088137026057,2Pool,sonicUSD,tokemak,curve,0xD3Dc6b2c947F1BCa4D4a85114b34a71985606cd2,0xCb119265AA1195ea363D7A243aD56c73EA42Eb59,rebalance_plan_1757727530_0xCb119265AA1195ea363D7A243aD56c73EA42Eb59.json,2025-09-13 01:38:50+00:00,0xCb119265AA1195ea363D7A243aD56c73EA42Eb59,146.0,0xAF6F21F1A0c6D47b61388B982954666dD030e10C,FromIdle,0xCb119265AA1195ea363D7A243aD56c73EA42Eb59,0x29219dd400f2Bf60E5a23d13Be72B486D4038894,0x310CCB9eC996A228cd6F4Eb2E70769ccDbeD163D,0xD3Dc6b2c947F1BCa4D4a85114b34a71985606cd2,sonicUSD -> 2CRV,1010.06,1010.06,1008.1384397591665,1009.129688,,,,0.08178351279720815,0.08167525624813934,0.08167525624813934,14.0,1.0,0.0,False,"ChainData(name='sonic', block_autopool_first_deployed=31593624, chain_id=146, start_unix_timestamp=1748961926, alchemy_network_enum='sonic-mainnet')",KeyError,0.0,0.0,,
6,6,0x310CCB9eC996A228cd6F4Eb2E70769ccDbeD163D,0xCb119265AA1195ea363D7A243aD56c73EA42Eb59,45801133,1657.514,rebalance_plan_1757043530_0xCb119265AA1195ea363D7A243aD56c73EA42Eb59.json,,0.0002879054735228648,2Pool,sonicUSD,tokemak,curve,0xD3Dc6b2c947F1BCa4D4a85114b34a71985606cd2,0xCb119265AA1195ea363D7A243aD56c73EA42Eb59,rebalance_plan_1757043530_0xCb119265AA1195ea363D7A243aD56c73EA42Eb59.json,2025-09-05 03:38:50+00:00,0xCb119265AA1195ea363D7A243aD56c73EA42Eb59,146.0,0xAF6F21F1A0c6D47b61388B982954666dD030e10C,FromIdle,0xCb119265AA1195ea363D7A243aD56c73EA42Eb59,0x29219dd400f2Bf60E5a23d13Be72B486D4038894,0x310CCB9eC996A228cd6F4Eb2E70769ccDbeD163D,0xD3Dc6b2c947F1BCa4D4a85114b34a71985606cd2,sonicUSD -> 2CRV,1657.514,1657.514,1654.1902326678664,1655.711437,,,,0.07227408704891397,0.07211772663838632,0.07211772663838632,14.0,1.0,0.0,False,"ChainData(name='sonic', block_autopool_first_deployed=31593624, chain_id=146, start_unix_timestamp=1748961926, alchemy_network_enum='sonic-mainnet')",KeyError,0.0,0.0,,
7,7,0x310CCB9eC996A228cd6F4Eb2E70769ccDbeD163D,0xCb119265AA1195ea363D7A243aD56c73EA42Eb59,45374311,3272.236,rebalance_plan_1756741130_0xCb119265AA1195ea363D7A243aD56c73EA42Eb59.json,,0.0003120046882748029,2Pool,sonicUSD,tokemak,curve,0xD3Dc6b2c947F1BCa4D4a85114b34a71985606cd2,0xCb119265AA1195ea363D7A243aD56c73EA42Eb59,rebalance_plan_1756741130_0xCb119265AA1195ea363D7A243aD56c73EA42Eb59.json,2025-09-01 15:38:50+00:00,0xCb119265AA1195ea363D7A243aD56c73EA42Eb59,146.0,0xAF6F21F1A0c6D47b61388B982954666dD030e10C,FromIdle,0xCb119265AA1195ea363D7A243aD56c73EA42Eb59,0x29219dd400f2Bf60E5a23d13Be72B486D4038894,0x310CCB9eC996A228cd6F4Eb2E70769ccDbeD163D,0xD3Dc6b2c947F1BCa4D4a85114b34a71985606cd2,sonicUSD -> 2CRV,3272.236,3272.236,3265.416279847559,3268.272097,,,,0.06985641665396558,0.06957170739434795,0.06957170739434795,14.0,1.0,0.0,False,"ChainData(name='sonic', block_autopool_first_deployed=31593624, chain_id=146, start_unix_timestamp=1748961926, alchemy_network_enum='sonic-mainnet')",KeyError,0.0,0.0,,
8,8,0x310CCB9eC996A228cd6F4Eb2E70769ccDbeD163D,0xCb119265AA1195ea363D7A243aD56c73EA42Eb59,45341279,6285.86,rebalance_plan_1756719530_0xCb119265AA1195ea363D7A243aD56c73EA42Eb59.json,,0.0002959347891278996,2Pool,sonicUSD,tokemak,curve,0xD3Dc6b2c947F1BCa4D4a85114b34a71985606cd2,0xCb119265AA1195ea363D7A243aD56c73EA42Eb59,rebalance_plan_1756719530_0xCb119265AA1195ea363D7A243aD56c73EA42Eb59.json,2025-09-01 09:38:50+00:00,0xCb119265AA1195ea363D7A243aD56c73EA42Eb59,146.0,0xAF6F21F1A0c6D47b61388B982954666dD030e10C,FromIdle,0xCb119265AA1195ea363D7A243aD56c73EA42Eb59,0x29219dd400f2Bf60E5a23d13Be72B486D4038894,0x310CCB9eC996A228cd6F4Eb2E70769ccDbeD163D,0xD3Dc6b2c947F1BCa4D4a85114b34a71985606cd2,sonicUSD -> 2CRV,6285.86,6285.86,6272.66592425896,6278.154625,,,,0.07458883779207395,0.07398704095933546,0.07398704095933546,14.0,1.0,0.0,False,"ChainData(name='sonic', block_autopool_first_deployed=31593624, chain_id=146, start_unix_timestamp=1748961926, alchemy_network_enum='sonic-mainnet')",KeyError,0.0,0.0,,
9,9,0x310CCB9eC996A228cd6F4Eb2E70769ccDbeD163D,0xCb119265AA1195ea363D7A243aD56c73EA42Eb59,45223141,10281.286999,rebalance_plan_1756633130_0xCb119265AA1195ea363D7A243aD56c73EA42Eb59.json,,0.00032616817692167344,2Pool,sonicUSD,tokemak,curve,0xD3Dc6b2c947F1BCa4D4a85114b34a71985606cd2,0xCb119265AA1195ea363D7A243aD56c73EA42Eb59,rebalance_plan_1756633130_0xCb119265AA1195ea363D7A243aD56c73EA42Eb59.json,2025-08-31 09:38:50+00:00,0xCb119265AA1195ea363D7A243aD56c73EA42Eb59,146.0,0xAF6F21F1A0c6D47b61388B982954666dD030e10C,FromIdle,0xCb119265AA1195ea363D7A243aD56c73EA42Eb59,0x29219dd400f2Bf60E5a23d13Be72B486D4038894,0x310CCB9eC996A228cd6F4Eb2E70769ccDbeD163D,0xD3Dc6b2c947F1BCa4D4a85114b34a71985606cd2,sonicUSD -> 2CRV,10281.286999,10281.286999,10259.706910734662,10268.751262,,,,0.07467044871864846,0.07370060415153362,0.07370060415153362,14.0,1.0,0.0,False,"ChainData(name='sonic', block_autopool_first_deployed=31593624, chain_id=146, start_unix_timestamp=1748961926, alchemy_network_enum='sonic-mainnet')",KeyError,0.0,0.0,,
