,index,destination_in_x,destination_out_x,block,safe_value_out,rebalance_file_path,fee_and_base_out,fee_and_base_in,destination_in_name,destination_out_name,out_exchange_name,in_exchange_name,pool_in,pool_out,file_name,datetime_generated,autopool_vault_address,chain_id,solver_address,rebalance_type,destination_out_y,token_out,destination_in_y,token_in,move_name,amount_out,amount_out_safe_value,min_amount_in,min_amount_in_safe_value,amount_out_spot_value,out_dest_apr,min_amount_in_spot_value,in_dest_apr,in_dest_adj_apr,apr_delta,swap_offset_period,num_candidate_destinations,candidate_destinations_rank,valid,error,error_type,actual_30_day_fee_and_base_out,actual_60_day_fee_and_base_out,actual_30_day_fee_and_base_in,actual_60_day_fee_and_base_in
0,0,0xab3DA8995D5FeA17913c3D12A5B199F1cCC9Bf0b,0xce1c8244410a4F97308Ffc5Ec926C9EF8FAeC809,429383093,220930.57701173052,rebalance_plan_1770418401_0xf63b7F49B4f5Dc5D0e7e583Cfd79DC64E646320c.json,0.02535653068379365,0.04477026109728029,Steakhouse High Yield USDC,Balancer Aave GHO/USDT/USDC,balancerV3,morpho,0x5c0C306Aaa9F877de636f4d5822cA9F2E81563BA,0x19B001e6Bc2d89154c18e2216eec5C8c6047b6d8,rebalance_plan_1770418401_0xf63b7F49B4f5Dc5D0e7e583Cfd79DC64E646320c.json,2026-02-06 22:53:21+00:00,0xf63b7F49B4f5Dc5D0e7e583Cfd79DC64E646320c,42161.0,0x371B3CC4cAD4bFFc25729C9Db4d8c97ECab29488,Pool2Pool,0xce1c8244410a4F97308Ffc5Ec926C9EF8FAeC809,0x19B001e6Bc2d89154c18e2216eec5C8c6047b6d8,0xab3DA8995D5FeA17913c3D12A5B199F1cCC9Bf0b,0x5c0C306Aaa9F877de636f4d5822cA9F2E81563BA,Aave GHO/USDT/USDC -> bbqUSDC,213116.24370384176,220930.363895,216217.2636075365,220816.868175,,0.03594644532669017,,0.04776983224031017,0.047753768748723294,0.011807323422033125,20.0,1.0,0.0,False,"ChainData(name='arb', block_autopool_first_deployed=377406050, chain_id=42161, start_unix_timestamp=1757439586, alchemy_network_enum='arb-mainnet')",KeyError,,,,
1,1,0xab3DA8995D5FeA17913c3D12A5B199F1cCC9Bf0b,0xce1c8244410a4F97308Ffc5Ec926C9EF8FAeC809,429354224,294572.39775235776,rebalance_plan_1770411201_0xf63b7F49B4f5Dc5D0e7e583Cfd79DC64E646320c.json,0.025365192070432526,0.04503166506858236,Steakhouse High Yield USDC,Balancer Aave GHO/USDT/USDC,balancerV3,morpho,0x5c0C306Aaa9F877de636f4d5822cA9F2E81563BA,0x19B001e6Bc2d89154c18e2216eec5C8c6047b6d8,rebalance_plan_1770411201_0xf63b7F49B4f5Dc5D0e7e583Cfd79DC64E646320c.json,2026-02-06 20:53:21+00:00,0xf63b7F49B4f5Dc5D0e7e583Cfd79DC64E646320c,42161.0,0x371B3CC4cAD4bFFc25729C9Db4d8c97ECab29488,Pool2Pool,0xce1c8244410a4F97308Ffc5Ec926C9EF8FAeC809,0x19B001e6Bc2d89154c18e2216eec5C8c6047b6d8,0xab3DA8995D5FeA17913c3D12A5B199F1cCC9Bf0b,0x5c0C306Aaa9F877de636f4d5822cA9F2E81563BA,Aave GHO/USDT/USDC -> bbqUSDC,284154.99160512234,294572.397752,288277.6401216002,294407.88311,,0.03562971298325651,,0.04797123752454064,0.04795029228008343,0.012320579296826915,20.0,1.0,0.0,False,"ChainData(name='arb', block_autopool_first_deployed=377406050, chain_id=42161, start_unix_timestamp=1757439586, alchemy_network_enum='arb-mainnet')",KeyError,,,,
2,2,0xce1c8244410a4F97308Ffc5Ec926C9EF8FAeC809,0xab3DA8995D5FeA17913c3D12A5B199F1cCC9Bf0b,429339717,199955.92893001315,rebalance_plan_1770407600_0xf63b7F49B4f5Dc5D0e7e583Cfd79DC64E646320c.json,0.0,0.025362991878453985,Balancer Aave GHO/USDT/USDC,Steakhouse High Yield USDC,morpho,balancerV3,0x19B001e6Bc2d89154c18e2216eec5C8c6047b6d8,0x5c0C306Aaa9F877de636f4d5822cA9F2E81563BA,rebalance_plan_1770407600_0xf63b7F49B4f5Dc5D0e7e583Cfd79DC64E646320c.json,2026-02-06 19:53:20+00:00,0xf63b7F49B4f5Dc5D0e7e583Cfd79DC64E646320c,42161.0,0x371B3CC4cAD4bFFc25729C9Db4d8c97ECab29488,Pool2Pool,0xab3DA8995D5FeA17913c3D12A5B199F1cCC9Bf0b,0x5c0C306Aaa9F877de636f4d5822cA9F2E81563BA,0xce1c8244410a4F97308Ffc5Ec926C9EF8FAeC809,0x19B001e6Bc2d89154c18e2216eec5C8c6047b6d8,bbqUSDC -> Aave GHO/USDT/USDC,195871.42216363488,199955.733058,192745.34857067472,199891.414144,,0.002959183165754127,,0.035869705534685145,0.03561625502098729,0.03265707185523316,20.0,1.0,0.0,False,"ChainData(name='arb', block_autopool_first_deployed=377406050, chain_id=42161, start_unix_timestamp=1757439586, alchemy_network_enum='arb-mainnet')",KeyError,,,,
3,3,0xce1c8244410a4F97308Ffc5Ec926C9EF8FAeC809,0xab3DA8995D5FeA17913c3D12A5B199F1cCC9Bf0b,429325260,199970.6169845582,rebalance_plan_1770404001_0xf63b7F49B4f5Dc5D0e7e583Cfd79DC64E646320c.json,0.0,0.0253553174051908,Balancer Aave GHO/USDT/USDC,Steakhouse High Yield USDC,morpho,balancerV3,0x19B001e6Bc2d89154c18e2216eec5C8c6047b6d8,0x5c0C306Aaa9F877de636f4d5822cA9F2E81563BA,rebalance_plan_1770404001_0xf63b7F49B4f5Dc5D0e7e583Cfd79DC64E646320c.json,2026-02-06 18:53:21+00:00,0xf63b7F49B4f5Dc5D0e7e583Cfd79DC64E646320c,42161.0,0x371B3CC4cAD4bFFc25729C9Db4d8c97ECab29488,Pool2Pool,0xab3DA8995D5FeA17913c3D12A5B199F1cCC9Bf0b,0x5c0C306Aaa9F877de636f4d5822cA9F2E81563BA,0xce1c8244410a4F97308Ffc5Ec926C9EF8FAeC809,0x19B001e6Bc2d89154c18e2216eec5C8c6047b6d8,bbqUSDC -> Aave GHO/USDT/USDC,195886.76961169363,199970.616984,192740.87089837063,199885.850645,,0.002997299764647348,,0.03606114118233915,0.03579653274340609,0.032799232978758745,20.0,2.0,0.0,False,"ChainData(name='arb', block_autopool_first_deployed=377406050, chain_id=42161, start_unix_timestamp=1757439586, alchemy_network_enum='arb-mainnet')",KeyError,,,,
4,4,0xce1c8244410a4F97308Ffc5Ec926C9EF8FAeC809,0xab3DA8995D5FeA17913c3D12A5B199F1cCC9Bf0b,429310805,200054.67559636087,rebalance_plan_1770400401_0xf63b7F49B4f5Dc5D0e7e583Cfd79DC64E646320c.json,0.0,0.02531640593640888,Balancer Aave GHO/USDT/USDC,Steakhouse High Yield USDC,morpho,balancerV3,0x19B001e6Bc2d89154c18e2216eec5C8c6047b6d8,0x5c0C306Aaa9F877de636f4d5822cA9F2E81563BA,rebalance_plan_1770400401_0xf63b7F49B4f5Dc5D0e7e583Cfd79DC64E646320c.json,2026-02-06 17:53:21+00:00,0xf63b7F49B4f5Dc5D0e7e583Cfd79DC64E646320c,42161.0,0x371B3CC4cAD4bFFc25729C9Db4d8c97ECab29488,Pool2Pool,0xab3DA8995D5FeA17913c3D12A5B199F1cCC9Bf0b,0x5c0C306Aaa9F877de636f4d5822cA9F2E81563BA,0xce1c8244410a4F97308Ffc5Ec926C9EF8FAeC809,0x19B001e6Bc2d89154c18e2216eec5C8c6047b6d8,bbqUSDC -> Aave GHO/USDT/USDC,195969.8794295317,200054.675596,192779.79541331626,199927.035134,,0.0030310850445317895,,0.036304893928623044,0.03602635674676116,0.03299527170222937,20.0,1.0,0.0,False,"ChainData(name='arb', block_autopool_first_deployed=377406050, chain_id=42161, start_unix_timestamp=1757439586, alchemy_network_enum='arb-mainnet')",KeyError,,,,
5,5,0xce1c8244410a4F97308Ffc5Ec926C9EF8FAeC809,0xab3DA8995D5FeA17913c3D12A5B199F1cCC9Bf0b,429296303,237422.48919950883,rebalance_plan_1770396801_0xf63b7F49B4f5Dc5D0e7e583Cfd79DC64E646320c.json,0.0,0.025202827772977353,Balancer Aave GHO/USDT/USDC,Steakhouse High Yield USDC,morpho,balancerV3,0x19B001e6Bc2d89154c18e2216eec5C8c6047b6d8,0x5c0C306Aaa9F877de636f4d5822cA9F2E81563BA,rebalance_plan_1770396801_0xf63b7F49B4f5Dc5D0e7e583Cfd79DC64E646320c.json,2026-02-06 16:53:21+00:00,0xf63b7F49B4f5Dc5D0e7e583Cfd79DC64E646320c,42161.0,0x371B3CC4cAD4bFFc25729C9Db4d8c97ECab29488,Pool2Pool,0xab3DA8995D5FeA17913c3D12A5B199F1cCC9Bf0b,0x5c0C306Aaa9F877de636f4d5822cA9F2E81563BA,0xce1c8244410a4F97308Ffc5Ec926C9EF8FAeC809,0x19B001e6Bc2d89154c18e2216eec5C8c6047b6d8,bbqUSDC -> Aave GHO/USDT/USDC,232575.3855884597,237422.256624,228775.82688963463,237258.96787,,0.003033788589019183,,0.0365226654302469,0.036173286779155205,0.03313949819013602,20.0,1.0,0.0,False,"ChainData(name='arb', block_autopool_first_deployed=377406050, chain_id=42161, start_unix_timestamp=1757439586, alchemy_network_enum='arb-mainnet')",KeyError,,,,
6,6,0xab3DA8995D5FeA17913c3D12A5B199F1cCC9Bf0b,0xce1c8244410a4F97308Ffc5Ec926C9EF8FAeC809,429165899,199937.27666875417,rebalance_plan_1770364400_0xf63b7F49B4f5Dc5D0e7e583Cfd79DC64E646320c.json,0.02495281275909733,0.04496871574331945,Steakhouse High Yield USDC,Balancer Aave GHO/USDT/USDC,balancerV3,morpho,0x5c0C306Aaa9F877de636f4d5822cA9F2E81563BA,0x19B001e6Bc2d89154c18e2216eec5C8c6047b6d8,rebalance_plan_1770364400_0xf63b7F49B4f5Dc5D0e7e583Cfd79DC64E646320c.json,2026-02-06 07:53:20+00:00,0xf63b7F49B4f5Dc5D0e7e583Cfd79DC64E646320c,42161.0,0x371B3CC4cAD4bFFc25729C9Db4d8c97ECab29488,Pool2Pool,0xce1c8244410a4F97308Ffc5Ec926C9EF8FAeC809,0x19B001e6Bc2d89154c18e2216eec5C8c6047b6d8,0xab3DA8995D5FeA17913c3D12A5B199F1cCC9Bf0b,0x5c0C306Aaa9F877de636f4d5822cA9F2E81563BA,Aave GHO/USDT/USDC -> bbqUSDC,192994.86537160675,199936.504689,195741.566121685,199892.66409,,0.03508850930726109,,0.04762932197524316,0.047617766732631635,0.012529257425370546,20.0,2.0,0.0,False,"ChainData(name='arb', block_autopool_first_deployed=377406050, chain_id=42161, start_unix_timestamp=1757439586, alchemy_network_enum='arb-mainnet')",KeyError,,,,
7,7,0xab3DA8995D5FeA17913c3D12A5B199F1cCC9Bf0b,0xce1c8244410a4F97308Ffc5Ec926C9EF8FAeC809,429151433,199925.70120692113,rebalance_plan_1770360800_0xf63b7F49B4f5Dc5D0e7e583Cfd79DC64E646320c.json,0.024970006745086946,0.04483844602157465,Steakhouse High Yield USDC,Balancer Aave GHO/USDT/USDC,balancerV3,morpho,0x5c0C306Aaa9F877de636f4d5822cA9F2E81563BA,0x19B001e6Bc2d89154c18e2216eec5C8c6047b6d8,rebalance_plan_1770360800_0xf63b7F49B4f5Dc5D0e7e583Cfd79DC64E646320c.json,2026-02-06 06:53:20+00:00,0xf63b7F49B4f5Dc5D0e7e583Cfd79DC64E646320c,42161.0,0x371B3CC4cAD4bFFc25729C9Db4d8c97ECab29488,Pool2Pool,0xce1c8244410a4F97308Ffc5Ec926C9EF8FAeC809,0x19B001e6Bc2d89154c18e2216eec5C8c6047b6d8,0xab3DA8995D5FeA17913c3D12A5B199F1cCC9Bf0b,0x5c0C306Aaa9F877de636f4d5822cA9F2E81563BA,Aave GHO/USDT/USDC -> bbqUSDC,192983.87812682125,199925.122255,195745.4553957819,199895.419733,,0.034942640409031875,,0.047445673842452254,0.04743427151066041,0.012491631101628535,20.0,2.0,0.0,False,"ChainData(name='arb', block_autopool_first_deployed=377406050, chain_id=42161, start_unix_timestamp=1757439586, alchemy_network_enum='arb-mainnet')",KeyError,,,,
8,8,0xab3DA8995D5FeA17913c3D12A5B199F1cCC9Bf0b,0xce1c8244410a4F97308Ffc5Ec926C9EF8FAeC809,429136965,249690.1608944102,rebalance_plan_1770357201_0xf63b7F49B4f5Dc5D0e7e583Cfd79DC64E646320c.json,0.02498242282239649,0.04490388211492298,Steakhouse High Yield USDC,Balancer Aave GHO/USDT/USDC,balancerV3,morpho,0x5c0C306Aaa9F877de636f4d5822cA9F2E81563BA,0x19B001e6Bc2d89154c18e2216eec5C8c6047b6d8,rebalance_plan_1770357201_0xf63b7F49B4f5Dc5D0e7e583Cfd79DC64E646320c.json,2026-02-06 05:53:21+00:00,0xf63b7F49B4f5Dc5D0e7e583Cfd79DC64E646320c,42161.0,0x371B3CC4cAD4bFFc25729C9Db4d8c97ECab29488,Pool2Pool,0xce1c8244410a4F97308Ffc5Ec926C9EF8FAeC809,0x19B001e6Bc2d89154c18e2216eec5C8c6047b6d8,0xab3DA8995D5FeA17913c3D12A5B199F1cCC9Bf0b,0x5c0C306Aaa9F877de636f4d5822cA9F2E81563BA,Aave GHO/USDT/USDC -> bbqUSDC,241022.04410038397,249689.919872,244475.55435624399,249657.219891,,0.0346531108556284,,0.047593207720690055,0.0475783156514405,0.0129252047958121,20.0,2.0,0.0,False,"ChainData(name='arb', block_autopool_first_deployed=377406050, chain_id=42161, start_unix_timestamp=1757439586, alchemy_network_enum='arb-mainnet')",KeyError,,,,
9,9,0xab3DA8995D5FeA17913c3D12A5B199F1cCC9Bf0b,0xce1c8244410a4F97308Ffc5Ec926C9EF8FAeC809,429108021,299876.3970462658,rebalance_plan_1770350001_0xf63b7F49B4f5Dc5D0e7e583Cfd79DC64E646320c.json,0.025031604554161403,0.08941891193769481,Steakhouse High Yield USDC,Balancer Aave GHO/USDT/USDC,balancerV3,morpho,0x5c0C306Aaa9F877de636f4d5822cA9F2E81563BA,0x19B001e6Bc2d89154c18e2216eec5C8c6047b6d8,rebalance_plan_1770350001_0xf63b7F49B4f5Dc5D0e7e583Cfd79DC64E646320c.json,2026-02-06 03:53:21+00:00,0xf63b7F49B4f5Dc5D0e7e583Cfd79DC64E646320c,42161.0,0x371B3CC4cAD4bFFc25729C9Db4d8c97ECab29488,Pool2Pool,0xce1c8244410a4F97308Ffc5Ec926C9EF8FAeC809,0x19B001e6Bc2d89154c18e2216eec5C8c6047b6d8,0xab3DA8995D5FeA17913c3D12A5B199F1cCC9Bf0b,0x5c0C306Aaa9F877de636f4d5822cA9F2E81563BA,Aave GHO/USDT/USDC -> bbqUSDC,289468.275724322,299876.686514,293633.9088732953,299854.14379,,0.07274223768373164,,0.09196874007854983,0.09195204587029171,0.019209808186560068,20.0,1.0,0.0,False,"ChainData(name='arb', block_autopool_first_deployed=377406050, chain_id=42161, start_unix_timestamp=1757439586, alchemy_network_enum='arb-mainnet')",KeyError,,,,
