,index,destination_in_x,destination_out_x,block,safe_value_out,rebalance_file_path,fee_and_base_out,fee_and_base_in,destination_in_name,destination_out_name,out_exchange_name,in_exchange_name,pool_in,pool_out,file_name,datetime_generated,autopool_vault_address,chain_id,solver_address,rebalance_type,destination_out_y,token_out,destination_in_y,token_in,move_name,amount_out,amount_out_safe_value,min_amount_in,min_amount_in_safe_value,amount_out_spot_value,out_dest_apr,min_amount_in_spot_value,in_dest_apr,in_dest_adj_apr,apr_delta,swap_offset_period,num_candidate_destinations,candidate_destinations_rank,actual_30_day_fee_and_base_out,actual_60_day_fee_and_base_out,actual_30_day_fee_and_base_in,actual_60_day_fee_and_base_in,start_block,block_30_days,block_60_days,timestamp_30_days,timestamp_60_days,valid
0,0,0xE800e3760FC20aA98c5df6A9816147f190455AF3,0xf9779aEF9f77e78C857CB4A068c65CcBee25BAAc,23798111,38.59020805439995,,,,autoLRT,Balancer rsETH-WETH Stable Pool,balancer,tokemak,0xE800e3760FC20aA98c5df6A9816147f190455AF3,0x58AAdFB1Afac0ad7fca1148f3cdE6aEDF5236B6D,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,23798111,24012611,24227111,2025-12-14 18:23:35+00:00,2026-01-13 16:55:59+00:00,True
1,1,0xE800e3760FC20aA98c5df6A9816147f190455AF3,0x5c6aeb9ef0d5BbA4E6691f381003503FD0D45126,23785670,12.00724128323283,rebalance_plan_1762980958_0xE800e3760FC20aA98c5df6A9816147f190455AF3.json,0.04758689259297087,,autoLRT,weETH/WETH-ng,curve,tokemak,0xE800e3760FC20aA98c5df6A9816147f190455AF3,0xDB74dfDD3BB46bE8Ce6C33dC9D82777BCFc3dEd5,rebalance_plan_1762980958_0xE800e3760FC20aA98c5df6A9816147f190455AF3.json,2025-11-12 20:55:58+00:00,0xE800e3760FC20aA98c5df6A9816147f190455AF3,1.0,0x067cB94576aBBDB3527055f3c8CaAAc9668364AD,ToIdle,0x5c6aeb9ef0d5BbA4E6691f381003503FD0D45126,0xDB74dfDD3BB46bE8Ce6C33dC9D82777BCFc3dEd5,0xE800e3760FC20aA98c5df6A9816147f190455AF3,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,weeth-ng -> autoLRT,11.333221680532093,12.007251716538288,12.00543037357867,12.010234467365615,,0.05461016385414427,,,,-0.05461016385414427,,0.0,,0.02622458690370344,0.022693540460092754,0.0,0.0,23785670,24000170,24214670,2025-12-13 00:40:11+00:00,2026-01-11 23:11:11+00:00,True
2,2,0xf9779aEF9f77e78C857CB4A068c65CcBee25BAAc,0x5c6aeb9ef0d5BbA4E6691f381003503FD0D45126,23623578,4.174451848309781,rebalance_plan_1761021013_0xE800e3760FC20aA98c5df6A9816147f190455AF3.json,0.04706610062146598,0.01869170950158617,Balancer rsETH-WETH Stable Pool,weETH/WETH-ng,curve,balancer,0x58AAdFB1Afac0ad7fca1148f3cdE6aEDF5236B6D,0xDB74dfDD3BB46bE8Ce6C33dC9D82777BCFc3dEd5,rebalance_plan_1761021013_0xE800e3760FC20aA98c5df6A9816147f190455AF3.json,2025-10-21 04:30:13+00:00,0xE800e3760FC20aA98c5df6A9816147f190455AF3,1.0,0x067cB94576aBBDB3527055f3c8CaAAc9668364AD,Pool2Pool,0x5c6aeb9ef0d5BbA4E6691f381003503FD0D45126,0xDB74dfDD3BB46bE8Ce6C33dC9D82777BCFc3dEd5,0xf9779aEF9f77e78C857CB4A068c65CcBee25BAAc,0x58AAdFB1Afac0ad7fca1148f3cdE6aEDF5236B6D,weeth-ng -> rsETH / WETH,3.945938283578168,4.174451848309781,4.013791308332683,4.174948705947345,,0.05385072251518394,,0.06251717765509439,0.06233891826001655,0.00848819574483261,36.0,1.0,0.0,0.026760378762718195,0.024998788375892866,-1.0,-1.0,23623578,23838078,24052578,2025-11-20 05:08:47+00:00,2025-12-20 08:20:35+00:00,True
3,3,0xf9779aEF9f77e78C857CB4A068c65CcBee25BAAc,0x5c6aeb9ef0d5BbA4E6691f381003503FD0D45126,23609308,5.565698919441047,rebalance_plan_1760848213_0xE800e3760FC20aA98c5df6A9816147f190455AF3.json,0.047075489884149675,0.019274148510424922,Balancer rsETH-WETH Stable Pool,weETH/WETH-ng,curve,balancer,0x58AAdFB1Afac0ad7fca1148f3cdE6aEDF5236B6D,0xDB74dfDD3BB46bE8Ce6C33dC9D82777BCFc3dEd5,rebalance_plan_1760848213_0xE800e3760FC20aA98c5df6A9816147f190455AF3.json,2025-10-19 04:30:13+00:00,0xE800e3760FC20aA98c5df6A9816147f190455AF3,1.0,0x067cB94576aBBDB3527055f3c8CaAAc9668364AD,Pool2Pool,0x5c6aeb9ef0d5BbA4E6691f381003503FD0D45126,0xDB74dfDD3BB46bE8Ce6C33dC9D82777BCFc3dEd5,0xf9779aEF9f77e78C857CB4A068c65CcBee25BAAc,0x58AAdFB1Afac0ad7fca1148f3cdE6aEDF5236B6D,weeth-ng -> rsETH / WETH,5.261251044770891,5.565698919441046,5.351969570963337,5.566538421364375,,0.05364378762113907,,0.06318987886000611,0.06295069108412873,0.009306903462989666,38.0,1.0,0.0,0.025915066224127647,0.025022429313036998,-1.0,-1.0,23609308,23823808,24038308,2025-11-18 05:04:11+00:00,2025-12-18 08:30:35+00:00,True
4,4,0xf9779aEF9f77e78C857CB4A068c65CcBee25BAAc,0x5c6aeb9ef0d5BbA4E6691f381003503FD0D45126,23602164,7.42107604040757,rebalance_plan_1760761813_0xE800e3760FC20aA98c5df6A9816147f190455AF3.json,0.0476458578887621,0.01917353158384994,Balancer rsETH-WETH Stable Pool,weETH/WETH-ng,curve,balancer,0x58AAdFB1Afac0ad7fca1148f3cdE6aEDF5236B6D,0xDB74dfDD3BB46bE8Ce6C33dC9D82777BCFc3dEd5,rebalance_plan_1760761813_0xE800e3760FC20aA98c5df6A9816147f190455AF3.json,2025-10-18 04:30:13+00:00,0xE800e3760FC20aA98c5df6A9816147f190455AF3,1.0,0x067cB94576aBBDB3527055f3c8CaAAc9668364AD,Pool2Pool,0x5c6aeb9ef0d5BbA4E6691f381003503FD0D45126,0xDB74dfDD3BB46bE8Ce6C33dC9D82777BCFc3dEd5,0xf9779aEF9f77e78C857CB4A068c65CcBee25BAAc,0x58AAdFB1Afac0ad7fca1148f3cdE6aEDF5236B6D,weeth-ng -> rsETH / WETH,7.015001393027854,7.421080383064831,7.135661174027217,7.422448363600538,,0.054215651189324705,,0.06309478459287104,0.06277455505708714,0.008558903867762431,38.0,1.0,0.0,0.025078392808384864,0.024972986725141366,-1.0,-1.0,23602164,23816664,24031164,2025-11-17 04:59:11+00:00,2025-12-17 08:33:11+00:00,True
5,5,0xf9779aEF9f77e78C857CB4A068c65CcBee25BAAc,0x5c6aeb9ef0d5BbA4E6691f381003503FD0D45126,23595011,9.895529383988622,rebalance_plan_1760675413_0xE800e3760FC20aA98c5df6A9816147f190455AF3.json,0.045528944619575275,0.018082220661677986,Balancer rsETH-WETH Stable Pool,weETH/WETH-ng,curve,balancer,0x58AAdFB1Afac0ad7fca1148f3cdE6aEDF5236B6D,0xDB74dfDD3BB46bE8Ce6C33dC9D82777BCFc3dEd5,rebalance_plan_1760675413_0xE800e3760FC20aA98c5df6A9816147f190455AF3.json,2025-10-17 04:30:13+00:00,0xE800e3760FC20aA98c5df6A9816147f190455AF3,1.0,0x067cB94576aBBDB3527055f3c8CaAAc9668364AD,Pool2Pool,0x5c6aeb9ef0d5BbA4E6691f381003503FD0D45126,0xDB74dfDD3BB46bE8Ce6C33dC9D82777BCFc3dEd5,0xf9779aEF9f77e78C857CB4A068c65CcBee25BAAc,0x58AAdFB1Afac0ad7fca1148f3cdE6aEDF5236B6D,weeth-ng -> rsETH / WETH,9.353335190703804,9.895535829811521,9.513804292221625,9.894267099948548,,0.052306362788418125,,0.061722916225096854,0.06129538143466458,0.008989018646246454,38.0,1.0,0.0,0.025233581663325566,0.025106746998982743,-1.0,-1.0,23595011,23809511,24024011,2025-11-16 04:59:23+00:00,2025-12-16 08:35:47+00:00,True
6,6,0xf9779aEF9f77e78C857CB4A068c65CcBee25BAAc,0x5c6aeb9ef0d5BbA4E6691f381003503FD0D45126,23587863,13.192361542598817,rebalance_plan_1760589013_0xE800e3760FC20aA98c5df6A9816147f190455AF3.json,0.04565556099670116,0.018794776894765303,Balancer rsETH-WETH Stable Pool,weETH/WETH-ng,curve,balancer,0x58AAdFB1Afac0ad7fca1148f3cdE6aEDF5236B6D,0xDB74dfDD3BB46bE8Ce6C33dC9D82777BCFc3dEd5,rebalance_plan_1760589013_0xE800e3760FC20aA98c5df6A9816147f190455AF3.json,2025-10-16 04:30:13+00:00,0xE800e3760FC20aA98c5df6A9816147f190455AF3,1.0,0x067cB94576aBBDB3527055f3c8CaAAc9668364AD,Pool2Pool,0x5c6aeb9ef0d5BbA4E6691f381003503FD0D45126,0xDB74dfDD3BB46bE8Ce6C33dC9D82777BCFc3dEd5,0xf9779aEF9f77e78C857CB4A068c65CcBee25BAAc,0x58AAdFB1Afac0ad7fca1148f3cdE6aEDF5236B6D,weeth-ng -> rsETH / WETH,12.471113587605071,13.192368675133823,12.685296540440449,13.19265394492305,,0.0524703934089564,,0.07508775676360736,0.07386190646594297,0.02139151305698657,38.0,1.0,0.0,0.025266948891699004,0.02515378532252499,-1.0,-1.0,23587863,23802363,24016863,2025-11-15 05:00:47+00:00,2025-12-15 08:39:11+00:00,True
7,7,0x5c6aeb9ef0d5BbA4E6691f381003503FD0D45126,0xE800e3760FC20aA98c5df6A9816147f190455AF3,23344606,13.480202967322837,rebalance_plan_1757651413_0xE800e3760FC20aA98c5df6A9816147f190455AF3.json,,0.052196634985721344,weETH/WETH-ng,autoLRT,tokemak,curve,0xDB74dfDD3BB46bE8Ce6C33dC9D82777BCFc3dEd5,0xE800e3760FC20aA98c5df6A9816147f190455AF3,rebalance_plan_1757651413_0xE800e3760FC20aA98c5df6A9816147f190455AF3.json,2025-09-12 04:30:13+00:00,0xE800e3760FC20aA98c5df6A9816147f190455AF3,1.0,0x067cB94576aBBDB3527055f3c8CaAAc9668364AD,FromIdle,0xE800e3760FC20aA98c5df6A9816147f190455AF3,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x5c6aeb9ef0d5BbA4E6691f381003503FD0D45126,0xDB74dfDD3BB46bE8Ce6C33dC9D82777BCFc3dEd5,autoLRT -> weeth-ng,13.480202967322837,13.480202967322837,12.7786824411204,13.47990260754785,,,,0.06413120082220007,0.06409888607107976,0.06409888607107976,37.0,4.0,0.0,0.0,0.0,0.025957012177026728,0.02494746848417151,23344606,23559106,23773606,2025-10-12 03:58:35+00:00,2025-11-11 04:26:59+00:00,True
8,8,0x5c6aeb9ef0d5BbA4E6691f381003503FD0D45126,0xf9779aEF9f77e78C857CB4A068c65CcBee25BAAc,23208575,14.354192018057242,rebalance_plan_1756009813_0xE800e3760FC20aA98c5df6A9816147f190455AF3.json,0.02672395595603229,0.057172878308348066,weETH/WETH-ng,Balancer rsETH-WETH Stable Pool,balancer,curve,0xDB74dfDD3BB46bE8Ce6C33dC9D82777BCFc3dEd5,0x58AAdFB1Afac0ad7fca1148f3cdE6aEDF5236B6D,rebalance_plan_1756009813_0xE800e3760FC20aA98c5df6A9816147f190455AF3.json,2025-08-24 04:30:13+00:00,0xE800e3760FC20aA98c5df6A9816147f190455AF3,1.0,0x067cB94576aBBDB3527055f3c8CaAAc9668364AD,Pool2Pool,0xf9779aEF9f77e78C857CB4A068c65CcBee25BAAc,0x58AAdFB1Afac0ad7fca1148f3cdE6aEDF5236B6D,0x5c6aeb9ef0d5BbA4E6691f381003503FD0D45126,0xDB74dfDD3BB46bE8Ce6C33dC9D82777BCFc3dEd5,rsETH / WETH -> weeth-ng,13.875460082408084,14.354203191597811,13.636275808140912,14.355369903687704,,0.0529093433345055,,0.06673001160039725,0.06669509832736815,0.013785754992862657,37.0,1.0,0.0,0.021055873198823072,0.01940068483500257,0.0263874372553754,0.025740092942234005,23208575,23423075,23637575,2025-09-23 03:34:35+00:00,2025-10-23 03:38:23+00:00,True
9,9,0x5c6aeb9ef0d5BbA4E6691f381003503FD0D45126,0xf9779aEF9f77e78C857CB4A068c65CcBee25BAAc,23201413,4.785086429218525,rebalance_plan_1755923413_0xE800e3760FC20aA98c5df6A9816147f190455AF3.json,0.027615360605937184,0.05715298578495456,weETH/WETH-ng,Balancer rsETH-WETH Stable Pool,balancer,curve,0xDB74dfDD3BB46bE8Ce6C33dC9D82777BCFc3dEd5,0x58AAdFB1Afac0ad7fca1148f3cdE6aEDF5236B6D,rebalance_plan_1755923413_0xE800e3760FC20aA98c5df6A9816147f190455AF3.json,2025-08-23 04:30:13+00:00,0xE800e3760FC20aA98c5df6A9816147f190455AF3,1.0,0x067cB94576aBBDB3527055f3c8CaAAc9668364AD,Pool2Pool,0xf9779aEF9f77e78C857CB4A068c65CcBee25BAAc,0x58AAdFB1Afac0ad7fca1148f3cdE6aEDF5236B6D,0x5c6aeb9ef0d5BbA4E6691f381003503FD0D45126,0xDB74dfDD3BB46bE8Ce6C33dC9D82777BCFc3dEd5,rsETH / WETH -> weeth-ng,4.625153360802695,4.785082534277424,4.5426184440125885,4.7810237187484805,,0.05459472392465849,,0.06693227114815539,0.06692033152617265,0.012325607601514153,37.0,1.0,0.0,0.02067236888612256,0.01892961336646226,0.0265022179856389,0.02587069078133153,23201413,23415913,23630413,2025-09-22 03:32:59+00:00,2025-10-22 03:32:59+00:00,True
