,index,destination_in_x,destination_out_x,block,safe_value_out,rebalance_file_path,fee_and_base_out,fee_and_base_in,destination_in_name,destination_out_name,out_exchange_name,in_exchange_name,pool_in,pool_out,file_name,datetime_generated,autopool_vault_address,chain_id,solver_address,rebalance_type,destination_out_y,token_out,destination_in_y,token_in,move_name,amount_out,amount_out_safe_value,min_amount_in,min_amount_in_safe_value,amount_out_spot_value,out_dest_apr,min_amount_in_spot_value,in_dest_apr,in_dest_adj_apr,apr_delta,swap_offset_period,num_candidate_destinations,candidate_destinations_rank,valid,actual_30_day_fee_and_base_out,actual_60_day_fee_and_base_out,actual_30_day_fee_and_base_in,actual_60_day_fee_and_base_in,start_block,block_30_days,block_60_days,timestamp_30_days,timestamp_60_days
0,0,0x366C094C5563CD12AF27b9AfFF2200B0E0D056E0,0xa7569A44f348d3D70d8ad5889e50F78E33d80D35,24402267,199999.999999,rebalance_plan_1770434848_0xa7569A44f348d3D70d8ad5889e50F78E33d80D35.json,,0.02648989445670081,Balancer Aave GHO/USDT/USDC,autoUSD,tokemak,balancerV3,0x85B2b559bC2D21104C4DEFdd6EFcA8A20343361D,0xa7569A44f348d3D70d8ad5889e50F78E33d80D35,rebalance_plan_1770434848_0xa7569A44f348d3D70d8ad5889e50F78E33d80D35.json,2026-02-07 03:27:28+00:00,0xa7569A44f348d3D70d8ad5889e50F78E33d80D35,1.0,0xD02b50CFc6c2903bF13638B28D081ad11515B6f9,FromIdle,0xa7569A44f348d3D70d8ad5889e50F78E33d80D35,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x366C094C5563CD12AF27b9AfFF2200B0E0D056E0,0x85B2b559bC2D21104C4DEFdd6EFcA8A20343361D,autoUSD -> Aave GHO/USDT/USDC,199999.999999,199999.999999,192483.05369261024,199912.348806,,,,0.06268283232528159,0.06244174351622649,0.06244174351622649,15.0,3.0,0.0,False,0.0,0.0,,,,,,,
1,1,0x5cA9f70543b4C6C754eE6Ad02107597DBF1c25c2,0xa7569A44f348d3D70d8ad5889e50F78E33d80D35,24400616,377177.029,rebalance_plan_1770414921_0xa7569A44f348d3D70d8ad5889e50F78E33d80D35.json,,0.06838309403161577,Gauntlet USDC Prime,autoUSD,tokemak,morpho,0x8c106EEDAd96553e64287A5A6839c3Cc78afA3D0,0xa7569A44f348d3D70d8ad5889e50F78E33d80D35,rebalance_plan_1770414921_0xa7569A44f348d3D70d8ad5889e50F78E33d80D35.json,2026-02-06 21:55:21+00:00,0xa7569A44f348d3D70d8ad5889e50F78E33d80D35,1.0,0xD02b50CFc6c2903bF13638B28D081ad11515B6f9,FromIdle,0xa7569A44f348d3D70d8ad5889e50F78E33d80D35,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x5cA9f70543b4C6C754eE6Ad02107597DBF1c25c2,0x8c106EEDAd96553e64287A5A6839c3Cc78afA3D0,autoUSD -> gtusdcp,377177.029,377177.029,371853.9468954455,377120.452445,,,,0.07248583256689521,0.07135439773676196,0.07135439773676196,15.0,0.0,,False,0.0,0.0,,,,,,,
2,2,0xC9fd3dDCD3C00C6d647C7307d4140125488B7191,0xa7569A44f348d3D70d8ad5889e50F78E33d80D35,24400154,754344.0575,rebalance_plan_1770409352_0xa7569A44f348d3D70d8ad5889e50F78E33d80D35.json,,0.06868425422603994,Steakhouse Prime Instant,autoUSD,tokemak,morpho,0xbeef088055857739C12CD3765F20b7679Def0f51,0xa7569A44f348d3D70d8ad5889e50F78E33d80D35,rebalance_plan_1770409352_0xa7569A44f348d3D70d8ad5889e50F78E33d80D35.json,2026-02-06 20:22:32+00:00,0xa7569A44f348d3D70d8ad5889e50F78E33d80D35,1.0,0xD02b50CFc6c2903bF13638B28D081ad11515B6f9,FromIdle,0xa7569A44f348d3D70d8ad5889e50F78E33d80D35,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0xC9fd3dDCD3C00C6d647C7307d4140125488B7191,0xbeef088055857739C12CD3765F20b7679Def0f51,autoUSD -> steakUSDC,754344.0575,754344.0575,746152.5597253054,754230.905891,,,,0.07289034076393795,0.07252868631478332,0.07252868631478332,15.0,0.0,,False,0.0,0.0,,,,,,,
3,3,0xC9fd3dDCD3C00C6d647C7307d4140125488B7191,0xa7569A44f348d3D70d8ad5889e50F78E33d80D35,24399754,1508688.115,rebalance_plan_1770404533_0xa7569A44f348d3D70d8ad5889e50F78E33d80D35.json,,0.03559552070296644,Steakhouse Prime Instant,autoUSD,tokemak,morpho,0xbeef088055857739C12CD3765F20b7679Def0f51,0xa7569A44f348d3D70d8ad5889e50F78E33d80D35,rebalance_plan_1770404533_0xa7569A44f348d3D70d8ad5889e50F78E33d80D35.json,2026-02-06 19:02:13+00:00,0xa7569A44f348d3D70d8ad5889e50F78E33d80D35,1.0,0xD02b50CFc6c2903bF13638B28D081ad11515B6f9,FromIdle,0xa7569A44f348d3D70d8ad5889e50F78E33d80D35,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0xC9fd3dDCD3C00C6d647C7307d4140125488B7191,0xbeef088055857739C12CD3765F20b7679Def0f51,autoUSD -> steakUSDC,1508688.115,1508688.115,1492317.8240156586,1508461.811782,,,,0.03969238024822713,0.03892154996553464,0.03892154996553464,15.0,0.0,,False,0.0,0.0,,,,,,,
4,4,0x366C094C5563CD12AF27b9AfFF2200B0E0D056E0,0x7876F91BB22148345b3De16af9448081E9853830,24397136,30003.03854324977,rebalance_plan_1770372941_0xa7569A44f348d3D70d8ad5889e50F78E33d80D35.json,0.03711549571104915,0.026771897419736894,Balancer Aave GHO/USDT/USDC,Fluid USD Coin,fluid,balancerV3,0x85B2b559bC2D21104C4DEFdd6EFcA8A20343361D,0x9Fb7b4477576Fe5B32be4C1843aFB1e55F251B33,rebalance_plan_1770372941_0xa7569A44f348d3D70d8ad5889e50F78E33d80D35.json,2026-02-06 10:15:41+00:00,0xa7569A44f348d3D70d8ad5889e50F78E33d80D35,1.0,0xD02b50CFc6c2903bF13638B28D081ad11515B6f9,Pool2Pool,0x7876F91BB22148345b3De16af9448081E9853830,0x9Fb7b4477576Fe5B32be4C1843aFB1e55F251B33,0x366C094C5563CD12AF27b9AfFF2200B0E0D056E0,0x85B2b559bC2D21104C4DEFdd6EFcA8A20343361D,fUSDC -> Aave GHO/USDT/USDC,25321.199414,30003.038543,28889.252527716802,29971.872628,,0.04494549571104915,,0.062388943372346774,0.06235357259344697,0.017408076882397816,15.0,2.0,0.0,False,,,,,,,,,
5,5,0x366C094C5563CD12AF27b9AfFF2200B0E0D056E0,0x7876F91BB22148345b3De16af9448081E9853830,24395945,30004.83671148912,rebalance_plan_1770358541_0xa7569A44f348d3D70d8ad5889e50F78E33d80D35.json,0.030618002977501505,0.026879307569914343,Balancer Aave GHO/USDT/USDC,Fluid USD Coin,fluid,balancerV3,0x85B2b559bC2D21104C4DEFdd6EFcA8A20343361D,0x9Fb7b4477576Fe5B32be4C1843aFB1e55F251B33,rebalance_plan_1770358541_0xa7569A44f348d3D70d8ad5889e50F78E33d80D35.json,2026-02-06 06:15:41+00:00,0xa7569A44f348d3D70d8ad5889e50F78E33d80D35,1.0,0xD02b50CFc6c2903bF13638B28D081ad11515B6f9,Pool2Pool,0x7876F91BB22148345b3De16af9448081E9853830,0x9Fb7b4477576Fe5B32be4C1843aFB1e55F251B33,0x366C094C5563CD12AF27b9AfFF2200B0E0D056E0,0x85B2b559bC2D21104C4DEFdd6EFcA8A20343361D,fUSDC -> Aave GHO/USDT/USDC,25323.101674,30004.836712,28888.676216435488,29972.514701,,0.038358002977501506,,0.06304021474671696,0.06300448131424662,0.02464647833674511,15.0,3.0,0.0,False,,,,,,,,,
6,6,0x366C094C5563CD12AF27b9AfFF2200B0E0D056E0,0xa7569A44f348d3D70d8ad5889e50F78E33d80D35,24395351,32455.484,rebalance_plan_1770351341_0xa7569A44f348d3D70d8ad5889e50F78E33d80D35.json,,0.026948809977769876,Balancer Aave GHO/USDT/USDC,autoUSD,tokemak,balancerV3,0x85B2b559bC2D21104C4DEFdd6EFcA8A20343361D,0xa7569A44f348d3D70d8ad5889e50F78E33d80D35,rebalance_plan_1770351341_0xa7569A44f348d3D70d8ad5889e50F78E33d80D35.json,2026-02-06 04:15:41+00:00,0xa7569A44f348d3D70d8ad5889e50F78E33d80D35,1.0,0xD02b50CFc6c2903bF13638B28D081ad11515B6f9,FromIdle,0xa7569A44f348d3D70d8ad5889e50F78E33d80D35,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x366C094C5563CD12AF27b9AfFF2200B0E0D056E0,0x85B2b559bC2D21104C4DEFdd6EFcA8A20343361D,autoUSD -> Aave GHO/USDT/USDC,32455.484,32455.484,31247.57841489688,32419.995502,,,,0.0745474648573198,0.07449655450614422,0.07449655450614422,15.0,3.0,0.0,False,0.0,0.0,,,,,,,
7,7,0x366C094C5563CD12AF27b9AfFF2200B0E0D056E0,0x7876F91BB22148345b3De16af9448081E9853830,24389985,49998.60737634628,rebalance_plan_1770286541_0xa7569A44f348d3D70d8ad5889e50F78E33d80D35.json,0.04133651303631281,0.02768248130418719,Balancer Aave GHO/USDT/USDC,Fluid USD Coin,fluid,balancerV3,0x85B2b559bC2D21104C4DEFdd6EFcA8A20343361D,0x9Fb7b4477576Fe5B32be4C1843aFB1e55F251B33,rebalance_plan_1770286541_0xa7569A44f348d3D70d8ad5889e50F78E33d80D35.json,2026-02-05 10:15:41+00:00,0xa7569A44f348d3D70d8ad5889e50F78E33d80D35,1.0,0xD02b50CFc6c2903bF13638B28D081ad11515B6f9,Pool2Pool,0x7876F91BB22148345b3De16af9448081E9853830,0x9Fb7b4477576Fe5B32be4C1843aFB1e55F251B33,0x366C094C5563CD12AF27b9AfFF2200B0E0D056E0,0x85B2b559bC2D21104C4DEFdd6EFcA8A20343361D,fUSDC -> Aave GHO/USDT/USDC,42200.681118,49998.607377,48158.20574157823,49985.138792,,0.049796513036312814,,0.07181984694682919,0.07175333512726255,0.021956822090949735,15.0,1.0,0.0,False,,,,,,,,,
8,8,0x366C094C5563CD12AF27b9AfFF2200B0E0D056E0,0x7876F91BB22148345b3De16af9448081E9853830,24389390,50008.52630759553,rebalance_plan_1770279341_0xa7569A44f348d3D70d8ad5889e50F78E33d80D35.json,0.04218192645898938,0.027720988191883837,Balancer Aave GHO/USDT/USDC,Fluid USD Coin,fluid,balancerV3,0x85B2b559bC2D21104C4DEFdd6EFcA8A20343361D,0x9Fb7b4477576Fe5B32be4C1843aFB1e55F251B33,rebalance_plan_1770279341_0xa7569A44f348d3D70d8ad5889e50F78E33d80D35.json,2026-02-05 08:15:41+00:00,0xa7569A44f348d3D70d8ad5889e50F78E33d80D35,1.0,0xD02b50CFc6c2903bF13638B28D081ad11515B6f9,Pool2Pool,0x7876F91BB22148345b3De16af9448081E9853830,0x9Fb7b4477576Fe5B32be4C1843aFB1e55F251B33,0x366C094C5563CD12AF27b9AfFF2200B0E0D056E0,0x85B2b559bC2D21104C4DEFdd6EFcA8A20343361D,fUSDC -> Aave GHO/USDT/USDC,42209.444954,50008.526307,48182.21623292843,50010.106828,,0.050641926458989385,,0.0719244961747237,0.0718577508438793,0.021215824384889913,15.0,1.0,0.0,False,,,,,,,,,
9,9,0x366C094C5563CD12AF27b9AfFF2200B0E0D056E0,0x7876F91BB22148345b3De16af9448081E9853830,24388794,50003.503066434845,rebalance_plan_1770272141_0xa7569A44f348d3D70d8ad5889e50F78E33d80D35.json,0.04134541249906991,0.02770115145357687,Balancer Aave GHO/USDT/USDC,Fluid USD Coin,fluid,balancerV3,0x85B2b559bC2D21104C4DEFdd6EFcA8A20343361D,0x9Fb7b4477576Fe5B32be4C1843aFB1e55F251B33,rebalance_plan_1770272141_0xa7569A44f348d3D70d8ad5889e50F78E33d80D35.json,2026-02-05 06:15:41+00:00,0xa7569A44f348d3D70d8ad5889e50F78E33d80D35,1.0,0xD02b50CFc6c2903bF13638B28D081ad11515B6f9,Pool2Pool,0x7876F91BB22148345b3De16af9448081E9853830,0x9Fb7b4477576Fe5B32be4C1843aFB1e55F251B33,0x366C094C5563CD12AF27b9AfFF2200B0E0D056E0,0x85B2b559bC2D21104C4DEFdd6EFcA8A20343361D,fUSDC -> Aave GHO/USDT/USDC,42205.632594,50003.503067,48171.657346437394,50002.366804,,0.04971541249906991,,0.07195458691555924,0.0718877749647834,0.022172362465713483,15.0,1.0,0.0,False,,,,,,,,,
10,10,0x366C094C5563CD12AF27b9AfFF2200B0E0D056E0,0x7876F91BB22148345b3De16af9448081E9853830,24388206,49993.543763659356,rebalance_plan_1770264941_0xa7569A44f348d3D70d8ad5889e50F78E33d80D35.json,0.041439283086542114,0.027711184590504576,Balancer Aave GHO/USDT/USDC,Fluid USD Coin,fluid,balancerV3,0x85B2b559bC2D21104C4DEFdd6EFcA8A20343361D,0x9Fb7b4477576Fe5B32be4C1843aFB1e55F251B33,rebalance_plan_1770264941_0xa7569A44f348d3D70d8ad5889e50F78E33d80D35.json,2026-02-05 04:15:41+00:00,0xa7569A44f348d3D70d8ad5889e50F78E33d80D35,1.0,0xD02b50CFc6c2903bF13638B28D081ad11515B6f9,Pool2Pool,0x7876F91BB22148345b3De16af9448081E9853830,0x9Fb7b4477576Fe5B32be4C1843aFB1e55F251B33,0x366C094C5563CD12AF27b9AfFF2200B0E0D056E0,0x85B2b559bC2D21104C4DEFdd6EFcA8A20343361D,fUSDC -> Aave GHO/USDT/USDC,42197.618197,49993.543764,48154.92421426384,49984.540295,,0.04971928308654212,,0.07207815253302319,0.0720110911135397,0.022291808026997588,15.0,3.0,0.0,False,,,,,,,,,
