,index,destination_in_x,destination_out_x,block,safe_value_out,rebalance_file_path,fee_and_base_out,fee_and_base_in,destination_in_name,destination_out_name,out_exchange_name,in_exchange_name,pool_in,pool_out,file_name,datetime_generated,autopool_vault_address,chain_id,solver_address,rebalance_type,destination_out_y,token_out,destination_in_y,token_in,move_name,amount_out,amount_out_safe_value,min_amount_in,min_amount_in_safe_value,amount_out_spot_value,out_dest_apr,min_amount_in_spot_value,in_dest_apr,in_dest_adj_apr,apr_delta,swap_offset_period,num_candidate_destinations,candidate_destinations_rank,actual_30_day_fee_and_base_out,actual_60_day_fee_and_base_out,actual_30_day_fee_and_base_in,actual_60_day_fee_and_base_in,start_block,block_30_days,block_60_days,timestamp_30_days,timestamp_60_days,valid
0,0,0x2f2CC1bf461413014741dD68481dB4a3686DAC3D,0xc4Eb861e7b66f593482a3D7E8adc314f6eEDA30B,22757914,22.44214923171085,rebalance_plan_1750570249_0x6dC3ce9C57b20131347FDc9089D740DAf6eB34c5.json,0.003192740215619395,0.019945109723800352,Balancer ezETH-WETH Stable Pool,Balancer pxETH/wETH StablePool,balancer,balancer,0x596192bB6e41802428Ac943D2f1476C1Af25CC0E,0x88794C65550DeB6b4087B7552eCf295113794410,rebalance_plan_1750570249_0x6dC3ce9C57b20131347FDc9089D740DAf6eB34c5.json,2025-06-22 05:30:49+00:00,0x6dC3ce9C57b20131347FDc9089D740DAf6eB34c5,1.0,0x9cf7E7d9F02CaEdcE2286199C0c20dd92580433d,Pool2Pool,0xc4Eb861e7b66f593482a3D7E8adc314f6eEDA30B,0x88794C65550DeB6b4087B7552eCf295113794410,0x2f2CC1bf461413014741dD68481dB4a3686DAC3D,0x596192bB6e41802428Ac943D2f1476C1Af25CC0E,pxETH/wETH -> ezETH-WETH-BPT,22.39014341174554,22.442150532272098,21.729571089700926,22.428459551014406,,0.003192740215619395,,0.038746965697368706,0.038612619955199906,0.03541987973958051,20.0,2.0,0.0,0.002949168292961657,0.0020314595119905743,0.02033509040369541,0.02189471997346626,22757914,22972414,23186914,2025-07-22 04:43:35+00:00,2025-08-21 03:56:59+00:00,True
1,1,0x2f2CC1bf461413014741dD68481dB4a3686DAC3D,0xc4Eb861e7b66f593482a3D7E8adc314f6eEDA30B,22755234,7.480894046756833,rebalance_plan_1750537849_0x6dC3ce9C57b20131347FDc9089D740DAf6eB34c5.json,0.003173280436413818,0.020526516062602907,Balancer ezETH-WETH Stable Pool,Balancer pxETH/wETH StablePool,balancer,balancer,0x596192bB6e41802428Ac943D2f1476C1Af25CC0E,0x88794C65550DeB6b4087B7552eCf295113794410,rebalance_plan_1750537849_0x6dC3ce9C57b20131347FDc9089D740DAf6eB34c5.json,2025-06-21 20:30:49+00:00,0x6dC3ce9C57b20131347FDc9089D740DAf6eB34c5,1.0,0x9cf7E7d9F02CaEdcE2286199C0c20dd92580433d,Pool2Pool,0xc4Eb861e7b66f593482a3D7E8adc314f6eEDA30B,0x88794C65550DeB6b4087B7552eCf295113794410,0x2f2CC1bf461413014741dD68481dB4a3686DAC3D,0x596192bB6e41802428Ac943D2f1476C1Af25CC0E,pxETH/wETH -> ezETH-WETH-BPT,7.463381137248514,7.480894408062693,7.242885692948613,7.477249882531543,,0.003173280436413818,,0.03941676915906866,0.03937173504083735,0.03619845460442354,20.0,2.0,0.0,0.0029276997317195796,0.002040884223415196,0.020270211450545306,0.021928851634171576,22755234,22969734,23184234,2025-07-21 19:44:35+00:00,2025-08-20 18:58:47+00:00,True
2,2,0x2f2CC1bf461413014741dD68481dB4a3686DAC3D,0xc4Eb861e7b66f593482a3D7E8adc314f6eEDA30B,22752559,9.974766778705533,rebalance_plan_1750505449_0x6dC3ce9C57b20131347FDc9089D740DAf6eB34c5.json,0.003151920779393536,0.02049376959617985,Balancer ezETH-WETH Stable Pool,Balancer pxETH/wETH StablePool,balancer,balancer,0x596192bB6e41802428Ac943D2f1476C1Af25CC0E,0x88794C65550DeB6b4087B7552eCf295113794410,rebalance_plan_1750505449_0x6dC3ce9C57b20131347FDc9089D740DAf6eB34c5.json,2025-06-21 11:30:49+00:00,0x6dC3ce9C57b20131347FDc9089D740DAf6eB34c5,1.0,0x9cf7E7d9F02CaEdcE2286199C0c20dd92580433d,Pool2Pool,0xc4Eb861e7b66f593482a3D7E8adc314f6eEDA30B,0x88794C65550DeB6b4087B7552eCf295113794410,0x2f2CC1bf461413014741dD68481dB4a3686DAC3D,0x596192bB6e41802428Ac943D2f1476C1Af25CC0E,pxETH/wETH -> ezETH-WETH-BPT,9.951174849664685,9.974767259615096,9.65774206197832,9.970459135574982,,0.003151920779393536,,0.03961740012354557,0.039556268822442134,0.036404348043048596,20.0,2.0,0.0,0.0029362847047516016,0.0020333427339718213,0.019881451761193825,0.021865762864892613,22752559,22967059,23181559,2025-07-21 10:46:11+00:00,2025-08-20 10:01:11+00:00,True
3,3,0x2f2CC1bf461413014741dD68481dB4a3686DAC3D,0xc4Eb861e7b66f593482a3D7E8adc314f6eEDA30B,22749871,13.300159122403041,rebalance_plan_1750473049_0x6dC3ce9C57b20131347FDc9089D740DAf6eB34c5.json,0.002680673516163612,0.021528520416417094,Balancer ezETH-WETH Stable Pool,Balancer pxETH/wETH StablePool,balancer,balancer,0x596192bB6e41802428Ac943D2f1476C1Af25CC0E,0x88794C65550DeB6b4087B7552eCf295113794410,rebalance_plan_1750473049_0x6dC3ce9C57b20131347FDc9089D740DAf6eB34c5.json,2025-06-21 02:30:49+00:00,0x6dC3ce9C57b20131347FDc9089D740DAf6eB34c5,1.0,0x9cf7E7d9F02CaEdcE2286199C0c20dd92580433d,Pool2Pool,0xc4Eb861e7b66f593482a3D7E8adc314f6eEDA30B,0x88794C65550DeB6b4087B7552eCf295113794410,0x2f2CC1bf461413014741dD68481dB4a3686DAC3D,0x596192bB6e41802428Ac943D2f1476C1Af25CC0E,pxETH/wETH -> ezETH-WETH-BPT,13.268233132886248,13.300159892161973,12.878048707750164,13.287846633739436,,0.002680673516163612,,0.040455054211877006,0.04037343547749366,0.03769276196133005,20.0,2.0,0.0,0.0029685080088313054,0.0020700496221333076,0.019788719706210323,0.02182528709387732,22749871,22964371,23178871,2025-07-21 01:45:47+00:00,2025-08-20 01:01:23+00:00,True
4,4,0x2f2CC1bf461413014741dD68481dB4a3686DAC3D,0xc4Eb861e7b66f593482a3D7E8adc314f6eEDA30B,22747191,17.73398306860149,rebalance_plan_1750440649_0x6dC3ce9C57b20131347FDc9089D740DAf6eB34c5.json,0.002644327105746888,0.021510706107072536,Balancer ezETH-WETH Stable Pool,Balancer pxETH/wETH StablePool,balancer,balancer,0x596192bB6e41802428Ac943D2f1476C1Af25CC0E,0x88794C65550DeB6b4087B7552eCf295113794410,rebalance_plan_1750440649_0x6dC3ce9C57b20131347FDc9089D740DAf6eB34c5.json,2025-06-20 17:30:49+00:00,0x6dC3ce9C57b20131347FDc9089D740DAf6eB34c5,1.0,0x9cf7E7d9F02CaEdcE2286199C0c20dd92580433d,Pool2Pool,0xc4Eb861e7b66f593482a3D7E8adc314f6eEDA30B,0x88794C65550DeB6b4087B7552eCf295113794410,0x2f2CC1bf461413014741dD68481dB4a3686DAC3D,0x596192bB6e41802428Ac943D2f1476C1Af25CC0E,pxETH/wETH -> ezETH-WETH-BPT,17.690977510514998,17.733983905136007,17.17150188790912,17.72103419191102,,0.002644327105746888,,0.04074034288428555,0.04062886327540738,0.03798453616966049,20.0,2.0,0.0,0.0029831728456024553,0.002085377270703459,0.019389782651209497,0.02123164117675591,22747191,22961691,23176191,2025-07-20 16:47:11+00:00,2025-08-19 16:03:47+00:00,True
5,5,0x2f2CC1bf461413014741dD68481dB4a3686DAC3D,0xc4Eb861e7b66f593482a3D7E8adc314f6eEDA30B,22743622,23.6504765237532,rebalance_plan_1750397449_0x6dC3ce9C57b20131347FDc9089D740DAf6eB34c5.json,0.002510847041112571,0.021577756137331535,Balancer ezETH-WETH Stable Pool,Balancer pxETH/wETH StablePool,balancer,balancer,0x596192bB6e41802428Ac943D2f1476C1Af25CC0E,0x88794C65550DeB6b4087B7552eCf295113794410,rebalance_plan_1750397449_0x6dC3ce9C57b20131347FDc9089D740DAf6eB34c5.json,2025-06-20 05:30:49+00:00,0x6dC3ce9C57b20131347FDc9089D740DAf6eB34c5,1.0,0x9cf7E7d9F02CaEdcE2286199C0c20dd92580433d,Pool2Pool,0xc4Eb861e7b66f593482a3D7E8adc314f6eEDA30B,0x88794C65550DeB6b4087B7552eCf295113794410,0x2f2CC1bf461413014741dD68481dB4a3686DAC3D,0x596192bB6e41802428Ac943D2f1476C1Af25CC0E,pxETH/wETH -> ezETH-WETH-BPT,23.587970014019998,23.650477835382254,22.89441998665516,23.63358989613265,,0.002510847041112571,,0.04137500745291419,0.0412196719774228,0.038708824936310234,20.0,2.0,0.0,0.0028406404206802183,0.002136440568714315,0.019250103936239826,0.021318622397907605,22743622,22958122,23172622,2025-07-20 04:48:59+00:00,2025-08-19 04:07:11+00:00,True
6,6,0x2f2CC1bf461413014741dD68481dB4a3686DAC3D,0xc4Eb861e7b66f593482a3D7E8adc314f6eEDA30B,22740932,34.89358206309574,rebalance_plan_1750365049_0x6dC3ce9C57b20131347FDc9089D740DAf6eB34c5.json,0.002478926755834492,0.022501277111030837,Balancer ezETH-WETH Stable Pool,Balancer pxETH/wETH StablePool,balancer,balancer,0x596192bB6e41802428Ac943D2f1476C1Af25CC0E,0x88794C65550DeB6b4087B7552eCf295113794410,rebalance_plan_1750365049_0x6dC3ce9C57b20131347FDc9089D740DAf6eB34c5.json,2025-06-19 20:30:49+00:00,0x6dC3ce9C57b20131347FDc9089D740DAf6eB34c5,1.0,0x9cf7E7d9F02CaEdcE2286199C0c20dd92580433d,Pool2Pool,0xc4Eb861e7b66f593482a3D7E8adc314f6eEDA30B,0x88794C65550DeB6b4087B7552eCf295113794410,0x2f2CC1bf461413014741dD68481dB4a3686DAC3D,0x596192bB6e41802428Ac943D2f1476C1Af25CC0E,pxETH/wETH -> ezETH-WETH-BPT,34.800569265909736,34.89358396103008,33.78629062343261,34.87151347090889,,0.002478926755834492,,0.04222405441491335,0.04199572817429352,0.03951680141845903,20.0,2.0,0.0,0.0028692862655534945,0.0021481624565877766,0.019203764529307277,0.021323813201927777,22740932,22955432,23169932,2025-07-19 19:48:47+00:00,2025-08-18 19:08:11+00:00,True
7,7,0x2f2CC1bf461413014741dD68481dB4a3686DAC3D,0xc4Eb861e7b66f593482a3D7E8adc314f6eEDA30B,22738243,46.525865873284296,rebalance_plan_1750332649_0x6dC3ce9C57b20131347FDc9089D740DAf6eB34c5.json,0.002472152397467902,0.023199120575608766,Balancer ezETH-WETH Stable Pool,Balancer pxETH/wETH StablePool,balancer,balancer,0x596192bB6e41802428Ac943D2f1476C1Af25CC0E,0x88794C65550DeB6b4087B7552eCf295113794410,rebalance_plan_1750332649_0x6dC3ce9C57b20131347FDc9089D740DAf6eB34c5.json,2025-06-19 11:30:49+00:00,0x6dC3ce9C57b20131347FDc9089D740DAf6eB34c5,1.0,0x9cf7E7d9F02CaEdcE2286199C0c20dd92580433d,Pool2Pool,0xc4Eb861e7b66f593482a3D7E8adc314f6eEDA30B,0x88794C65550DeB6b4087B7552eCf295113794410,0x2f2CC1bf461413014741dD68481dB4a3686DAC3D,0x596192bB6e41802428Ac943D2f1476C1Af25CC0E,pxETH/wETH -> ezETH-WETH-BPT,46.40075902121299,46.525868450258294,45.048508489938996,46.50178819687915,,0.002472152397467902,,0.043566065356133166,0.043248320171879746,0.04077616777441184,22.0,2.0,0.0,0.002833300004964734,0.0021512806700809683,0.01913772511425349,0.021382606637845525,22738243,22952743,23167243,2025-07-19 10:47:11+00:00,2025-08-18 10:06:59+00:00,True
8,8,0x2f2CC1bf461413014741dD68481dB4a3686DAC3D,0xc4Eb861e7b66f593482a3D7E8adc314f6eEDA30B,22692677,74.82404147741778,rebalance_plan_1749781849_0x6dC3ce9C57b20131347FDc9089D740DAf6eB34c5.json,0.0019681395316889713,0.02607633167948142,Balancer ezETH-WETH Stable Pool,Balancer pxETH/wETH StablePool,balancer,balancer,0x596192bB6e41802428Ac943D2f1476C1Af25CC0E,0x88794C65550DeB6b4087B7552eCf295113794410,rebalance_plan_1749781849_0x6dC3ce9C57b20131347FDc9089D740DAf6eB34c5.json,2025-06-13 02:30:49+00:00,0x6dC3ce9C57b20131347FDc9089D740DAf6eB34c5,1.0,0x9cf7E7d9F02CaEdcE2286199C0c20dd92580433d,Pool2Pool,0xc4Eb861e7b66f593482a3D7E8adc314f6eEDA30B,0x88794C65550DeB6b4087B7552eCf295113794410,0x2f2CC1bf461413014741dD68481dB4a3686DAC3D,0x596192bB6e41802428Ac943D2f1476C1Af25CC0E,pxETH/wETH -> ezETH-WETH-BPT,74.64091194095627,74.8240467170046,72.44006942950668,74.79692246788042,,0.037245156375946255,,0.05272102758600769,0.052009968594197376,0.01476481221825112,22.0,2.0,0.0,0.0028725434585807896,0.002293400735264184,0.017319466083365764,0.020885099517844008,22692677,22907177,23121677,2025-07-13 02:09:11+00:00,2025-08-12 01:27:35+00:00,True
9,9,0xc4Eb861e7b66f593482a3D7E8adc314f6eEDA30B,0x2f2CC1bf461413014741dD68481dB4a3686DAC3D,22609572,16.198006832817462,rebalance_plan_1748777448_0x6dC3ce9C57b20131347FDc9089D740DAf6eB34c5.json,0.019009088986873954,0.003183656447574762,Balancer pxETH/wETH StablePool,Balancer ezETH-WETH Stable Pool,balancer,balancer,0x88794C65550DeB6b4087B7552eCf295113794410,0x596192bB6e41802428Ac943D2f1476C1Af25CC0E,rebalance_plan_1748777448_0x6dC3ce9C57b20131347FDc9089D740DAf6eB34c5.json,2025-06-01 11:30:48+00:00,0x6dC3ce9C57b20131347FDc9089D740DAf6eB34c5,1.0,0x9cf7E7d9F02CaEdcE2286199C0c20dd92580433d,Pool2Pool,0x2f2CC1bf461413014741dD68481dB4a3686DAC3D,0x596192bB6e41802428Ac943D2f1476C1Af25CC0E,0xc4Eb861e7b66f593482a3D7E8adc314f6eEDA30B,0x88794C65550DeB6b4087B7552eCf295113794410,ezETH-WETH-BPT -> pxETH/wETH,15.7154333588303,16.19801267346987,16.14003900952135,16.18971310781479,,0.036097718534902096,,0.05586673864939662,0.05556959000126907,0.019471871466366975,22.0,1.0,0.0,0.020467644244221095,0.023244728945204463,0.0020033514650796835,0.002212115561338601,22609572,22824072,23038572,2025-07-01 11:24:23+00:00,2025-07-31 10:44:35+00:00,True
