,index,destination_in_x,destination_out_x,block,safe_value_out,rebalance_file_path,fee_and_base_out,fee_and_base_in,destination_in_name,destination_out_name,out_exchange_name,in_exchange_name,pool_in,pool_out,file_name,datetime_generated,autopool_vault_address,chain_id,solver_address,rebalance_type,destination_out_y,token_out,destination_in_y,token_in,move_name,amount_out,amount_out_safe_value,min_amount_in,min_amount_in_safe_value,amount_out_spot_value,out_dest_apr,min_amount_in_spot_value,in_dest_apr,in_dest_adj_apr,apr_delta,swap_offset_period,num_candidate_destinations,candidate_destinations_rank,valid,actual_30_day_fee_and_base_out,actual_60_day_fee_and_base_out,actual_30_day_fee_and_base_in,actual_60_day_fee_and_base_in,start_block,block_30_days,block_60_days,timestamp_30_days,timestamp_60_days
0,0,0x32C21266cfcC48EC5De26eD7b5a446B8C27801d6,0xeb042DEE6f7Ff3B45eF0A71686653D168FB02477,41757079,1041.536,rebalance_plan_1770303461_0xeb042DEE6f7Ff3B45eF0A71686653D168FB02477.json,,0.034949933708021894,Steakhouse Prime EURC,baseEUR,tokemak,morpho,0xbeef009F28cCf367444a9F79096862920e025DC1,0xeb042DEE6f7Ff3B45eF0A71686653D168FB02477,rebalance_plan_1770303461_0xeb042DEE6f7Ff3B45eF0A71686653D168FB02477.json,2026-02-05 14:57:41+00:00,0xeb042DEE6f7Ff3B45eF0A71686653D168FB02477,8453,0x5ae89e5Fbc313a29A99B9B380b69503c4DDa9E20,FromIdle,0xeb042DEE6f7Ff3B45eF0A71686653D168FB02477,0x60a3E35Cc302bFA44Cb288Bc5a4F316Fdb1adb42,0x32C21266cfcC48EC5De26eD7b5a446B8C27801d6,0xbeef009F28cCf367444a9F79096862920e025DC1,baseEUR -> steakEURC,1041.536,1041.536,1040.5938068907137,1041.379769,,,,0.05235840276920166,0.05235456824811298,0.05235456824811298,20.0,3.0,0.0,False,0.0,0.0,,,,,,,
1,1,0x06993Ecd8d8a16204bf7f86B00A0575aB69548DD,0xCc11498d0603c887c5Ae9B5044042Fa9eeCcC80c,41717490,113633.22100291547,rebalance_plan_1770224260_0xeb042DEE6f7Ff3B45eF0A71686653D168FB02477.json,0.0,0.007990628100470746,Fluid EURC,Gauntlet EURC Balanced,morpho,fluid,0x1943FA26360f038230442525Cf1B9125b5DCB401,0x94Af495DE1F56Aa5576dEB17986bDCeE5Dd9778D,rebalance_plan_1770224260_0xeb042DEE6f7Ff3B45eF0A71686653D168FB02477.json,2026-02-04 16:57:40+00:00,0xeb042DEE6f7Ff3B45eF0A71686653D168FB02477,8453,0x5ae89e5Fbc313a29A99B9B380b69503c4DDa9E20,Pool2Pool,0xCc11498d0603c887c5Ae9B5044042Fa9eeCcC80c,0x94Af495DE1F56Aa5576dEB17986bDCeE5Dd9778D,0x06993Ecd8d8a16204bf7f86B00A0575aB69548DD,0x1943FA26360f038230442525Cf1B9125b5DCB401,gteurcb -> fEURC,113585.74216269146,113633.221002,105752.746274,113616.176019,,0.01759923701841837,,0.027700628100470744,0.026959804265692236,0.009360567247273865,20.0,0.0,,False,,,,,,,,,
2,2,0xCc11498d0603c887c5Ae9B5044042Fa9eeCcC80c,0x06993Ecd8d8a16204bf7f86B00A0575aB69548DD,41715679,29999.99999904442,rebalance_plan_1770220660_0xeb042DEE6f7Ff3B45eF0A71686653D168FB02477.json,0.007840599570776301,0.034986555471021266,Gauntlet EURC Balanced,Fluid EURC,fluid,morpho,0x94Af495DE1F56Aa5576dEB17986bDCeE5Dd9778D,0x1943FA26360f038230442525Cf1B9125b5DCB401,rebalance_plan_1770220660_0xeb042DEE6f7Ff3B45eF0A71686653D168FB02477.json,2026-02-04 15:57:40+00:00,0xeb042DEE6f7Ff3B45eF0A71686653D168FB02477,8453,0x5ae89e5Fbc313a29A99B9B380b69503c4DDa9E20,Pool2Pool,0x06993Ecd8d8a16204bf7f86B00A0575aB69548DD,0x1943FA26360f038230442525Cf1B9125b5DCB401,0xCc11498d0603c887c5Ae9B5044042Fa9eeCcC80c,0x94Af495DE1F56Aa5576dEB17986bDCeE5Dd9778D,fEURC -> gteurcb,27934.885643,30000.0,29971.0038913773,29995.5,,0.027460599570776303,,0.05272994625985118,0.05238941197126609,0.02492881240048979,20.0,0.0,,False,,,,,,,,,
3,3,0xCc11498d0603c887c5Ae9B5044042Fa9eeCcC80c,0x32C21266cfcC48EC5De26eD7b5a446B8C27801d6,41713880,30000.0,rebalance_plan_1770217061_0xeb042DEE6f7Ff3B45eF0A71686653D168FB02477.json,0.0,0.034947802649871545,Gauntlet EURC Balanced,Steakhouse Prime EURC,morpho,morpho,0x94Af495DE1F56Aa5576dEB17986bDCeE5Dd9778D,0xbeef009F28cCf367444a9F79096862920e025DC1,rebalance_plan_1770217061_0xeb042DEE6f7Ff3B45eF0A71686653D168FB02477.json,2026-02-04 14:57:41+00:00,0xeb042DEE6f7Ff3B45eF0A71686653D168FB02477,8453,0x5ae89e5Fbc313a29A99B9B380b69503c4DDa9E20,Pool2Pool,0x32C21266cfcC48EC5De26eD7b5a446B8C27801d6,0xbeef009F28cCf367444a9F79096862920e025DC1,0xCc11498d0603c887c5Ae9B5044042Fa9eeCcC80c,0x94Af495DE1F56Aa5576dEB17986bDCeE5Dd9778D,steakEURC -> gteurcb,29990.283148259965,30000.0,29971.033849918436,29995.5,,0.018158295170986338,,0.05310609782085789,0.052750779915543146,0.03459248474455681,20.0,0.0,,False,,,,,,,,,
4,4,0xCc11498d0603c887c5Ae9B5044042Fa9eeCcC80c,0x32C21266cfcC48EC5De26eD7b5a446B8C27801d6,41712081,30000.000000000004,rebalance_plan_1770213461_0xeb042DEE6f7Ff3B45eF0A71686653D168FB02477.json,0.0,0.018221358093050928,Gauntlet EURC Balanced,Steakhouse Prime EURC,morpho,morpho,0x94Af495DE1F56Aa5576dEB17986bDCeE5Dd9778D,0xbeef009F28cCf367444a9F79096862920e025DC1,rebalance_plan_1770213461_0xeb042DEE6f7Ff3B45eF0A71686653D168FB02477.json,2026-02-04 13:57:41+00:00,0xeb042DEE6f7Ff3B45eF0A71686653D168FB02477,8453,0x5ae89e5Fbc313a29A99B9B380b69503c4DDa9E20,Pool2Pool,0x32C21266cfcC48EC5De26eD7b5a446B8C27801d6,0xbeef009F28cCf367444a9F79096862920e025DC1,0xCc11498d0603c887c5Ae9B5044042Fa9eeCcC80c,0x94Af495DE1F56Aa5576dEB17986bDCeE5Dd9778D,steakEURC -> gteurcb,29990.31312885938,30000.0,29971.063808519466,29995.5,,0.0181031846314556,,0.036324542724506526,0.035917351545227114,0.017814166913771513,20.0,0.0,,False,,,,,,,,,
5,5,0xCc11498d0603c887c5Ae9B5044042Fa9eeCcC80c,0x32C21266cfcC48EC5De26eD7b5a446B8C27801d6,41710280,30000.0,rebalance_plan_1770209860_0xeb042DEE6f7Ff3B45eF0A71686653D168FB02477.json,0.0,0.018231914982515727,Gauntlet EURC Balanced,Steakhouse Prime EURC,morpho,morpho,0x94Af495DE1F56Aa5576dEB17986bDCeE5Dd9778D,0xbeef009F28cCf367444a9F79096862920e025DC1,rebalance_plan_1770209860_0xeb042DEE6f7Ff3B45eF0A71686653D168FB02477.json,2026-02-04 12:57:40+00:00,0xeb042DEE6f7Ff3B45eF0A71686653D168FB02477,8453,0x5ae89e5Fbc313a29A99B9B380b69503c4DDa9E20,Pool2Pool,0x32C21266cfcC48EC5De26eD7b5a446B8C27801d6,0xbeef009F28cCf367444a9F79096862920e025DC1,0xCc11498d0603c887c5Ae9B5044042Fa9eeCcC80c,0x94Af495DE1F56Aa5576dEB17986bDCeE5Dd9778D,steakEURC -> gteurcb,29990.343109518737,30000.0,29971.09376718039,29995.5,,0.018250374490164936,,0.036482289472680667,0.03606233991443325,0.017811965424268314,20.0,0.0,,False,,,,,,,,,
6,6,0xCc11498d0603c887c5Ae9B5044042Fa9eeCcC80c,0x32C21266cfcC48EC5De26eD7b5a446B8C27801d6,41708478,36795.10344600936,rebalance_plan_1770206260_0xeb042DEE6f7Ff3B45eF0A71686653D168FB02477.json,0.0,0.01823193321143208,Gauntlet EURC Balanced,Steakhouse Prime EURC,morpho,morpho,0x94Af495DE1F56Aa5576dEB17986bDCeE5Dd9778D,0xbeef009F28cCf367444a9F79096862920e025DC1,rebalance_plan_1770206260_0xeb042DEE6f7Ff3B45eF0A71686653D168FB02477.json,2026-02-04 11:57:40+00:00,0xeb042DEE6f7Ff3B45eF0A71686653D168FB02477,8453,0x5ae89e5Fbc313a29A99B9B380b69503c4DDa9E20,Pool2Pool,0x32C21266cfcC48EC5De26eD7b5a446B8C27801d6,0xbeef009F28cCf367444a9F79096862920e025DC1,0xCc11498d0603c887c5Ae9B5044042Fa9eeCcC80c,0x94Af495DE1F56Aa5576dEB17986bDCeE5Dd9778D,steakEURC -> gteurcb,36783.29600799079,36795.103446,36759.68659576395,36789.58418,,0.018163463443857917,,0.03639539665529,0.03587070375061517,0.017707240306757254,20.0,0.0,,False,,,,,,,,,
7,7,0xCc11498d0603c887c5Ae9B5044042Fa9eeCcC80c,0x32C21266cfcC48EC5De26eD7b5a446B8C27801d6,41706684,49060.0888836178,rebalance_plan_1770202660_0xeb042DEE6f7Ff3B45eF0A71686653D168FB02477.json,0.0,0.018231951432248494,Gauntlet EURC Balanced,Steakhouse Prime EURC,morpho,morpho,0x94Af495DE1F56Aa5576dEB17986bDCeE5Dd9778D,0xbeef009F28cCf367444a9F79096862920e025DC1,rebalance_plan_1770202660_0xeb042DEE6f7Ff3B45eF0A71686653D168FB02477.json,2026-02-04 10:57:40+00:00,0xeb042DEE6f7Ff3B45eF0A71686653D168FB02477,8453,0x5ae89e5Fbc313a29A99B9B380b69503c4DDa9E20,Pool2Pool,0x32C21266cfcC48EC5De26eD7b5a446B8C27801d6,0xbeef009F28cCf367444a9F79096862920e025DC1,0xCc11498d0603c887c5Ae9B5044042Fa9eeCcC80c,0x94Af495DE1F56Aa5576dEB17986bDCeE5Dd9778D,steakEURC -> gteurcb,49044.39467732105,49060.088883,49012.91545688376,49052.72987,,0.01839626475501119,,0.036628216187259685,0.03589857749870226,0.01750231274369107,20.0,0.0,,False,,,,,,,,,
8,8,0x32C21266cfcC48EC5De26eD7b5a446B8C27801d6,0x06993Ecd8d8a16204bf7f86B00A0575aB69548DD,41704887,29999.99999964672,rebalance_plan_1770199060_0xeb042DEE6f7Ff3B45eF0A71686653D168FB02477.json,0.007781826158681955,0.03498998306356181,Steakhouse Prime EURC,Fluid EURC,fluid,morpho,0xbeef009F28cCf367444a9F79096862920e025DC1,0x1943FA26360f038230442525Cf1B9125b5DCB401,rebalance_plan_1770199060_0xeb042DEE6f7Ff3B45eF0A71686653D168FB02477.json,2026-02-04 09:57:40+00:00,0xeb042DEE6f7Ff3B45eF0A71686653D168FB02477,8453,0x5ae89e5Fbc313a29A99B9B380b69503c4DDa9E20,Pool2Pool,0x06993Ecd8d8a16204bf7f86B00A0575aB69548DD,0x1943FA26360f038230442525Cf1B9125b5DCB401,0x32C21266cfcC48EC5De26eD7b5a446B8C27801d6,0xbeef009F28cCf367444a9F79096862920e025DC1,fEURC -> steakEURC,27935.041716,30000.0,29973.940113103923,29995.5,,0.028211826158681955,,0.05344782842969417,0.05333502547160474,0.025123199312922787,20.0,0.0,,False,,,,,,,,,
9,9,0x32C21266cfcC48EC5De26eD7b5a446B8C27801d6,0x06993Ecd8d8a16204bf7f86B00A0575aB69548DD,41703079,33662.62025125507,rebalance_plan_1770195461_0xeb042DEE6f7Ff3B45eF0A71686653D168FB02477.json,0.007573984035221349,0.018223125004662177,Steakhouse Prime EURC,Fluid EURC,fluid,morpho,0xbeef009F28cCf367444a9F79096862920e025DC1,0x1943FA26360f038230442525Cf1B9125b5DCB401,rebalance_plan_1770195461_0xeb042DEE6f7Ff3B45eF0A71686653D168FB02477.json,2026-02-04 08:57:41+00:00,0xeb042DEE6f7Ff3B45eF0A71686653D168FB02477,8453,0x5ae89e5Fbc313a29A99B9B380b69503c4DDa9E20,Pool2Pool,0x06993Ecd8d8a16204bf7f86B00A0575aB69548DD,0x1943FA26360f038230442525Cf1B9125b5DCB401,0x32C21266cfcC48EC5De26eD7b5a446B8C27801d6,0xbeef009F28cCf367444a9F79096862920e025DC1,fEURC -> steakEURC,31345.585888,33662.620252,33633.412405511444,33657.570858,,0.02791398403522135,,0.036592130696276697,0.03646539032792169,0.00855140629270034,20.0,2.0,0.0,False,,,,,,,,,
