,index,destination_in_x,destination_out_x,block,safe_value_out,rebalance_file_path,fee_and_base_out,fee_and_base_in,destination_in_name,destination_out_name,out_exchange_name,in_exchange_name,pool_in,pool_out,file_name,datetime_generated,autopool_vault_address,chain_id,solver_address,rebalance_type,destination_out_y,token_out,destination_in_y,token_in,move_name,amount_out,amount_out_safe_value,min_amount_in,min_amount_in_safe_value,amount_out_spot_value,out_dest_apr,min_amount_in_spot_value,in_dest_apr,in_dest_adj_apr,apr_delta,swap_offset_period,num_candidate_destinations,candidate_destinations_rank,valid,actual_30_day_fee_and_base_out,actual_60_day_fee_and_base_out,actual_30_day_fee_and_base_in,actual_60_day_fee_and_base_in,start_block,block_30_days,block_60_days,timestamp_30_days,timestamp_60_days
0,0,0x1EfC63fA8718cac1Df88273B08616cF1e9FF03DD,0x4eeDC6d6126ae9C6D92D03bB355eEAe5E47d2b03,41820059,29995.79406409625,rebalance_plan_1770429365_0x9c6864105AEC23388C89600046213a44C384c831.json,0.03367071699306168,0.03384605868413981,Balancer Aave USDC-Aave GHO,Gauntlet USDC Prime,morpho,balancerV3,0x7AB124EC4029316c2A42F713828ddf2a192B36db,0xeE8F4eC5672F09119b96Ab6fB59C27E1b7e44b61,rebalance_plan_1770429365_0x9c6864105AEC23388C89600046213a44C384c831.json,2026-02-07 01:56:05+00:00,0x9c6864105AEC23388C89600046213a44C384c831,8453.0,0xFfF19270583Bb6A37e023a3fd499CAA5CeA3a304,Pool2Pool,0x4eeDC6d6126ae9C6D92D03bB355eEAe5E47d2b03,0xeE8F4eC5672F09119b96Ab6fB59C27E1b7e44b61,0x1EfC63fA8718cac1Df88273B08616cF1e9FF03DD,0x7AB124EC4029316c2A42F713828ddf2a192B36db,gtUSDCp -> Aave USDC-Aave GHO,27670.630945726825,29995.794064,28829.06384140943,29986.866865,,0.03367071699306168,,0.07191256348621596,0.07183645067280896,0.03816573367974728,20.0,3.0,0.0,False,,,,,,,,,
1,1,0x1EfC63fA8718cac1Df88273B08616cF1e9FF03DD,0x4eeDC6d6126ae9C6D92D03bB355eEAe5E47d2b03,41816460,29996.26437868316,rebalance_plan_1770422165_0x9c6864105AEC23388C89600046213a44C384c831.json,0.0336709654809586,0.033779784403690456,Balancer Aave USDC-Aave GHO,Gauntlet USDC Prime,morpho,balancerV3,0x7AB124EC4029316c2A42F713828ddf2a192B36db,0xeE8F4eC5672F09119b96Ab6fB59C27E1b7e44b61,rebalance_plan_1770422165_0x9c6864105AEC23388C89600046213a44C384c831.json,2026-02-06 23:56:05+00:00,0x9c6864105AEC23388C89600046213a44C384c831,8453.0,0xFfF19270583Bb6A37e023a3fd499CAA5CeA3a304,Pool2Pool,0x4eeDC6d6126ae9C6D92D03bB355eEAe5E47d2b03,0xeE8F4eC5672F09119b96Ab6fB59C27E1b7e44b61,0x1EfC63fA8718cac1Df88273B08616cF1e9FF03DD,0x7AB124EC4029316c2A42F713828ddf2a192B36db,gtUSDCp -> Aave USDC-Aave GHO,27671.26901362072,29996.264378,28829.60337787222,29987.179596,,0.0336709654809586,,0.07194789152388276,0.07187142122497503,0.038200455744016426,20.0,3.0,0.0,False,,,,,,,,,
2,2,0x1EfC63fA8718cac1Df88273B08616cF1e9FF03DD,0x4eeDC6d6126ae9C6D92D03bB355eEAe5E47d2b03,41812865,29996.292015750627,rebalance_plan_1770414965_0x9c6864105AEC23388C89600046213a44C384c831.json,0.03367124503794727,0.03370687903796977,Balancer Aave USDC-Aave GHO,Gauntlet USDC Prime,morpho,balancerV3,0x7AB124EC4029316c2A42F713828ddf2a192B36db,0xeE8F4eC5672F09119b96Ab6fB59C27E1b7e44b61,rebalance_plan_1770414965_0x9c6864105AEC23388C89600046213a44C384c831.json,2026-02-06 21:56:05+00:00,0x9c6864105AEC23388C89600046213a44C384c831,8453.0,0xFfF19270583Bb6A37e023a3fd499CAA5CeA3a304,Pool2Pool,0x4eeDC6d6126ae9C6D92D03bB355eEAe5E47d2b03,0xeE8F4eC5672F09119b96Ab6fB59C27E1b7e44b61,0x1EfC63fA8718cac1Df88273B08616cF1e9FF03DD,0x7AB124EC4029316c2A42F713828ddf2a192B36db,gtUSDCp -> Aave USDC-Aave GHO,27671.52424901789,29996.292015,28829.742674838722,29987.276995,,0.03367124503794727,,0.0719416383576355,0.07186488028673323,0.038193635248785954,20.0,3.0,0.0,False,,,,,,,,,
3,3,0x1EfC63fA8718cac1Df88273B08616cF1e9FF03DD,0x4eeDC6d6126ae9C6D92D03bB355eEAe5E47d2b03,41809257,35799.05772516668,rebalance_plan_1770407765_0x9c6864105AEC23388C89600046213a44C384c831.json,0.03367149352989651,0.0336332540292712,Balancer Aave USDC-Aave GHO,Gauntlet USDC Prime,morpho,balancerV3,0x7AB124EC4029316c2A42F713828ddf2a192B36db,0xeE8F4eC5672F09119b96Ab6fB59C27E1b7e44b61,rebalance_plan_1770407765_0x9c6864105AEC23388C89600046213a44C384c831.json,2026-02-06 19:56:05+00:00,0x9c6864105AEC23388C89600046213a44C384c831,8453.0,0xFfF19270583Bb6A37e023a3fd499CAA5CeA3a304,Pool2Pool,0x4eeDC6d6126ae9C6D92D03bB355eEAe5E47d2b03,0xeE8F4eC5672F09119b96Ab6fB59C27E1b7e44b61,0x1EfC63fA8718cac1Df88273B08616cF1e9FF03DD,0x7AB124EC4029316c2A42F713828ddf2a192B36db,gtUSDCp -> Aave USDC-Aave GHO,33024.80867262298,35799.057725,34407.01052886922,35788.20795,,0.03367149352989651,,0.07202689310948811,0.07193456822839733,0.03826307469850082,20.0,3.0,0.0,False,,,,,,,,,
4,4,0x1EfC63fA8718cac1Df88273B08616cF1e9FF03DD,0x4eeDC6d6126ae9C6D92D03bB355eEAe5E47d2b03,41805659,44995.43403003579,rebalance_plan_1770400565_0x9c6864105AEC23388C89600046213a44C384c831.json,0.033671773090937496,0.03355034682833536,Balancer Aave USDC-Aave GHO,Gauntlet USDC Prime,morpho,balancerV3,0x7AB124EC4029316c2A42F713828ddf2a192B36db,0xeE8F4eC5672F09119b96Ab6fB59C27E1b7e44b61,rebalance_plan_1770400565_0x9c6864105AEC23388C89600046213a44C384c831.json,2026-02-06 17:56:05+00:00,0x9c6864105AEC23388C89600046213a44C384c831,8453.0,0xFfF19270583Bb6A37e023a3fd499CAA5CeA3a304,Pool2Pool,0x4eeDC6d6126ae9C6D92D03bB355eEAe5E47d2b03,0xeE8F4eC5672F09119b96Ab6fB59C27E1b7e44b61,0x1EfC63fA8718cac1Df88273B08616cF1e9FF03DD,0x7AB124EC4029316c2A42F713828ddf2a192B36db,gtUSDCp -> Aave USDC-Aave GHO,41508.817856539994,44995.392521,43245.91065387106,44981.575044,,0.033671773090937496,,0.07201143563800666,0.07189490902075343,0.03822313592981594,20.0,3.0,0.0,False,,,,,,,,,
5,5,0x5d2B4Fc5f8975d9EC10024b04Dc71E6ba61707DC,0xFd70A9b4cE03Dc07Fe7Ba5e4D39fac11eE8d8615,41802057,230402.88810521844,rebalance_plan_1770393365_0x9c6864105AEC23388C89600046213a44C384c831.json,0.01713410701148499,0.037389368977680526,Wrapped Aave Base USDC,Moonwell Flagship USDC,morpho,aave,0xC768c589647798a6EE01A91FdE98EF2ed046DBD6,0xc1256Ae5FF1cf2719D4937adb3bbCCab2E00A2Ca,rebalance_plan_1770393365_0x9c6864105AEC23388C89600046213a44C384c831.json,2026-02-06 15:56:05+00:00,0x9c6864105AEC23388C89600046213a44C384c831,8453.0,0xFfF19270583Bb6A37e023a3fd499CAA5CeA3a304,Pool2Pool,0xFd70A9b4cE03Dc07Fe7Ba5e4D39fac11eE8d8615,0xc1256Ae5FF1cf2719D4937adb3bbCCab2E00A2Ca,0x5d2B4Fc5f8975d9EC10024b04Dc71E6ba61707DC,0xC768c589647798a6EE01A91FdE98EF2ed046DBD6,mwUSDC -> waBasUSDC,216314.74161341964,230402.888105,204887.704607,230368.409854,,0.02372351891445823,,0.037389368977680526,0.037389368977680526,0.013665850063222296,20.0,0.0,,False,,,,,,,,,
6,6,0x5d2B4Fc5f8975d9EC10024b04Dc71E6ba61707DC,0xFd70A9b4cE03Dc07Fe7Ba5e4D39fac11eE8d8615,41798455,328588.07944468217,rebalance_plan_1770386165_0x9c6864105AEC23388C89600046213a44C384c831.json,0.017114411270809277,0.0372069766476681,Wrapped Aave Base USDC,Moonwell Flagship USDC,morpho,aave,0xC768c589647798a6EE01A91FdE98EF2ed046DBD6,0xc1256Ae5FF1cf2719D4937adb3bbCCab2E00A2Ca,rebalance_plan_1770386165_0x9c6864105AEC23388C89600046213a44C384c831.json,2026-02-06 13:56:05+00:00,0x9c6864105AEC23388C89600046213a44C384c831,8453.0,0xFfF19270583Bb6A37e023a3fd499CAA5CeA3a304,Pool2Pool,0xFd70A9b4cE03Dc07Fe7Ba5e4D39fac11eE8d8615,0xc1256Ae5FF1cf2719D4937adb3bbCCab2E00A2Ca,0x5d2B4Fc5f8975d9EC10024b04Dc71E6ba61707DC,0xC768c589647798a6EE01A91FdE98EF2ed046DBD6,mwUSDC -> waBasUSDC,308498.3578811066,328588.079444,292202.079696,328538.868521,,0.02322918547832212,,0.0372069766476681,0.0372069766476681,0.013977791169345982,20.0,0.0,,False,,,,,,,,,
7,7,0x5d2B4Fc5f8975d9EC10024b04Dc71E6ba61707DC,0xFd70A9b4cE03Dc07Fe7Ba5e4D39fac11eE8d8615,41794857,438470.9513557454,rebalance_plan_1770378965_0x9c6864105AEC23388C89600046213a44C384c831.json,0.0,0.037549128476199733,Wrapped Aave Base USDC,Moonwell Flagship USDC,morpho,aave,0xC768c589647798a6EE01A91FdE98EF2ed046DBD6,0xc1256Ae5FF1cf2719D4937adb3bbCCab2E00A2Ca,rebalance_plan_1770378965_0x9c6864105AEC23388C89600046213a44C384c831.json,2026-02-06 11:56:05+00:00,0x9c6864105AEC23388C89600046213a44C384c831,8453.0,0xFfF19270583Bb6A37e023a3fd499CAA5CeA3a304,Pool2Pool,0xFd70A9b4cE03Dc07Fe7Ba5e4D39fac11eE8d8615,0xc1256Ae5FF1cf2719D4937adb3bbCCab2E00A2Ca,0x5d2B4Fc5f8975d9EC10024b04Dc71E6ba61707DC,0xC768c589647798a6EE01A91FdE98EF2ed046DBD6,mwUSDC -> waBasUSDC,411665.36135135207,438470.53969,389920.393079,438405.052539,,0.00614527465748576,,0.037549128476199733,0.037549128476199733,0.031403853818713974,20.0,0.0,,False,,,,,,,,,
8,8,0xFd70A9b4cE03Dc07Fe7Ba5e4D39fac11eE8d8615,0xF13582dBc21AE1C34758fB87a2CD0Cd0E342C417,41791255,693686.5244715746,rebalance_plan_1770371765_0x9c6864105AEC23388C89600046213a44C384c831.json,0.017966984068029657,0.03289810319810016,Moonwell Flagship USDC,Gauntlet USDC Prime,morpho,morpho,0xc1256Ae5FF1cf2719D4937adb3bbCCab2E00A2Ca,0x050cE30b927Da55177A4914EC73480238BAD56f0,rebalance_plan_1770371765_0x9c6864105AEC23388C89600046213a44C384c831.json,2026-02-06 09:56:05+00:00,0x9c6864105AEC23388C89600046213a44C384c831,8453.0,0xFfF19270583Bb6A37e023a3fd499CAA5CeA3a304,Pool2Pool,0xF13582dBc21AE1C34758fB87a2CD0Cd0E342C417,0x050cE30b927Da55177A4914EC73480238BAD56f0,0xFd70A9b4cE03Dc07Fe7Ba5e4D39fac11eE8d8615,0xc1256Ae5FF1cf2719D4937adb3bbCCab2E00A2Ca,gtusdcp -> mwUSDC,682928.354109291,693686.524471,650925.2166864123,693583.013976,,0.017966984068029657,,0.04083002261268102,0.04050973492144199,0.022542750853412334,20.0,0.0,,False,,,,,,,,,
9,9,0x1EfC63fA8718cac1Df88273B08616cF1e9FF03DD,0xF8138de7c934E23a4e1529548713820896085c9f,41787671,45006.42984472788,rebalance_plan_1770364565_0x9c6864105AEC23388C89600046213a44C384c831.json,,,Balancer Aave USDC-Aave GHO,Steakhouse Prime Instant,morpho,balancerV3,0x7AB124EC4029316c2A42F713828ddf2a192B36db,0xbeef0e0834849aCC03f0089F01f4F1Eeb06873C9,rebalance_plan_1770364565_0x9c6864105AEC23388C89600046213a44C384c831.json,2026-02-06 07:56:05+00:00,0x9c6864105AEC23388C89600046213a44C384c831,8453.0,0xFfF19270583Bb6A37e023a3fd499CAA5CeA3a304,Pool2Pool,0xF8138de7c934E23a4e1529548713820896085c9f,0xbeef0e0834849aCC03f0089F01f4F1Eeb06873C9,0x1EfC63fA8718cac1Df88273B08616cF1e9FF03DD,0x7AB124EC4029316c2A42F713828ddf2a192B36db,steakUSDC -> Aave USDC-Aave GHO,44343.75674394634,45006.3855,43257.849334293875,44987.686037,,,,0.07360593442559865,0.07347676657215121,0.07347676657215121,20.0,3.0,0.0,False,,,,,,,,,
