,index,destination_in_x,destination_out_x,block,safe_value_out,rebalance_file_path,fee_and_base_out,fee_and_base_in,destination_in_name,destination_out_name,out_exchange_name,in_exchange_name,pool_in,pool_out,file_name,datetime_generated,autopool_vault_address,chain_id,solver_address,rebalance_type,destination_out_y,token_out,destination_in_y,token_in,move_name,amount_out,amount_out_safe_value,min_amount_in,min_amount_in_safe_value,amount_out_spot_value,out_dest_apr,min_amount_in_spot_value,in_dest_apr,in_dest_adj_apr,apr_delta,swap_offset_period,num_candidate_destinations,candidate_destinations_rank,valid,error,error_type,actual_30_day_fee_and_base_out,actual_60_day_fee_and_base_out,actual_30_day_fee_and_base_in,actual_60_day_fee_and_base_in
0,0,0x5DD8e6C497d350aE7A32d6e2DFc07F42B27F905B,0x4Ec8f8b0F144ce1fa280B84F01Df9e353e83EC80,13456860,15425.87,rebalance_plan_1770388588_0x4Ec8f8b0F144ce1fa280B84F01Df9e353e83EC80.json,,0.026060402182026546,Fluid USDT0,plasmaUSD,tokemak,fluid,0x1DD4b13fcAE900C60a350589BE8052959D2Ed27B,0x4Ec8f8b0F144ce1fa280B84F01Df9e353e83EC80,rebalance_plan_1770388588_0x4Ec8f8b0F144ce1fa280B84F01Df9e353e83EC80.json,2026-02-06 14:36:28+00:00,0x4Ec8f8b0F144ce1fa280B84F01Df9e353e83EC80,9745,0x673F9B14f2608B9aFc7B7d402d50Bb9d29759FBb,FromIdle,0x4Ec8f8b0F144ce1fa280B84F01Df9e353e83EC80,0xB8CE59FC3717ada4C02eaDF9682A9e934F625ebb,0x5DD8e6C497d350aE7A32d6e2DFc07F42B27F905B,0x1DD4b13fcAE900C60a350589BE8052959D2Ed27B,plasmaUSD -> fUSDT0,15425.87,15425.87,15233.563792,15423.556119,,,,0.04001040218202655,0.04000976559473424,0.04000976559473424,20.0,1.0,0.0,False,"ChainData(name='plasma', block_autopool_first_deployed=1385809, chain_id=9745, start_unix_timestamp=1758314669, alchemy_network_enum='plasma-mainnet')",KeyError,0.0,0.0,,
1,1,0x5DD8e6C497d350aE7A32d6e2DFc07F42B27F905B,0x4Ec8f8b0F144ce1fa280B84F01Df9e353e83EC80,13455061,20000.0,rebalance_plan_1770386788_0x4Ec8f8b0F144ce1fa280B84F01Df9e353e83EC80.json,,0.026060440957809124,Fluid USDT0,plasmaUSD,tokemak,fluid,0x1DD4b13fcAE900C60a350589BE8052959D2Ed27B,0x4Ec8f8b0F144ce1fa280B84F01Df9e353e83EC80,rebalance_plan_1770386788_0x4Ec8f8b0F144ce1fa280B84F01Df9e353e83EC80.json,2026-02-06 14:06:28+00:00,0x4Ec8f8b0F144ce1fa280B84F01Df9e353e83EC80,9745,0x673F9B14f2608B9aFc7B7d402d50Bb9d29759FBb,FromIdle,0x4Ec8f8b0F144ce1fa280B84F01Df9e353e83EC80,0xB8CE59FC3717ada4C02eaDF9682A9e934F625ebb,0x5DD8e6C497d350aE7A32d6e2DFc07F42B27F905B,0x1DD4b13fcAE900C60a350589BE8052959D2Ed27B,plasmaUSD -> fUSDT0,20000.0,20000.0,19750.709531,19997.0,,,,0.040100440957809125,0.040099609874294964,0.040099609874294964,20.0,1.0,0.0,False,"ChainData(name='plasma', block_autopool_first_deployed=1385809, chain_id=9745, start_unix_timestamp=1758314669, alchemy_network_enum='plasma-mainnet')",KeyError,0.0,0.0,,
2,2,0x5DD8e6C497d350aE7A32d6e2DFc07F42B27F905B,0x4Ec8f8b0F144ce1fa280B84F01Df9e353e83EC80,13453260,20000.0,rebalance_plan_1770384988_0x4Ec8f8b0F144ce1fa280B84F01Df9e353e83EC80.json,,0.022084448172998705,Fluid USDT0,plasmaUSD,tokemak,fluid,0x1DD4b13fcAE900C60a350589BE8052959D2Ed27B,0x4Ec8f8b0F144ce1fa280B84F01Df9e353e83EC80,rebalance_plan_1770384988_0x4Ec8f8b0F144ce1fa280B84F01Df9e353e83EC80.json,2026-02-06 13:36:28+00:00,0x4Ec8f8b0F144ce1fa280B84F01Df9e353e83EC80,9745,0x673F9B14f2608B9aFc7B7d402d50Bb9d29759FBb,FromIdle,0x4Ec8f8b0F144ce1fa280B84F01Df9e353e83EC80,0xB8CE59FC3717ada4C02eaDF9682A9e934F625ebb,0x5DD8e6C497d350aE7A32d6e2DFc07F42B27F905B,0x1DD4b13fcAE900C60a350589BE8052959D2Ed27B,plasmaUSD -> fUSDT0,20000.0,20000.0,19750.729036,19997.0,,,,0.034774448172998705,0.034773767570862646,0.034773767570862646,20.0,1.0,0.0,False,"ChainData(name='plasma', block_autopool_first_deployed=1385809, chain_id=9745, start_unix_timestamp=1758314669, alchemy_network_enum='plasma-mainnet')",KeyError,0.0,0.0,,
3,3,0x5DD8e6C497d350aE7A32d6e2DFc07F42B27F905B,0x4Ec8f8b0F144ce1fa280B84F01Df9e353e83EC80,13451462,20000.0,rebalance_plan_1770383188_0x4Ec8f8b0F144ce1fa280B84F01Df9e353e83EC80.json,,0.0220845409256043,Fluid USDT0,plasmaUSD,tokemak,fluid,0x1DD4b13fcAE900C60a350589BE8052959D2Ed27B,0x4Ec8f8b0F144ce1fa280B84F01Df9e353e83EC80,rebalance_plan_1770383188_0x4Ec8f8b0F144ce1fa280B84F01Df9e353e83EC80.json,2026-02-06 13:06:28+00:00,0x4Ec8f8b0F144ce1fa280B84F01Df9e353e83EC80,9745,0x673F9B14f2608B9aFc7B7d402d50Bb9d29759FBb,FromIdle,0x4Ec8f8b0F144ce1fa280B84F01Df9e353e83EC80,0xB8CE59FC3717ada4C02eaDF9682A9e934F625ebb,0x5DD8e6C497d350aE7A32d6e2DFc07F42B27F905B,0x1DD4b13fcAE900C60a350589BE8052959D2Ed27B,plasmaUSD -> fUSDT0,20000.0,20000.0,19750.748542,19997.0,,,,0.0345045409256043,0.03450387485099479,0.03450387485099479,20.0,1.0,0.0,False,"ChainData(name='plasma', block_autopool_first_deployed=1385809, chain_id=9745, start_unix_timestamp=1758314669, alchemy_network_enum='plasma-mainnet')",KeyError,0.0,0.0,,
4,4,0x5DD8e6C497d350aE7A32d6e2DFc07F42B27F905B,0x4Ec8f8b0F144ce1fa280B84F01Df9e353e83EC80,13449660,25141.956499,rebalance_plan_1770381388_0x4Ec8f8b0F144ce1fa280B84F01Df9e353e83EC80.json,,0.022084568745550648,Fluid USDT0,plasmaUSD,tokemak,fluid,0x1DD4b13fcAE900C60a350589BE8052959D2Ed27B,0x4Ec8f8b0F144ce1fa280B84F01Df9e353e83EC80,rebalance_plan_1770381388_0x4Ec8f8b0F144ce1fa280B84F01Df9e353e83EC80.json,2026-02-06 12:36:28+00:00,0x4Ec8f8b0F144ce1fa280B84F01Df9e353e83EC80,9745,0x673F9B14f2608B9aFc7B7d402d50Bb9d29759FBb,FromIdle,0x4Ec8f8b0F144ce1fa280B84F01Df9e353e83EC80,0xB8CE59FC3717ada4C02eaDF9682A9e934F625ebb,0x5DD8e6C497d350aE7A32d6e2DFc07F42B27F905B,0x1DD4b13fcAE900C60a350589BE8052959D2Ed27B,plasmaUSD -> fUSDT0,25141.956499,25141.956499,24828.672075,25138.185206,,,,0.03450456874555065,0.034503731291980116,0.034503731291980116,20.0,1.0,0.0,False,"ChainData(name='plasma', block_autopool_first_deployed=1385809, chain_id=9745, start_unix_timestamp=1758314669, alchemy_network_enum='plasma-mainnet')",KeyError,0.0,0.0,,
5,5,0x5DD8e6C497d350aE7A32d6e2DFc07F42B27F905B,0x4Ec8f8b0F144ce1fa280B84F01Df9e353e83EC80,13447860,33522.60875,rebalance_plan_1770379588_0x4Ec8f8b0F144ce1fa280B84F01Df9e353e83EC80.json,,0.021981638022205985,Fluid USDT0,plasmaUSD,tokemak,fluid,0x1DD4b13fcAE900C60a350589BE8052959D2Ed27B,0x4Ec8f8b0F144ce1fa280B84F01Df9e353e83EC80,rebalance_plan_1770379588_0x4Ec8f8b0F144ce1fa280B84F01Df9e353e83EC80.json,2026-02-06 12:06:28+00:00,0x4Ec8f8b0F144ce1fa280B84F01Df9e353e83EC80,9745,0x673F9B14f2608B9aFc7B7d402d50Bb9d29759FBb,FromIdle,0x4Ec8f8b0F144ce1fa280B84F01Df9e353e83EC80,0xB8CE59FC3717ada4C02eaDF9682A9e934F625ebb,0x5DD8e6C497d350aE7A32d6e2DFc07F42B27F905B,0x1DD4b13fcAE900C60a350589BE8052959D2Ed27B,plasmaUSD -> fUSDT0,33522.60875,33522.60875,33104.928876,33517.580358,,,,0.034401638022205985,0.0344005246160509,0.0344005246160509,20.0,1.0,0.0,False,"ChainData(name='plasma', block_autopool_first_deployed=1385809, chain_id=9745, start_unix_timestamp=1758314669, alchemy_network_enum='plasma-mainnet')",KeyError,0.0,0.0,,
6,6,0x5DD8e6C497d350aE7A32d6e2DFc07F42B27F905B,0x4Ec8f8b0F144ce1fa280B84F01Df9e353e83EC80,13446060,134090.435,rebalance_plan_1770377788_0x4Ec8f8b0F144ce1fa280B84F01Df9e353e83EC80.json,,0.021981665608739043,Fluid USDT0,plasmaUSD,tokemak,fluid,0x1DD4b13fcAE900C60a350589BE8052959D2Ed27B,0x4Ec8f8b0F144ce1fa280B84F01Df9e353e83EC80,rebalance_plan_1770377788_0x4Ec8f8b0F144ce1fa280B84F01Df9e353e83EC80.json,2026-02-06 11:36:28+00:00,0x4Ec8f8b0F144ce1fa280B84F01Df9e353e83EC80,9745,0x673F9B14f2608B9aFc7B7d402d50Bb9d29759FBb,FromIdle,0x4Ec8f8b0F144ce1fa280B84F01Df9e353e83EC80,0xB8CE59FC3717ada4C02eaDF9682A9e934F625ebb,0x5DD8e6C497d350aE7A32d6e2DFc07F42B27F905B,0x1DD4b13fcAE900C60a350589BE8052959D2Ed27B,plasmaUSD -> fUSDT0,134090.435,134090.435,132419.846284,134070.321434,,,,0.03449166560873904,0.03448717928820637,0.03448717928820637,20.0,0.0,,False,"ChainData(name='plasma', block_autopool_first_deployed=1385809, chain_id=9745, start_unix_timestamp=1758314669, alchemy_network_enum='plasma-mainnet')",KeyError,0.0,0.0,,
7,7,0x5DD8e6C497d350aE7A32d6e2DFc07F42B27F905B,0x4Ec8f8b0F144ce1fa280B84F01Df9e353e83EC80,13444257,268180.87,rebalance_plan_1770375987_0x4Ec8f8b0F144ce1fa280B84F01Df9e353e83EC80.json,,0.022084457319881956,Fluid USDT0,plasmaUSD,tokemak,fluid,0x1DD4b13fcAE900C60a350589BE8052959D2Ed27B,0x4Ec8f8b0F144ce1fa280B84F01Df9e353e83EC80,rebalance_plan_1770375987_0x4Ec8f8b0F144ce1fa280B84F01Df9e353e83EC80.json,2026-02-06 11:06:27+00:00,0x4Ec8f8b0F144ce1fa280B84F01Df9e353e83EC80,9745,0x673F9B14f2608B9aFc7B7d402d50Bb9d29759FBb,FromIdle,0x4Ec8f8b0F144ce1fa280B84F01Df9e353e83EC80,0xB8CE59FC3717ada4C02eaDF9682A9e934F625ebb,0x5DD8e6C497d350aE7A32d6e2DFc07F42B27F905B,0x1DD4b13fcAE900C60a350589BE8052959D2Ed27B,plasmaUSD -> fUSDT0,268180.87,268180.87,264839.954122,268140.642869,,,,0.034504457319881957,0.034495545677939846,0.034495545677939846,20.0,0.0,,False,"ChainData(name='plasma', block_autopool_first_deployed=1385809, chain_id=9745, start_unix_timestamp=1758314669, alchemy_network_enum='plasma-mainnet')",KeyError,0.0,0.0,,
8,8,0x5DD8e6C497d350aE7A32d6e2DFc07F42B27F905B,0x4Ec8f8b0F144ce1fa280B84F01Df9e353e83EC80,13442460,506183.457499,rebalance_plan_1770374188_0x4Ec8f8b0F144ce1fa280B84F01Df9e353e83EC80.json,,0.022084485139828303,Fluid USDT0,plasmaUSD,tokemak,fluid,0x1DD4b13fcAE900C60a350589BE8052959D2Ed27B,0x4Ec8f8b0F144ce1fa280B84F01Df9e353e83EC80,rebalance_plan_1770374188_0x4Ec8f8b0F144ce1fa280B84F01Df9e353e83EC80.json,2026-02-06 10:36:28+00:00,0x4Ec8f8b0F144ce1fa280B84F01Df9e353e83EC80,9745,0x673F9B14f2608B9aFc7B7d402d50Bb9d29759FBb,FromIdle,0x4Ec8f8b0F144ce1fa280B84F01Df9e353e83EC80,0xB8CE59FC3717ada4C02eaDF9682A9e934F625ebb,0x5DD8e6C497d350aE7A32d6e2DFc07F42B27F905B,0x1DD4b13fcAE900C60a350589BE8052959D2Ed27B,plasmaUSD -> fUSDT0,506183.457499,506183.457499,499878.564979,506107.529981,,,,0.0344144851398283,0.03439777454010051,0.03439777454010051,20.0,0.0,,False,"ChainData(name='plasma', block_autopool_first_deployed=1385809, chain_id=9745, start_unix_timestamp=1758314669, alchemy_network_enum='plasma-mainnet')",KeyError,0.0,0.0,,
9,9,0x5DD8e6C497d350aE7A32d6e2DFc07F42B27F905B,0x4Ec8f8b0F144ce1fa280B84F01Df9e353e83EC80,13379464,17043.469,rebalance_plan_1770311189_0x4Ec8f8b0F144ce1fa280B84F01Df9e353e83EC80.json,,0.025732652111742915,Fluid USDT0,plasmaUSD,tokemak,fluid,0x1DD4b13fcAE900C60a350589BE8052959D2Ed27B,0x4Ec8f8b0F144ce1fa280B84F01Df9e353e83EC80,rebalance_plan_1770311189_0x4Ec8f8b0F144ce1fa280B84F01Df9e353e83EC80.json,2026-02-05 17:06:29+00:00,0x4Ec8f8b0F144ce1fa280B84F01Df9e353e83EC80,9745,0x673F9B14f2608B9aFc7B7d402d50Bb9d29759FBb,FromIdle,0x4Ec8f8b0F144ce1fa280B84F01Df9e353e83EC80,0xB8CE59FC3717ada4C02eaDF9682A9e934F625ebb,0x5DD8e6C497d350aE7A32d6e2DFc07F42B27F905B,0x1DD4b13fcAE900C60a350589BE8052959D2Ed27B,plasmaUSD -> fUSDT0,17043.469,17043.469,16832.027664,17040.912479,,,,0.038602652111742915,0.03860207954977855,0.03860207954977855,20.0,1.0,0.0,False,"ChainData(name='plasma', block_autopool_first_deployed=1385809, chain_id=9745, start_unix_timestamp=1758314669, alchemy_network_enum='plasma-mainnet')",KeyError,0.0,0.0,,
