top_level_function,ncalls,tottime,percall_tottime,cumtime,percall_cumtime,filename,lineno,function
initialize_tx_hash_to_gas_info_db,1,1.1165e-05,1.1165e-05,0.001228291,0.001228291,/Users/pb/Documents/Github/Tokemak/v2-rebalance-dashboard/mainnet_launch/data_fetching/add_info_to_dataframes.py,24,initialize_tx_hash_to_gas_info_db
ensure_table_to_last_updated_exists,1,7.418000000000001e-06,7.418000000000001e-06,0.000592167,0.000592167,/Users/pb/Documents/Github/Tokemak/v2-rebalance-dashboard/mainnet_launch/database/should_update_database.py,13,ensure_table_to_last_updated_exists
_add_to_blocks_to_use_table,2,1.334e-06,6.67e-07,1.334e-06,6.67e-07,/Users/pb/Documents/Github/Tokemak/v2-rebalance-dashboard/mainnet_launch/constants.py,47,client
_add_to_blocks_to_use_table,2,0.000101626,5.0813e-05,0.000101626,5.0813e-05,/Users/pb/Documents/Github/Tokemak/v2-rebalance-dashboard/mainnet_launch/data_fetching/get_state_by_block.py,231,<listcomp>
_add_to_blocks_to_use_table,2,0.00033299400000000003,0.00016649700000000002,0.348588292,0.174294146,/Users/pb/Documents/Github/Tokemak/v2-rebalance-dashboard/mainnet_launch/data_fetching/get_state_by_block.py,234,<listcomp>
_add_to_blocks_to_use_table,2,0.002016033,0.0010080165,83.548808917,41.7744044585,/Users/pb/Documents/Github/Tokemak/v2-rebalance-dashboard/mainnet_launch/data_fetching/get_state_by_block.py,186,_fetch_blocks_to_use_from_external_source
_add_to_blocks_to_use_table,1,0.001926388,0.001926388,84.064031209,84.064031209,/Users/pb/Documents/Github/Tokemak/v2-rebalance-dashboard/mainnet_launch/data_fetching/get_state_by_block.py,245,_add_to_blocks_to_use_table
_add_to_blocks_to_use_table,1,1.025e-05,1.025e-05,0.0049028330000000005,0.0049028330000000005,/Users/pb/Documents/Github/Tokemak/v2-rebalance-dashboard/mainnet_launch/database/database_operations.py,31,add_new_rows
_add_to_blocks_to_use_table,1,1.0000000000000002e-06,1.0000000000000002e-06,1.0000000000000002e-06,1.0000000000000002e-06,/Users/pb/Documents/Github/Tokemak/v2-rebalance-dashboard/mainnet_launch/database/database_operations.py,53,<listcomp>
_add_to_blocks_to_use_table,2,2.0333e-05,1.01665e-05,0.001255751,0.0006278755,/Users/pb/Documents/Github/Tokemak/v2-rebalance-dashboard/mainnet_launch/database/database_operations.py,15,convert_timestamps_to_iso
_add_to_blocks_to_use_table,2,8.708e-05,4.354e-05,0.012247542,0.006123771,/Users/pb/Documents/Github/Tokemak/v2-rebalance-dashboard/mainnet_launch/database/database_operations.py,67,verify_rows_saved
_add_to_blocks_to_use_table,4,1.5083000000000001e-05,3.7707500000000003e-06,0.000974625,0.00024365625,/Users/pb/Documents/Github/Tokemak/v2-rebalance-dashboard/mainnet_launch/database/database_operations.py,107,does_table_exist
_add_to_blocks_to_use_table,2,0.000134541,6.72705e-05,0.0234075,0.01170375,/Users/pb/Documents/Github/Tokemak/v2-rebalance-dashboard/mainnet_launch/database/database_operations.py,119,write_dataframe_to_table
_add_to_blocks_to_use_table,1,6.501e-06,6.501e-06,0.000570959,0.000570959,/Users/pb/Documents/Github/Tokemak/v2-rebalance-dashboard/mainnet_launch/database/database_operations.py,195,run_read_only_query
