         568789965 function calls (557406642 primitive calls) in 527.294 seconds

   Ordered by: cumulative time
   List reduced from 4935 to 500 due to restriction <500>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      3/1    0.005    0.002  527.540  527.540 constants.py:269(wrapper)
        1    0.002    0.002  527.540  527.540 ensure_all_tables_are_current.py:63(ensure_database_is_current)
        1    0.024    0.024  228.518  228.518 update_destination_token_values_tables.py:370(ensure_destination_token_values_are_current)
        9    0.029    0.003  228.472   25.386 update_destination_token_values_tables.py:355(_fetch_and_insert_destination_token_values)
       81    0.000    0.000  215.866    2.665 nest_asyncio.py:25(run)
       81    0.044    0.001  215.862    2.665 nest_asyncio.py:86(run_until_complete)
    59322    0.813    0.000  215.806    0.004 nest_asyncio.py:100(_run_once)
       68    0.000    0.000  212.623    3.127 get_state_by_block.py:73(get_raw_state_by_blocks)
        9    0.000    0.000  134.270   14.919 update_destination_token_values_tables.py:297(_fetch_destination_token_values_not_idle)
      818  133.390    0.163  133.407    0.163 {method 'execute' of 'psycopg2.extensions.cursor' objects}
        9    0.000    0.000  125.661   13.962 update_destination_token_values_tables.py:106(_fetch_destination_token_value_data_from_external_source)
   830243    0.248    0.000  107.548    0.000 events.py:78(_run)
   830243    0.192    0.000  107.301    0.000 {method 'run' of '_contextvars.Context' objects}
    59322    0.184    0.000  106.971    0.002 selectors.py:554(select)
   101673  106.789    0.001  106.789    0.001 {method 'control' of 'select.kqueue' objects}
   377079    0.565    0.000   97.419    0.000 tasks.py:215(__step)
   375988    0.104    0.000   95.986    0.000 {method 'send' of 'coroutine' objects}
    78875    0.080    0.000   86.890    0.001 multicall.py:78(fetch_outputs)
      283    0.002    0.000   86.857    0.307 base.py:1788(_execute_context)
      283    0.005    0.000   86.832    0.307 base.py:1847(_exec_single_context)
      283    0.000    0.000   86.759    0.307 default.py:944(do_execute)
      279    0.001    0.000   86.428    0.310 elements.py:514(_execute_on_connection)
      279    0.004    0.000   86.427    0.310 base.py:1588(_execute_clauseelement)
      185    0.001    0.000   86.381    0.467 base.py:1372(execute)
    86148    0.094    0.000   86.080    0.001 get_state_by_block.py:143(_fetch_data)
   268427    0.091    0.000   81.431    0.000 utils.py:77(run_in_subprocess)
      162    0.002    0.000   74.470    0.460 sessions.py:500(request)
      162    0.003    0.000   74.320    0.459 sessions.py:673(send)
        1    0.003    0.003   72.803   72.803 update_rebalance_events.py:144(ensure_rebalance_events_are_current)
   248362    0.081    0.000   70.790    0.000 signature.py:73(encode_data)
   111873    0.091    0.000   70.681    0.001 codec.py:94(encode)
1852471/111888    0.409    0.000   70.191    0.001 encoding.py:97(__call__)
350209/111873    1.055    0.000   70.155    0.001 encoding.py:138(encode)
       94    0.024    0.000   68.588    0.730 sql.py:570(read_sql)
        1    0.014    0.014   68.405   68.405 update_transactions_table_for_gas_costs.py:136(update_tokemak_EOA_gas_costs_from_0)
      110    0.001    0.000   67.651    0.615 api.py:14(request)
    87429    0.056    0.000   65.096    0.001 tasks.py:302(__wakeup)
      175    0.003    0.000   64.020    0.366 connectionpool.py:592(urlopen)
      175    0.003    0.000   63.988    0.366 connectionpool.py:377(_make_request)
      162    0.002    0.000   59.913    0.370 adapters.py:613(send)
3774535/2285779    1.169    0.000   59.552    0.000 address.py:35(is_address)
        9    0.000    0.000   58.588    6.510 update_destination_token_values_tables.py:315(_fetch_destination_token_values_idle)
    68849    0.029    0.000   58.221    0.001 eth_retry.py:78(auto_retry_wrap_async)
    68849    0.058    0.000   58.176    0.001 call.py:108(coroutine)
  1493164    0.275    0.000   58.053    0.000 encoding.py:469(validate_value)
       88    0.019    0.000   57.037    0.648 postgres_operations.py:101(insert_avoid_conflicts)
       87    0.006    0.000   56.257    0.647 postgres_operations.py:115(bulk_copy_skip_duplicates)
       73    0.002    0.000   55.250    0.757 postgres_operations.py:27(merge_tables_as_df)
       73    0.001    0.000   55.227    0.757 postgres_operations.py:92(_exec_sql_and_cache)
  1577066    2.265    0.000   54.754    0.000 address.py:106(to_checksum_address)
    54257   54.697    0.001   54.697    0.001 {method 'read' of '_ssl._SSLSocket' objects}
  1519002    0.876    0.000   54.571    0.000 address.py:128(is_checksum_address)
     3528    0.005    0.000   54.404    0.015 socket.py:691(readinto)
     3528    0.004    0.000   54.396    0.015 ssl.py:1296(recv_into)
     3528    0.004    0.000   54.391    0.015 ssl.py:1154(read)
       94    0.001    0.000   53.672    0.571 sql.py:1779(read_query)
       94    0.000    0.000   52.783    0.562 sql.py:1655(execute)
       70    0.002    0.000   47.574    0.680 postgres_operations.py:187(get_subset_not_already_in_column)
    10026    0.009    0.000   45.271    0.005 call.py:130(prep_args)
       52    0.001    0.000   43.862    0.844 api.py:62(get)
       18    0.005    0.000   43.639    2.424 get_transactions_etherscan.py:64(get_all_transactions_sent_by_eoa_address)
    20/18    0.002    0.000   42.353    2.353 get_transactions_etherscan.py:47(_get_normal_transactions_from_etherscan_recursive)
       20    0.003    0.000   42.343    2.117 get_transactions_etherscan.py:15(_fetch_pages)
        8    0.003    0.000   41.175    5.147 update_transactions.py:96(ensure_all_transactions_are_saved_in_db)
826881/588545    0.832    0.000   40.407    0.000 encoding.py:115(validate_value)
       91    0.000    0.000   40.283    0.443 session.py:2305(execute)
       91    0.001    0.000   40.283    0.443 session.py:2138(_execute_internal)
     3480    0.002    0.000   37.874    0.011 {method 'readline' of '_io.BufferedReader' objects}
      175    0.004    0.000   37.836    0.216 connection.py:485(getresponse)
      175    0.001    0.000   37.811    0.216 client.py:1331(getresponse)
      175    0.002    0.000   37.806    0.216 client.py:311(begin)
      175    0.003    0.000   37.762    0.216 client.py:278(_read_status)
    10026    0.013    0.000   35.132    0.004 encoding.py:720(encode)
    10026    0.068    0.000   35.084    0.003 encoding.py:615(encode_elements)
        9    0.003    0.000   31.706    3.523 update_rebalance_events.py:115(_load_raw_rebalance_event_df)
        1    0.001    0.001   31.231   31.231 update_destination_states_from_rebalance_plan.py:228(ensure_destination_states_from_rebalance_plan_are_current)
      324    0.001    0.000   30.740    0.095 threading.py:288(wait)
     4200   30.740    0.007   30.740    0.007 {method 'acquire' of '_thread.lock' objects}
  1253900    0.740    0.000   27.120    0.000 encoding.py:207(encode)
       89    0.000    0.000   26.522    0.298 threading.py:589(wait)
       66    0.001    0.000   26.512    0.402 _base.py:201(as_completed)
      175    0.001    0.000   26.112    0.149 connectionpool.py:1085(_validate_conn)
      126    0.003    0.000   26.111    0.207 connection.py:669(connect)
    10026    0.005    0.000   25.623    0.003 multicall.py:20(get_args)
    10026    0.044    0.000   25.618    0.003 multicall.py:23(<listcomp>)
   238336    0.045    0.000   25.573    0.000 call.py:52(data)
        9    0.007    0.001   25.091    2.788 update_destination_token_values_tables.py:128(_determine_what_blocks_are_needed)
   248362    0.062    0.000   24.819    0.000 encoding.py:619(<genexpr>)
        1    0.000    0.000   24.209   24.209 block_timestamp.py:71(ensure_blocks_is_current)
       58    0.001    0.000   23.790    0.410 api.py:103(post)
        9    0.000    0.000   23.165    2.574 tokemak_subgraph.py:143(fetch_autopool_rebalance_events_from_subgraph)
       15    0.002    0.000   22.904    1.527 block_timestamp.py:164(ensure_all_blocks_are_in_table)
       18    0.003    0.000   22.676    1.260 tokemak_subgraph.py:25(run_query_with_paginate)
    28889   22.369    0.001   22.369    0.001 {method 'do_handshake' of '_ssl._SSLSocket' objects}
