,vaultAddress,caller,event,block,transaction_index,log_index,hash,name,stats
0,0x75FD0d0247fA088852417CD0F1bfa21D1d78aa14,0xDF130204a4421C1F7E47777E37B650a709ba36dE,DestinationVaultRegistered,19882951,148,176,0x1c42d8b2ca39e2669d6f1452c36cc3245a3cf8a9cfeb5e780e85dc8981e7a3f3,Tokemak-Wrapped Ether-Curve.fi ETH/stETH,0x433dc857E4d68104CE5739ca0EF987D6563f4807
1,0xD43e6d2a8B983DDEf52eC50eF0E3159542fEF8ed,0xDF130204a4421C1F7E47777E37B650a709ba36dE,DestinationVaultRegistered,19882952,104,174,0x154e0e52f8f3a128371e1dce15156708d18a905541ab3fb171bddb3839b48af3,Tokemak-Wrapped Ether-Curve.fi Factory Pool: stETH-ng,0xb10Fb8a3473Ee0A3748875B30ea1f8C8aa600231
2,0x1A73e18B2a677940Cf5d5eb8bC244854Dc07d551,0xDF130204a4421C1F7E47777E37B650a709ba36dE,DestinationVaultRegistered,19882953,124,248,0x30aa2f9eaf078a44debdabcc7bf29002c91fc3fd7ebfee61c45d6ab8c55760b1,Tokemak-Wrapped Ether-Curve.fi Factory Crypto Pool: cbETH/ETH,0xcE91eBF2959189bA5BDf90C61241a2ce830Ad82d
3,0x772C047f317381c8F2DBd7B43E13B704EfFdDD45,0xDF130204a4421C1F7E47777E37B650a709ba36dE,DestinationVaultRegistered,19882954,111,245,0xea0a843336e83d84980743f9b3d54eb3f4aec4fc8f51ce7f70eedffb861db2db,Tokemak-Wrapped Ether-osETH/rETH,0xfCd0563AA43ab98F5EEFBFe647f846959c2A78db
4,0x8bf50aA240564bC079ffB2a94265e471509c7163,0xDF130204a4421C1F7E47777E37B650a709ba36dE,DestinationVaultRegistered,19882956,186,502,0x2dd862eb91008f22fdad0a60b13c71e67d68dd36e3b464f46e08d16358c14ba1,Tokemak-Wrapped Ether-Curve.fi Factory Plain Pool: rETH/wstETH,0x9d47238d31B6e38552847abC977BC5113302b230
5,0x38e73E98d2038FafdC847F13dd9100732383B6F2,0xDF130204a4421C1F7E47777E37B650a709ba36dE,DestinationVaultRegistered,19882957,60,117,0xb9c2de985b4cb91f1492629a6b071afa408b61b6c2eb636d56e554307de19ba5,Tokemak-Wrapped Ether-Balancer stETH Stable Pool,0x93DeeF8ef1922ff3C30abf6EbA85Dc62ADC378db
6,0xfb1f48a461cCC70081226d8353e45CfBd410dD8F,0xDF130204a4421C1F7E47777E37B650a709ba36dE,DestinationVaultRegistered,19882958,111,192,0x577912b171e8fd9fa09b1df488264a4641e91c7cc238e138a37ad2b11b884bc5,Tokemak-Wrapped Ether-Balancer rETH Stable Pool,0x551050d2dB5043b70598B148e83c9ca16fa21B10
7,0x502E4b61c843F26328125566B8000F4368F18360,0xDF130204a4421C1F7E47777E37B650a709ba36dE,DestinationVaultRegistered,19975735,52,174,0x1df9cb786d622f03c92d2a3a318f8e5bf0b1592595babd7a04e5224c817dc930,Tokemak-Wrapped Ether-Maverick Position-wstETH-WETH-110,0xFDDa924d6B6266847739bfAC61eC9842cDEE517a
8,0x066b5444ad82A0D6fC59e286Ae9fFdbf6E2dDCBD,0xDF130204a4421C1F7E47777E37B650a709ba36dE,DestinationVaultRegistered,19975736,30,146,0xd0f464e0339754248e14dcfc7fc66a38d60e4405c7bfe68c926b7362ed4b4f91,Tokemak-Wrapped Ether-Maverick Position-WETH-swETH-42,0xB3869FCb4D73937862fEEaAdb08F040450b7fF96
9,0x2E5A8C3aE475734Ece6443B5E68F7fA63133AF3D,0xDF130204a4421C1F7E47777E37B650a709ba36dE,DestinationVaultRegistered,20112127,18,147,0xc2396459dfabed94fec35eeee3b91b7cbee64e2e9995b6d9d1787862f3eb7001,Tokemak-Wrapped Ether-Curve.fi Factory Pool: ETHx-ETH,0x09AAf1e3635cC4f6B3F33D5d7C9a09c54ebB47Da
10,0x1568528A93393B8dfc708f3FD0537C549290AC73,0xDF130204a4421C1F7E47777E37B650a709ba36dE,DestinationVaultRegistered,20112128,139,358,0x5854390de971bb609dd3413ad69faeace57e0df5da47910c1db663b4bea0d10d,Tokemak-Wrapped Ether-weETH/WETH-ng,0xDbE22F11f4B23ED38d024c31d245d99edDc4e4ca
11,0x37e565f997c2b16d2542E906672E9c6281e77954,0xDF130204a4421C1F7E47777E37B650a709ba36dE,DestinationVaultRegistered,20112129,124,350,0xe0bfbd02c44072960dfde10a0521b6fcb7425ba33a36e3421fb94a9cd2442e19,Tokemak-Wrapped Ether-Balancer rsETH / ETHx,0x085a6456861b7E8B767f6262f0195515e671194F
13,0xA6B62bFdc664Af24DDdfF335A167b867f1d590aF,0xDF130204a4421C1F7E47777E37B650a709ba36dE,DestinationVaultRegistered,20112680,80,259,0x9b88f9c9253dc215572582bf55acf41548313a696ce1eb3e12c0cde5ebe7b3b9,Tokemak-Wrapped Ether-Balancer osETH/wETH StablePool,0x6733d6Ca76e5238025b743D4922986B90DFb35CA
14,0xF35fbb601e7de870029691f1872D67A8fC866B15,0xDF130204a4421C1F7E47777E37B650a709ba36dE,DestinationVaultRegistered,20112684,133,197,0xbae880215d0b27f98edb820b396709eade3ac65b83c9dd6a3e7a396561e7ac99,Tokemak-Wrapped Ether-Balancer wstETH-WETH Stable Pool,0x449569489BB8e793EC6838Af97F3ca5C9eC6Bd62
15,0xa3956D49106288E5c04E6FBbBad5b68593f0bE3b,0xDF130204a4421C1F7E47777E37B650a709ba36dE,DestinationVaultRegistered,20112688,136,250,0x901b7d2e0d6f97d2a4d7c2cb79f937f90806f6fcf8e18305f72cd363cde3f4bc,Tokemak-Wrapped Ether-Balancer ETHx/wstETH,0xE6850bc48feF4F8e4433d95072177aa95cD2fd9F
16,0xE9D758002676EecCfAc6106c1E31fE04e419c01D,0xDF130204a4421C1F7E47777E37B650a709ba36dE,DestinationVaultRegistered,20112692,59,114,0xd094f2fc4d2c81b3dc08b39dcff06e6713c952c31cb16bd4a1c63134ee73ec8c,Tokemak-Wrapped Ether-Balancer swETH-WETH Stable Pool,0xb8A67FB40AA77466f619fD4b6cf56234Ade4A64b
17,0x9F4d181F42c06949E4A256EEB4AeFa841371F624,0xDF130204a4421C1F7E47777E37B650a709ba36dE,DestinationVaultRegistered,20112696,119,218,0x02fb2fb13bb6d5c47dcfa32172ef18837c939d828efa99d9f4a85ca658e3262a,Tokemak-Wrapped Ether-Curve.fi Factory Crypto Pool: ETHx-wstETH,0x60329c3C21E8FE14901eca479F41A6D6940843a7
19,0xb2f0d11Ce7D12CdA959775A1D9a608eA21123c9A,0xDF130204a4421C1F7E47777E37B650a709ba36dE,DestinationVaultRegistered,20133268,261,523,0x33fd3e824263a0ee8fe82850c1de3a1718f97891b862b4d9eab9c41b4cd80493,Tokemak-Wrapped Ether-wETH/rETH,0x21010Cf17947B8F61AE59eD2a3F047aDDc155ffe
20,0x0D883F9600857a28CfBccb16b10095EAcF8055af,0xDF130204a4421C1F7E47777E37B650a709ba36dE,DestinationVaultRegistered,20198157,107,239,0xba0256958de277dbcdbde5161d76e578be6bc3b36c87c83e41decfb1c31cd0a1,Tokemak-Wrapped Ether-Balancer weETH/rETH StablePool,0x863254050d3b960C6307dcF7eafdAB2e5e3592C1
21,0x5817Cc19A51F92a1fc2806C0228b323fa5be72a0,0xDF130204a4421C1F7E47777E37B650a709ba36dE,DestinationVaultRegistered,20198160,27,190,0xc478dbf04ff056c5d6f2ad7cc05d7015e481a81d6cd0a4a956538f31e018fd8d,Tokemak-Wrapped Ether-Balancer weETH-WETH Stable Pool,0x67448ff8006eddf91C7Fc32BCCe3F29ca0976273
22,0x1E02da6E4DFc4875E372104E5e79d54632F52cB3,0xDF130204a4421C1F7E47777E37B650a709ba36dE,DestinationVaultRegistered,20198164,107,240,0xb7c69778cc49e5079a41169ba2c781e41e689e82518d819f71d177041b6d3c4c,Tokemak-Wrapped Ether-Balancer ezETH-WETH Stable Pool,0xa975e71B22110cC0FB22554b7cD78bffF4AE16E5
